random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.046203,18688,0.037110,15696,0.030581,14080,0.023868,10448,0.016607,7376,0.009711,3568,0.002938,1376,0.000000,0,0.000000,0,512752
0.064205,30976,0.046020,16576,0.032778,12544,0.023807,8640,0.017034,6560,0.010382,4224,0.001717,592,0.000000,0,0.000000,0,481168
0.084586,41152,0.061092,20288,0.044921,17344,0.034670,15136,0.026737,11056,0.019292,8256,0.011847,4368,0.002632,1888,0.000000,0,500832
0.037110,12928,0.023319,7072,0.014044,5344,0.007819,2032,0.004646,1584,0.001412,400,0.000000,0,0.000000,0,0.000000,0,437232
0.045959,19248,0.036866,16944,0.027774,11936,0.021122,8048,0.016119,7216,0.010443,4320,0.003975,1312,0.000000,0,0.000000,0,495920
0.099781,45952,0.072260,25904,0.050535,18672,0.036805,15232,0.027774,10976,0.020756,9088,0.012823,4944,0.001412,848,0.000000,0,503456
0.053220,18288,0.031923,10928,0.016058,5200,0.007575,1888,0.003487,1584,0.000000,0,0.000000,0,0.000000,0,0.000000,0,444272
0.052183,22160,0.046142,20704,0.039490,19584,0.032595,12960,0.026431,11296,0.019170,9760,0.009894,4352,0.000000,0,0.000000,0,487776
0.047850,21584,0.039795,18192,0.033693,17056,0.026981,14144,0.018437,8832,0.009223,3568,0.001900,992,0.000000,0,0.000000,0,549632
0.046508,19152,0.038514,16224,0.033266,15200,0.028201,13968,0.022343,8832,0.016241,6704,0.008735,3888,0.000000,0,0.000000,0,508880
0.039978,17344,0.031862,13472,0.025821,11808,0.020451,9616,0.015325,6480,0.010199,4464,0.004707,1760,0.000000,0,0.000000,0,526464
0.038331,16560,0.031435,13664,0.026431,12016,0.021550,10400,0.016180,6576,0.010565,4304,0.005378,2032,0.000000,0,0.000000,0,520048
0.063289,28544,0.052549,23920,0.043884,20064,0.036317,16832,0.028872,13584,0.021061,9664,0.011054,5904,0.000000,0,0.000000,0,531840
0.075982,38704,0.053953,21568,0.036561,13568,0.024601,9056,0.015569,6752,0.007514,3568,0.000000,0,0.000000,0,0.000000,0,526512
0.059262,25488,0.048278,20352,0.039002,17760,0.029788,12448,0.021489,8224,0.013983,6000,0.005378,1776,0.000000,0,0.000000,0,500576
