random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.071527,30960,0.058835,26096,0.048461,24944,0.036988,15440,0.028872,11744,0.024845,11600,0.022709,11488,0.020329,11072,0.012701,9440,541280
0.077935,33408,0.064632,31696,0.053343,26000,0.039917,19536,0.029910,11488,0.025028,11280,0.022587,11088,0.020207,10816,0.012884,9584,535072
0.076775,32944,0.063655,31072,0.052793,25936,0.040223,18912,0.030520,11920,0.025577,11520,0.023075,11456,0.020878,11072,0.014349,10352,538224
0.084037,35648,0.068537,33456,0.056150,26896,0.041931,21808,0.030703,11328,0.025150,11168,0.022526,11008,0.020390,10768,0.014227,10080,538176
0.090322,38208,0.075189,36160,0.062557,30960,0.047423,23584,0.034670,12512,0.028262,12336,0.025333,12208,0.023258,11984,0.018010,11728,533072
0.096364,42320,0.062862,24592,0.040345,12336,0.030215,11776,0.026126,11760,0.024296,11712,0.023380,11712,0.022282,11616,0.017644,11312,516688
0.091909,36464,0.066523,31168,0.042541,11504,0.030520,11168,0.025638,10784,0.023441,10688,0.022221,10608,0.020939,10512,0.016058,10160,497392
0.116196,36064,0.067439,24528,0.039246,12528,0.026981,9904,0.022343,9808,0.020390,9712,0.019353,9648,0.018071,9504,0.012762,9184,519392
0.174534,85600,0.101429,35280,0.051451,16352,0.030764,10672,0.024357,10656,0.021794,10576,0.020573,10512,0.019353,10432,0.014654,10144,535824
0.088553,32304,0.057980,26864,0.040467,15232,0.031923,14544,0.027774,12880,0.025638,12800,0.024174,12704,0.022465,11184,0.017888,10864,537936
0.097645,56496,0.091787,55232,0.087027,52320,0.079216,51008,0.063838,41376,0.047973,20912,0.038331,19792,0.030642,18672,0.019292,12208,627712
0.112535,74368,0.110582,74304,0.107287,74192,0.097645,70592,0.067744,60784,0.021244,5584,0.003487,2048,0.000000,0,0.000000,0,677696
0.107104,69456,0.105151,69296,0.102649,68592,0.094594,67024,0.072626,54464,0.030459,16512,0.002388,992,0.000000,0,0.000000,0,666560
0.108629,71808,0.105639,71728,0.099293,68864,0.084952,56720,0.051146,40816,0.007087,960,0.000000,0,0.000000,0,0.000000,0,676992
0.111558,73696,0.109850,73584,0.107409,73456,0.098255,70272,0.066707,62432,0.008979,7648,0.000000,0,0.000000,0,0.000000,0,676752
0.105029,66448,0.103015,65920,0.101429,65840,0.096303,65504,0.075677,57536,0.029544,11776,0.000000,0,0.000000,0,0.000000,0,652960
0.113877,75584,0.112291,75536,0.110704,75488,0.107043,72816,0.089956,72576,0.038880,23824,0.000000,0,0.000000,0,0.000000,0,678928
0.115769,78592,0.114732,78496,0.113999,78416,0.110094,78048,0.083549,77888,0.002510,1040,0.000000,0,0.000000,0,0.000000,0,690096
0.104480,66480,0.101429,65520,0.097889,62864,0.090322,61504,0.071893,44544,0.029299,27168,0.000000,0,0.000000,0,0.000000,0,654784
0.111009,72560,0.108995,72400,0.107226,71056,0.101307,70736,0.074334,69472,0.016668,7712,0.000000,0,0.000000,0,0.000000,0,672384
0.105822,67360,0.103992,67248,0.102344,67216,0.097767,66880,0.076592,62320,0.016668,3584,0.000000,0,0.000000,0,0.000000,0,657504
0.105273,66672,0.103137,66544,0.100330,66432,0.094472,58864,0.075738,58512,0.033327,13248,0.000000,0,0.000000,0,0.000000,0,654064
0.105822,67888,0.102710,67712,0.097523,65872,0.089651,54272,0.069636,53968,0.005012,14400,0.000000,0,0.000000,0,0.000000,0,660688
0.131147,10800,0.130353,10800,0.128950,10720,0.122482,10720,0.097584,9312,0.043457,2400,0.019109,912,0.013678,880,0.010626,864,83024
0.158668,12272,0.157936,12272,0.157570,12272,0.157326,12272,0.156471,12272,0.145304,12272,0.085135,12272,0.000000,0,0.000000,0,78080
0.055051,12256,0.052976,12240,0.051878,12240,0.051207,12240,0.048705,12208,0.038514,12208,0.024540,3232,0.017705,3200,0.012091,3184,240704
0.027530,15024,0.025943,14960,0.025028,14896,0.024174,14672,0.022343,14448,0.019353,10160,0.016668,8384,0.014227,8336,0.007941,8336,611600
0.033815,18176,0.031496,18064,0.030215,17968,0.028506,17440,0.022221,17296,0.008125,2896,0.000680,672,0.000000,0,0.000000,0,613328
0.034486,18624,0.032229,18512,0.030947,18304,0.029177,17984,0.021672,17664,0.004097,720,0.000000,0,0.000000,0,0.000000,0,610480
0.031801,17072,0.029727,17008,0.028506,16864,0.026737,16496,0.019658,16480,0.002083,704,0.000000,0,0.000000,0,0.000000,0,610608
0.029910,16288,0.028201,16208,0.027225,16048,0.026065,15888,0.021489,15824,0.009406,3744,0.000000,0,0.000000,0,0.000000,0,609616
0.034670,18768,0.032595,18656,0.031374,18640,0.029483,18144,0.022709,18064,0.008979,3616,0.000000,0,0.000000,0,0.000000,0,609120
0.032778,17872,0.030825,17808,0.029666,17680,0.028079,17280,0.022404,16992,0.011115,3248,0.001046,272,0.000000,0,0.000000,0,612400
0.033327,17824,0.031130,17792,0.029971,17728,0.028384,17456,0.022282,17296,0.008552,2752,0.000000,96,0.000000,0,0.000000,0,610560
0.030520,16416,0.028506,16304,0.027347,16192,0.025699,15808,0.019536,15808,0.007697,2784,0.000000,0,0.000000,0,0.000000,0,610128
0.027347,15104,0.026004,15072,0.025272,15008,0.024113,14816,0.019353,14720,0.008369,2592,0.000000,0,0.000000,0,0.000000,0,608352
0.027469,14688,0.025821,14624,0.024906,14608,0.023685,14240,0.019170,14128,0.009589,3408,0.000619,112,0.000000,0,0.000000,0,601424
0.025333,13520,0.023685,13456,0.022770,13456,0.021550,13184,0.016607,13024,0.005989,1072,0.000000,0,0.000000,0,0.000000,0,606128
0.028750,15872,0.027225,15776,0.026370,15744,0.025333,15552,0.020817,15392,0.006294,2544,0.000000,0,0.000000,0,0.000000,0,611952
0.027835,15296,0.026309,15264,0.025455,15232,0.024357,14960,0.020146,14880,0.010199,3552,0.000000,0,0.000000,0,0.000000,0,612688
0.032473,17408,0.030276,17360,0.028994,17168,0.027408,16736,0.021794,16656,0.011115,3808,0.000000,0,0.000000,0,0.000000,0,612560
0.031191,16912,0.029238,16896,0.028079,16720,0.026553,16320,0.021122,16240,0.011359,3664,0.002327,1744,0.000000,0,0.000000,0,612832
0.026431,15072,0.025211,15008,0.024357,14976,0.022831,14384,0.017156,14320,0.005928,2240,0.000000,0,0.000000,0,0.000000,0,623936
0.032839,17808,0.030825,17744,0.029666,17680,0.028323,17344,0.023380,17072,0.011420,3536,0.000000,0,0.000000,0,0.000000,0,612912
0.028262,16112,0.026859,16080,0.025943,15984,0.024418,15552,0.018010,15472,0.002754,1232,0.000000,0,0.000000,0,0.000000,0,628656
0.037110,19792,0.034608,19712,0.033205,19632,0.031435,19248,0.023807,19088,0.004707,688,0.000000,0,0.000000,0,0.000000,0,610176
0.034181,18256,0.031984,18080,0.030703,18000,0.028567,17648,0.020573,17520,0.007941,2192,0.001046,800,0.000000,0,0.000000,0,603824
0.025821,14176,0.024479,14160,0.023746,14160,0.022465,13936,0.017400,13824,0.008247,2832,0.000000,0,0.000000,0,0.000000,0,608704
0.032839,17984,0.030886,17936,0.029788,17888,0.028445,17456,0.023258,17376,0.010443,3504,0.000000,0,0.000000,0,0.000000,0,616000
0.029299,16160,0.027652,16112,0.026675,16048,0.025150,15632,0.019719,15552,0.009894,2800,0.000000,0,0.000000,0,0.000000,0,615120
0.033632,17856,0.031923,17808,0.031008,17712,0.029849,17552,0.025638,17344,0.016119,5488,0.005989,2064,0.000000,0,0.000000,0,585888
0.031496,16928,0.030032,16912,0.029238,16912,0.028201,16736,0.023807,16656,0.014105,4720,0.006355,2400,0.000000,0,0.000000,0,590288
0.027896,15360,0.026370,15296,0.025516,15200,0.024235,14960,0.018254,14816,0.004768,768,0.000000,0,0.000000,0,0.000000,0,610752
0.027469,14960,0.025943,14880,0.025150,14880,0.023990,14736,0.019475,14576,0.008186,3200,0.000000,0,0.000000,0,0.000000,0,607776
0.031008,17040,0.029177,16896,0.028140,16752,0.026798,16464,0.021550,16320,0.007453,2752,0.000000,0,0.000000,0,0.000000,0,614288
0.032351,17344,0.030093,17280,0.028811,17056,0.026920,16704,0.019048,16624,0.002327,768,0.000000,0,0.000000,0,0.000000,0,613280
0.030276,16640,0.028567,16592,0.027530,16576,0.025943,16112,0.020024,16032,0.008796,2768,0.000000,0,0.000000,0,0.000000,0,615328
0.027713,15376,0.026126,15328,0.025211,15280,0.023868,14944,0.018620,14720,0.006904,2256,0.000000,0,0.000000,0,0.000000,0,619760
0.032595,17808,0.030703,17776,0.029605,17696,0.028201,17280,0.023014,17120,0.011664,4096,0.001351,1776,0.000000,0,0.000000,0,612928
0.032290,17648,0.030337,17520,0.029177,17408,0.027652,17152,0.022038,16848,0.008369,4016,0.000000,0,0.000000,0,0.000000,0,614944
0.024662,13408,0.023197,13312,0.022404,13232,0.020817,13072,0.014959,13024,0.004402,1648,0.000000,0,0.000000,0,0.000000,0,608000
0.033083,18032,0.031008,17936,0.029727,17776,0.028201,17120,0.022831,17072,0.010871,3696,0.000253,80,0.000000,0,0.000000,0,613872
0.028445,15824,0.026920,15760,0.026004,15712,0.024479,15232,0.018681,15168,0.007819,2096,0.000000,0,0.000000,0,0.000000,0,614912
0.033144,17792,0.031252,17728,0.030154,17648,0.028872,17360,0.023685,17168,0.011420,4176,0.000000,0,0.000000,0,0.000000,0,600288
0.033449,17920,0.031435,17856,0.030337,17856,0.028811,17504,0.023075,17200,0.009528,3264,0.000000,0,0.000000,0,0.000000,0,604320
0.028079,15312,0.026553,15232,0.025760,15200,0.024296,14976,0.018804,14896,0.007209,2496,0.000000,0,0.000000,0,0.000000,0,605600
0.031801,17264,0.029788,17120,0.028628,16912,0.027286,16576,0.022526,16432,0.010199,3568,0.000000,0,0.000000,0,0.000000,0,611072
0.033510,18016,0.031252,17952,0.029971,17856,0.028323,17504,0.021428,17360,0.004097,1184,0.000000,0,0.000000,0,0.000000,0,614432
0.034120,18160,0.032290,18160,0.031252,18128,0.029788,17792,0.023868,17584,0.010993,3056,0.002327,576,0.000000,0,0.000000,0,592960
0.033571,18176,0.031984,18160,0.031069,18160,0.029971,17856,0.025699,17744,0.016729,5696,0.008308,3280,0.000741,432,0.000000,0,596160
0.032473,17648,0.030886,17552,0.029971,17504,0.028811,17216,0.024357,17072,0.013861,5408,0.001168,400,0.000000,0,0.000000,0,596288
0.025943,14112,0.024540,14096,0.023746,14048,0.022526,13856,0.017888,13760,0.006538,3200,0.000000,0,0.000000,0,0.000000,0,604960
0.032778,17744,0.030642,17696,0.029483,17552,0.028140,17184,0.023319,17072,0.011176,4272,0.002632,896,0.000000,0,0.000000,0,614480
0.032595,17296,0.030276,17200,0.028933,17088,0.027164,16624,0.020634,16528,0.008002,2320,0.000000,0,0.000000,0,0.000000,0,609264
0.033022,17760,0.030886,17616,0.029666,17552,0.027652,16992,0.020085,16944,0.006355,1952,0.000000,0,0.000000,0,0.000000,0,608976
0.033327,17888,0.031496,17792,0.030459,17664,0.029055,17312,0.023807,17024,0.012335,3792,0.000000,0,0.000000,0,0.000000,0,593680
0.030154,16928,0.028750,16800,0.027896,16752,0.026614,16368,0.021733,16160,0.012457,4128,0.001900,224,0.000000,0,0.000000,0,610976
0.032473,17360,0.030276,17280,0.028994,17136,0.027530,16736,0.021916,16640,0.006660,3376,0.000000,0,0.000000,0,0.000000,0,610160
0.034608,18656,0.032534,18608,0.031313,18496,0.029727,18000,0.023807,17840,0.010504,3088,0.000680,240,0.000000,0,0.000000,0,606224
0.032778,17472,0.030886,17392,0.029849,17344,0.028445,17104,0.023014,17088,0.010871,3776,0.000000,0,0.000000,0,0.000000,0,597552
0.033632,18048,0.031435,17952,0.030154,17808,0.028201,17312,0.020939,17184,0.005073,2064,0.000000,0,0.000000,0,0.000000,0,608832
0.031374,17008,0.029422,16976,0.028323,16832,0.026675,16448,0.020390,16320,0.007148,2688,0.000000,0,0.000000,0,0.000000,0,610688
0.030581,16752,0.028994,16736,0.028079,16688,0.026737,16336,0.021855,16256,0.010993,4496,0.000000,0,0.000000,0,0.000000,0,607952
0.034914,18688,0.032839,18560,0.031618,18496,0.030276,18048,0.025394,17920,0.013250,4864,0.000000,0,0.000000,0,0.000000,0,601584
0.027835,15056,0.026248,14944,0.025272,14912,0.023685,14656,0.017949,14624,0.007880,2784,0.000192,48,0.000000,0,0.000000,0,605936
0.029544,15904,0.027713,15840,0.026675,15792,0.025394,15520,0.020634,15456,0.008247,3344,0.000000,0,0.000000,0,0.000000,0,610080
0.033266,17856,0.031008,17712,0.029727,17600,0.028079,17264,0.021611,17072,0.006477,1360,0.000497,304,0.000000,0,0.000000,0,612240
0.051268,28560,0.048400,28080,0.046081,27632,0.041931,27328,0.031984,20272,0.016668,4432,0.008796,3280,0.006172,3008,0.003182,2896,612160
0.030154,16512,0.028567,16464,0.027469,16336,0.025333,15984,0.018987,13968,0.009772,3360,0.003548,816,0.000619,816,0.000000,0,607008
0.031191,16864,0.029666,16864,0.028811,16864,0.027713,16624,0.023624,16496,0.014593,5376,0.000558,16,0.000000,0,0.000000,0,598080
0.028811,15888,0.027164,15856,0.026187,15792,0.024967,15520,0.020390,15344,0.007758,3808,0.000000,0,0.000000,0,0.000000,0,618608
0.032168,17456,0.030215,17392,0.029055,17312,0.027652,17088,0.022343,16784,0.008918,3888,0.000000,0,0.000000,0,0.000000,0,613088
0.031313,17024,0.029299,16928,0.028140,16800,0.026431,16384,0.019475,16320,0.004768,1344,0.000000,0,0.000000,0,0.000000,0,614384
0.030093,16528,0.028262,16480,0.027103,16352,0.025394,15872,0.019170,15744,0.004829,2720,0.000000,0,0.000000,0,0.000000,0,618368
0.028811,15568,0.027164,15520,0.026248,15488,0.024601,15216,0.018498,15152,0.007087,2608,0.000000,0,0.000000,0,0.000000,0,604608
0.030032,16208,0.028140,16096,0.026981,16032,0.025577,15664,0.020512,15360,0.009467,3504,0.000314,16,0.000000,0,0.000000,0,611216
0.038087,20144,0.035463,19920,0.033815,19712,0.031496,19008,0.023014,19008,0.009101,2304,0.003426,1632,0.000000,0,0.000000,0,602480
0.033083,18080,0.031069,18032,0.029849,17936,0.028140,17488,0.022038,17312,0.009284,3808,0.000000,0,0.000000,0,0.000000,0,616416
