random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.605966,194608,0.558063,167344,0.490145,141520,0.405201,114816,0.301340,82352,0.173070,43952,0.034059,5776,0.000000,0,0.000000,0,312144
0.557941,199712,0.514737,177216,0.454324,152192,0.376398,122560,0.279738,87536,0.161841,46512,0.037904,6176,0.000000,0,0.000000,0,355696
0.549581,200736,0.505950,178320,0.443706,152528,0.363827,117664,0.270279,84480,0.163672,48160,0.054868,11840,0.000000,0,0.000000,0,363152
0.569780,204160,0.521266,177744,0.452127,151760,0.363278,113472,0.258685,77760,0.142314,38976,0.030947,5168,0.000000,0,0.000000,0,354832
0.502838,236512,0.481785,222304,0.456948,207360,0.429793,193296,0.401478,179296,0.371882,166288,0.338503,151472,0.300791,132336,0.265458,109312,470416
0.559345,195584,0.513517,171712,0.450236,146208,0.368526,115696,0.267655,80240,0.149393,40864,0.005806,2464,0.000000,0,0.000000,0,347056
0.486850,182464,0.440960,161840,0.377679,130672,0.299753,98480,0.213589,66704,0.121444,35664,0.022404,6256,0.000000,0,0.000000,0,374944
0.481724,184496,0.437604,165280,0.377374,133696,0.302926,102704,0.217494,70480,0.120468,37152,0.020939,4432,0.000000,0,0.000000,0,383488
0.480076,220960,0.460610,208816,0.437055,193936,0.410937,179760,0.383965,167424,0.356505,155728,0.326908,142752,0.293956,127344,0.256366,106944,459568
0.506682,186384,0.460488,164304,0.396536,135680,0.318121,101440,0.228967,71136,0.129072,37376,0.003487,1792,0.000000,0,0.000000,0,364272
0.536705,184224,0.492830,160672,0.432844,138656,0.355650,109072,0.260821,76432,0.147684,39744,0.027469,5312,0.000000,0,0.000000,0,338256
0.559284,196368,0.510343,169936,0.441998,141424,0.357176,108480,0.257159,76656,0.139812,37840,0.023075,3504,0.000000,0,0.000000,0,344288
0.519863,198928,0.487338,181776,0.443035,160992,0.386589,136864,0.318975,109744,0.241964,79984,0.166357,48464,0.110887,30000,0.046630,25760,380992
0.499359,223152,0.474340,209280,0.443828,190464,0.409961,173136,0.374994,157200,0.339052,142160,0.298838,125824,0.254291,103872,0.209866,80576,449040
0.426681,175488,0.373408,156144,0.304574,110256,0.232994,81328,0.162146,56720,0.085502,28944,0.000000,0,0.000000,0,0.000000,0,418240
