random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.010077,0.009805,0.009955,0.009805,0.009894,0.009805,0.009833,0.009805,0.009833,0.009805,0.009833,0.009805,0.009528,0.009805,0.007331,0.009805,0.000000,0.000000
0.000497,0.000482,0.000497,0.000482,0.000436,0.000482,0.000314,0.000482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000558,0.000514,0.000497,0.000514,0.000497,0.000514,0.000375,0.000514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000619,0.000577,0.000558,0.000577,0.000558,0.000577,0.000436,0.000577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000497,0.000513,0.000497,0.000513,0.000497,0.000513,0.000375,0.000513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000436,0.000449,0.000436,0.000449,0.000436,0.000449,0.000314,0.000449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000558,0.000545,0.000558,0.000545,0.000558,0.000545,0.000436,0.000545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002754,0.002687,0.002693,0.002687,0.002693,0.002687,0.002693,0.002687,0.002693,0.002687,0.002388,0.002687,0.000985,0.002687,0.000000,0.000000,0.000000,0.000000
0.013434,0.013080,0.013250,0.013080,0.013189,0.013080,0.013128,0.013080,0.013128,0.013080,0.013067,0.013080,0.013067,0.013080,0.012396,0.013080,0.008063,0.013080
0.013311,0.012968,0.013128,0.012968,0.013067,0.012968,0.013006,0.012968,0.013006,0.012968,0.013006,0.012968,0.012945,0.012968,0.012335,0.012968,0.008125,0.012968
0.013250,0.012909,0.013067,0.012909,0.013006,0.012909,0.012945,0.012909,0.012945,0.012909,0.012945,0.012909,0.012884,0.012909,0.012335,0.012909,0.008369,0.012909
0.013495,0.013137,0.013311,0.013137,0.013250,0.013137,0.013189,0.013137,0.013128,0.013137,0.013128,0.013137,0.013128,0.013137,0.012579,0.013137,0.008918,0.013137
0.010565,0.010310,0.010443,0.010310,0.010382,0.010310,0.010321,0.010310,0.010321,0.010310,0.010321,0.010310,0.010260,0.010310,0.009406,0.010310,0.004707,0.010310
0.013311,0.013011,0.013189,0.013011,0.013067,0.013011,0.013067,0.013011,0.013006,0.013011,0.013006,0.013011,0.013006,0.013011,0.012518,0.013011,0.009101,0.013011
0.001717,0.001664,0.001656,0.001664,0.001656,0.001664,0.001656,0.001664,0.001595,0.001664,0.001229,0.001664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000497,0.000481,0.000497,0.000481,0.000497,0.000481,0.000375,0.000481,0.000000,0.000481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000619,0.000577,0.000558,0.000577,0.000558,0.000577,0.000497,0.000577,0.000253,0.000577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000558,0.000545,0.000558,0.000545,0.000558,0.000545,0.000497,0.000545,0.000192,0.000545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000497,0.000481,0.000497,0.000481,0.000497,0.000481,0.000436,0.000481,0.000131,0.000481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000497,0.000481,0.000497,0.000481,0.000497,0.000481,0.000436,0.000481,0.000131,0.000481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012945,0.012645,0.012762,0.012645,0.012701,0.012645,0.012701,0.012645,0.012640,0.012645,0.012640,0.012645,0.012640,0.012645,0.012335,0.012645,0.009589,0.012645
0.056089,0.055536,0.055844,0.055536,0.055661,0.055536,0.055600,0.055536,0.055600,0.055536,0.055539,0.055536,0.055539,0.055536,0.055539,0.055536,0.055539,0.055536
0.056699,0.056126,0.056394,0.056126,0.056272,0.056126,0.056211,0.056126,0.056150,0.056126,0.056150,0.056126,0.056150,0.056126,0.056150,0.056126,0.056089,0.056126
0.056272,0.055716,0.056028,0.055716,0.055844,0.055716,0.055783,0.055716,0.055722,0.055716,0.055722,0.055716,0.055722,0.055716,0.055722,0.055716,0.055722,0.055716
0.046874,0.046520,0.046691,0.046520,0.046630,0.046520,0.046569,0.046520,0.046569,0.046520,0.046508,0.046520,0.046508,0.046520,0.046508,0.046520,0.046508,0.046520
0.048583,0.048298,0.048461,0.048298,0.048400,0.048298,0.048339,0.048298,0.048217,0.048298,0.047850,0.048298,0.047240,0.045883,0.046691,0.045883,0.046264,0.045883
0.078179,0.077319,0.077752,0.077319,0.077508,0.077319,0.077386,0.077319,0.077264,0.077214,0.076836,0.077214,0.075006,0.077214,0.072199,0.066618,0.069819,0.066618
0.124739,0.123415,0.124068,0.123415,0.123763,0.123415,0.123580,0.123415,0.123458,0.123315,0.123397,0.123315,0.122970,0.123315,0.121322,0.123315,0.118942,0.114029
0.153603,0.152029,0.152810,0.152029,0.152444,0.152029,0.152200,0.152029,0.152139,0.152029,0.152078,0.152029,0.151956,0.152029,0.150796,0.152029,0.147989,0.152029
0.146586,0.145082,0.145853,0.145082,0.145487,0.145082,0.145243,0.145082,0.145182,0.145082,0.145121,0.145082,0.145060,0.145082,0.144389,0.145082,0.142619,0.145082
0.142802,0.141331,0.142070,0.141331,0.141704,0.141331,0.141521,0.141331,0.141399,0.141331,0.141338,0.141233,0.141216,0.141233,0.140544,0.141233,0.138409,0.141233
0.120285,0.118989,0.119613,0.118989,0.119308,0.118989,0.119125,0.118989,0.119064,0.118989,0.119003,0.118989,0.118942,0.118989,0.118332,0.118989,0.116379,0.118989
0.127424,0.126075,0.126753,0.126075,0.126387,0.126075,0.126265,0.126075,0.126143,0.126075,0.126143,0.126075,0.126082,0.126075,0.125594,0.126075,0.123702,0.126075
0.188997,0.187108,0.188020,0.187108,0.187593,0.187108,0.187349,0.187108,0.187227,0.187108,0.187105,0.187014,0.187044,0.187014,0.186983,0.187014,0.186251,0.187014
0.182833,0.181001,0.181918,0.181001,0.181430,0.181001,0.181247,0.181001,0.181125,0.181001,0.181064,0.181001,0.181003,0.181001,0.180942,0.181001,0.180331,0.181001
0.121749,0.120446,0.121078,0.120446,0.120773,0.120446,0.120590,0.120446,0.120529,0.120446,0.120468,0.120446,0.120468,0.120446,0.120224,0.120446,0.118637,0.120446
0.118637,0.117340,0.117966,0.117340,0.117661,0.117340,0.117478,0.117340,0.117356,0.117239,0.117295,0.117239,0.117295,0.117239,0.117050,0.117239,0.115281,0.117239
0.046630,0.046416,0.046508,0.046416,0.046447,0.046416,0.046447,0.046416,0.046386,0.046416,0.045593,0.046416,0.040711,0.046416,0.026675,0.029902,0.009589,0.004287
0.096791,0.095930,0.096364,0.095930,0.096120,0.095930,0.096059,0.095930,0.095937,0.095930,0.095326,0.095930,0.091848,0.095930,0.081474,0.079941,0.063716,0.073658
0.136883,0.135210,0.136029,0.135210,0.135601,0.135210,0.135418,0.135210,0.135296,0.135210,0.135235,0.135210,0.134625,0.135210,0.130537,0.135210,0.115769,0.124287
0.135479,0.133785,0.134625,0.133785,0.134198,0.133785,0.134015,0.133785,0.133893,0.133785,0.133832,0.133785,0.133466,0.133785,0.129804,0.133785,0.115098,0.122693
0.137859,0.136157,0.137005,0.136157,0.136578,0.136157,0.136395,0.136157,0.136273,0.136157,0.136212,0.136157,0.135968,0.136157,0.132916,0.136157,0.118637,0.136157
0.135724,0.134045,0.134869,0.134045,0.134442,0.134045,0.134259,0.134045,0.134137,0.134045,0.134076,0.134045,0.133954,0.134045,0.131086,0.134045,0.117173,0.134045
0.138409,0.136694,0.137554,0.136694,0.137127,0.136694,0.136883,0.136694,0.136822,0.136694,0.136761,0.136694,0.136639,0.136694,0.134137,0.136694,0.120712,0.136694
0.139446,0.137681,0.138592,0.137681,0.138103,0.137681,0.137920,0.137681,0.137798,0.137681,0.137737,0.137681,0.137676,0.137681,0.137127,0.137681,0.133588,0.137681
