random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.101429,0.092545,0.065303,0.056955,0.024235,0.012884,0.007209,0.004632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.044738,0.040579,0.030825,0.024255,0.018804,0.012758,0.011786,0.007993,0.004402,0.007655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.026798,0.025561,0.023258,0.022554,0.016912,0.016840,0.006599,0.004411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067073,0.061147,0.041382,0.031800,0.019231,0.010882,0.008063,0.005103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070002,0.062531,0.043213,0.037452,0.018132,0.008360,0.008125,0.005768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025211,0.023943,0.021305,0.020662,0.014898,0.014299,0.007209,0.004286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.054868,0.049398,0.037477,0.031105,0.021733,0.014846,0.011054,0.007423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.079765,0.071515,0.048156,0.040865,0.017217,0.007114,0.005989,0.004761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027042,0.026335,0.023502,0.023346,0.017278,0.017165,0.009223,0.005576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.045898,0.040893,0.032534,0.025806,0.020939,0.015789,0.011542,0.008215,0.000253,0.000305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.101185,0.093682,0.066096,0.060233,0.020939,0.011201,0.002022,0.002435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.024540,0.023580,0.021000,0.020326,0.016180,0.013920,0.011054,0.008083,0.003365,0.006406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029971,0.028424,0.026675,0.026498,0.021183,0.020555,0.012884,0.010194,0.000680,0.001494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.104907,0.096562,0.066401,0.059494,0.017522,0.007810,0.000131,0.000377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.038392,0.034878,0.027835,0.023002,0.018498,0.013626,0.012274,0.008657,0.004951,0.008407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025882,0.024985,0.022099,0.021832,0.015813,0.015159,0.006294,0.004427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.074823,0.067324,0.048339,0.040290,0.023075,0.013229,0.010321,0.006135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060055,0.054384,0.038087,0.030653,0.019414,0.010900,0.010871,0.007670,0.001717,0.004729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.026126,0.025092,0.022343,0.021613,0.015935,0.015122,0.006355,0.003747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.074212,0.067587,0.048400,0.040127,0.023197,0.013274,0.009833,0.005989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060970,0.054021,0.036561,0.030410,0.015935,0.007794,0.007392,0.005689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027042,0.026327,0.023624,0.023409,0.017461,0.017440,0.008308,0.005198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
