random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.025577,11216,0.021122,9472,0.013189,6304,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,466032
0.024723,10976,0.019902,8992,0.011725,5072,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,466016
0.016363,7392,0.013617,6352,0.009223,4000,0.005378,1472,0.003487,1296,0.001839,960,0.000000,0,0.000000,0,0.000000,0,472032
0.003731,2208,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,527968
0.029910,11024,0.027652,10704,0.026248,10624,0.024845,10304,0.022587,9296,0.015996,8640,0.005256,960,0.000000,0,0.000000,0,418960
0.012762,5360,0.012152,5360,0.010565,4896,0.007331,2896,0.002938,608,0.000000,0,0.000000,0,0.000000,0,0.000000,0,431536
0.008430,3712,0.008247,3712,0.007514,3712,0.003853,3648,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,453904
0.027591,12000,0.022892,7408,0.018498,6496,0.014288,5040,0.006538,3552,0.000000,0,0.000000,0,0.000000,0,0.000000,0,394960
0.020085,8960,0.015813,5200,0.011786,3248,0.007453,2912,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,379264
0.014410,4688,0.014288,4688,0.014166,4688,0.013250,4688,0.008369,4624,0.000000,0,0.000000,0,0.000000,0,0.000000,0,330336
0.052366,21872,0.052000,21872,0.051756,21872,0.051390,21872,0.049132,21872,0.040589,19744,0.017766,9456,0.000000,0,0.000000,0,424080
0.067439,22256,0.066279,22256,0.063411,21808,0.057065,19120,0.046569,14496,0.033815,9104,0.020329,6176,0.000000,0,0.000000,0,334320
0.018559,8864,0.018376,8864,0.018315,8864,0.017644,8864,0.014898,8864,0.007758,3600,0.000000,0,0.000000,0,0.000000,0,486080
0.041504,18096,0.041321,18096,0.040894,18096,0.038758,18096,0.033144,14288,0.024235,8512,0.010626,3856,0.000000,0,0.000000,0,440240
0.012823,3072,0.007514,2304,0.004524,1136,0.002693,944,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,409776
0.010260,2416,0.005867,1952,0.002022,1120,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,415504
0.012457,3136,0.008125,2624,0.004951,1568,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,395936
0.007209,1792,0.004280,1216,0.001046,608,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,375280
0.018865,4128,0.012518,3520,0.009528,2896,0.007209,2624,0.003304,1648,0.000000,0,0.000000,0,0.000000,0,0.000000,0,378880
0.017400,3696,0.012091,2928,0.008979,2512,0.005684,1824,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,319728
0.021672,5072,0.015081,4272,0.010565,2832,0.005928,1856,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,339696
