random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.013250,9984,0.008796,4128,0.006477,4128,0.005562,4128,0.005073,4128,0.004463,4128,0.002571,3088,0.000000,0,0.000000,0,866944
0.013067,9888,0.008674,4048,0.006355,4048,0.005440,4048,0.005012,4048,0.004402,4048,0.002571,2992,0.000000,0,0.000000,0,868080
0.013372,10080,0.008918,4144,0.006538,4144,0.005562,4144,0.005134,4144,0.004646,4144,0.003182,4144,0.000000,0,0.000000,0,868096
0.013495,10160,0.008796,3936,0.006294,3936,0.005317,3936,0.004890,3936,0.004402,3936,0.002816,3936,0.000000,0,0.000000,0,867152
0.014715,10880,0.010077,4864,0.007392,4656,0.006294,4656,0.005806,4656,0.005378,4656,0.003975,4656,0.000000,0,0.000000,0,868112
0.023441,17344,0.021122,17344,0.019536,15024,0.018498,15024,0.017583,15024,0.016363,13824,0.014044,12400,0.007880,8288,0.000000,0,859696
0.013250,9968,0.009162,4528,0.006843,4528,0.005501,4528,0.004585,3056,0.003609,3056,0.001107,3056,0.000000,0,0.000000,0,866656
0.014288,10656,0.009528,4288,0.006904,4288,0.005745,4288,0.004951,4256,0.004158,3344,0.001900,3344,0.000000,0,0.000000,0,867072
0.014044,10416,0.009650,4624,0.007209,4624,0.006172,4624,0.005501,4624,0.004585,3504,0.002388,3376,0.000000,0,0.000000,0,866848
0.014776,10896,0.010382,5248,0.007819,5040,0.006721,5040,0.006111,5040,0.005440,5040,0.003487,3824,0.000000,0,0.000000,0,867952
0.013739,10304,0.009040,4048,0.006477,4048,0.005501,4048,0.004951,4048,0.004158,4048,0.001717,2912,0.000000,0,0.000000,0,865616
0.012335,9488,0.008063,3760,0.005867,3760,0.005012,3760,0.004585,3760,0.003792,3760,0.001351,2656,0.000000,0,0.000000,0,865216
0.014959,11040,0.010382,5968,0.007697,4864,0.006538,4864,0.006050,4864,0.005501,4864,0.003792,4608,0.000000,0,0.000000,0,868592
0.013006,9776,0.008918,4400,0.006721,4400,0.005867,4400,0.005440,4400,0.004890,4400,0.003121,4400,0.000000,0,0.000000,0,866784
0.014105,10496,0.009589,4480,0.007087,4480,0.006050,4480,0.005562,4480,0.005073,4480,0.003487,4480,0.000000,0,0.000000,0,867008
0.014349,10624,0.009894,4672,0.007331,4672,0.006294,4672,0.005806,4672,0.005378,4672,0.003975,4672,0.000000,0,0.000000,0,866848
0.024235,17888,0.021733,17888,0.020024,15264,0.018926,15264,0.018010,15264,0.016790,14320,0.014410,12576,0.008247,8784,0.000000,0,859344
0.013861,10304,0.009650,4768,0.007209,4768,0.005867,4560,0.005073,3632,0.004280,3632,0.001900,3632,0.000000,0,0.000000,0,868080
0.013495,10064,0.009223,4496,0.006965,4496,0.005867,4496,0.005073,4256,0.004158,3344,0.001717,3344,0.000000,0,0.000000,0,866400
0.014227,10592,0.009650,4464,0.007087,4464,0.005989,4464,0.005317,4464,0.004402,3344,0.002022,3344,0.000000,0,0.000000,0,866112
0.013617,10192,0.009162,4256,0.006721,4256,0.005684,4256,0.005073,4256,0.004158,3824,0.001656,2976,0.000000,0,0.000000,0,866000
0.013495,10096,0.009284,4528,0.006965,4528,0.006050,4528,0.005501,4528,0.004829,4528,0.002816,3440,0.000000,0,0.000000,0,866224
0.014410,10688,0.009711,4736,0.007087,4432,0.005989,4432,0.005501,4432,0.004829,4432,0.002877,3296,0.000000,0,0.000000,0,865952
0.013922,10400,0.009467,4448,0.006965,4448,0.005989,4448,0.005501,4448,0.004890,4448,0.002999,3216,0.000000,0,0.000000,0,868416
0.013495,10192,0.008979,4144,0.006538,4144,0.005562,4144,0.005134,4144,0.004585,4144,0.002754,3424,0.000000,0,0.000000,0,866736
0.013617,10128,0.009406,4608,0.007087,4608,0.006111,4608,0.005684,4608,0.005195,4608,0.003609,4608,0.000000,0,0.000000,0,866064
0.013372,10112,0.008735,3952,0.006294,3952,0.005317,3952,0.004890,3952,0.004402,3952,0.002632,3952,0.000000,0,0.000000,0,866256
0.020695,15072,0.017705,15072,0.015630,11360,0.014410,11360,0.013800,11360,0.013372,11360,0.012091,11360,0.007087,8864,0.000000,0,863696
0.018071,13040,0.014776,13040,0.012518,8848,0.010932,8848,0.009162,7664,0.006782,5184,0.003243,3120,0.000000,0,0.000000,0,863920
0.013372,10048,0.009040,4336,0.006721,4336,0.005623,4336,0.004829,3776,0.003914,3280,0.001473,3280,0.000000,0,0.000000,0,868608
0.014044,10448,0.009711,4672,0.007270,4672,0.006172,4672,0.005440,4672,0.004585,3456,0.002205,3456,0.000000,0,0.000000,0,867776
0.014105,10512,0.009528,4432,0.007026,4432,0.005928,4432,0.005317,4432,0.004524,4096,0.002266,3328,0.000000,0,0.000000,0,868528
0.014105,10496,0.009589,4528,0.007087,4528,0.006050,4528,0.005501,4528,0.004707,4528,0.002510,3232,0.000000,0,0.000000,0,868672
0.013250,9968,0.008918,4288,0.006660,4288,0.005684,4288,0.005256,4288,0.004524,4288,0.002449,3120,0.000000,0,0.000000,0,868608
0.013556,10160,0.009284,4480,0.006965,4480,0.005989,4480,0.005501,4480,0.004890,4480,0.002999,3232,0.000000,0,0.000000,0,868256
0.012579,9568,0.008308,3936,0.006111,3936,0.005256,3936,0.004829,3936,0.004280,3936,0.002327,3040,0.000000,0,0.000000,0,867568
0.014105,10544,0.009284,4128,0.006660,4128,0.005623,4128,0.005134,4128,0.004585,4128,0.002816,4128,0.000000,0,0.000000,0,867632
0.013983,10432,0.009650,4624,0.007209,4624,0.006172,4624,0.005745,4624,0.005256,4624,0.003670,4624,0.000000,0,0.000000,0,868144
0.016668,12176,0.012945,12176,0.010565,7168,0.009345,7168,0.008796,7168,0.008430,7168,0.007270,7168,0.002877,5776,0.000000,0,867344
0.021733,15872,0.019048,15872,0.017156,12720,0.015813,12720,0.014593,12448,0.012884,10736,0.009284,8640,0.000314,2224,0.000000,0,859856
0.013678,10240,0.009345,4512,0.006965,4512,0.005745,4512,0.004890,3632,0.003975,3264,0.001473,3264,0.000000,0,0.000000,0,868432
0.013495,10096,0.009162,4400,0.006843,4400,0.005806,4400,0.005195,4400,0.004402,3552,0.002144,3552,0.000000,0,0.000000,0,869456
0.012640,9600,0.008491,4112,0.006355,4112,0.005440,4112,0.004829,4112,0.003975,3040,0.001595,3040,0.000000,0,0.000000,0,868016
0.013128,9920,0.008674,4080,0.006416,4080,0.005440,4080,0.004951,4080,0.004158,4080,0.001900,3072,0.000000,0,0.000000,0,868128
0.013556,10176,0.009040,4208,0.006660,4208,0.005623,4208,0.005134,4208,0.004341,4208,0.002083,2832,0.000000,0,0.000000,0,867776
0.014349,10720,0.009711,4624,0.007087,4416,0.005989,4416,0.005440,4416,0.004890,4416,0.002999,3408,0.000000,0,0.000000,0,867504
0.013861,10400,0.009528,4560,0.007087,4560,0.006111,4560,0.005623,4560,0.005073,4560,0.003365,4336,0.000000,0,0.000000,0,869264
0.014288,10640,0.010016,4880,0.007575,4880,0.006538,4880,0.006050,4880,0.005562,4880,0.003975,4880,0.000000,0,0.000000,0,868320
0.013983,10384,0.009650,4704,0.007270,4704,0.006233,4704,0.005806,4704,0.005378,4704,0.003853,4704,0.000000,0,0.000000,0,869280
0.014654,10944,0.009650,5632,0.006843,4160,0.005684,4160,0.005195,4160,0.004707,4160,0.003060,4160,0.000000,0,0.000000,0,867344
0.023868,17760,0.021550,17760,0.020085,15616,0.019048,15616,0.018132,15616,0.016912,14336,0.014532,12704,0.008063,9120,0.000000,0,863536
0.013617,10208,0.009345,4496,0.006904,4496,0.005623,4496,0.004646,3136,0.003670,3056,0.001046,3056,0.000000,0,0.000000,0,869344
0.014410,10672,0.009833,4880,0.007270,4608,0.006111,4608,0.005317,4608,0.004463,3488,0.002144,3488,0.000000,0,0.000000,0,867856
0.013739,10256,0.009467,4576,0.007087,4576,0.006050,4576,0.005440,4576,0.004707,3856,0.002510,3536,0.000000,0,0.000000,0,868720
0.013739,10288,0.009345,4464,0.006965,4464,0.005928,4464,0.005378,4464,0.004585,4464,0.002388,3296,0.000000,0,0.000000,0,869008
0.013678,10288,0.009223,4288,0.006782,4288,0.005745,4288,0.005256,4288,0.004585,4288,0.002510,3344,0.000000,0,0.000000,0,867808
0.014898,10960,0.010443,6256,0.007880,5056,0.006782,5056,0.006233,5056,0.005623,5056,0.003914,3808,0.000000,0,0.000000,0,869344
0.013739,10272,0.009528,4640,0.007148,4640,0.006172,4640,0.005684,4640,0.005195,4640,0.003365,4048,0.000000,0,0.000000,0,868656
0.013861,10368,0.009284,4272,0.006782,4272,0.005745,4272,0.005317,4272,0.004768,4272,0.003060,4272,0.000000,0,0.000000,0,867248
0.013983,10400,0.009467,4416,0.006965,4416,0.005928,4416,0.005501,4416,0.005012,4416,0.003426,4416,0.000000,0,0.000000,0,868448
0.014044,10432,0.009711,4752,0.007331,4752,0.006294,4752,0.005867,4752,0.005440,4752,0.003975,4752,0.000000,0,0.000000,0,869712
0.024357,18096,0.022038,18096,0.020512,15888,0.019475,15888,0.018620,15888,0.017583,14928,0.015447,13568,0.009467,9856,0.000000,0,860096
0.013617,10224,0.009345,4528,0.006965,4528,0.005562,4384,0.004585,3104,0.003670,3104,0.000985,3104,0.000000,0,0.000000,0,866800
0.014288,10656,0.009528,4272,0.006843,4272,0.005623,4272,0.004829,4144,0.003914,3168,0.001412,3168,0.000000,0,0.000000,0,869280
0.013434,10112,0.009040,4256,0.006660,4256,0.005684,4256,0.005012,4256,0.004158,3232,0.001778,3232,0.000000,0,0.000000,0,868912
