random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.027591,0.024568,0.018681,0.013708,0.011603,0.010711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006843,0.004982,0.002999,0.003683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.014166,0.011794,0.012884,0.011794,0.012335,0.011794,0.012030,0.011794,0.011786,0.011794,0.011359,0.011453,0.010321,0.010459,0.007392,0.008473,0.000000,0.000000
0.000436,0.000378,0.000436,0.000378,0.000375,0.000378,0.000314,0.000378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012396,0.010343,0.011298,0.010343,0.010810,0.010343,0.010565,0.010343,0.010382,0.010343,0.009955,0.010343,0.008857,0.009039,0.005623,0.006678,0.000000,0.000000
0.010138,0.008354,0.009162,0.008354,0.008735,0.008354,0.008552,0.008354,0.008430,0.008354,0.008369,0.008354,0.008002,0.008354,0.005867,0.008323,0.000000,0.000000
0.004402,0.003641,0.003975,0.003641,0.003792,0.003641,0.003609,0.003641,0.002938,0.003641,0.000558,0.001413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.014532,0.012040,0.013189,0.012040,0.012579,0.012040,0.012335,0.012040,0.012152,0.012040,0.012030,0.012040,0.011481,0.012040,0.009528,0.010399,0.002938,0.005478
0.004463,0.003701,0.004036,0.003701,0.003853,0.003701,0.003792,0.003701,0.003731,0.003701,0.003670,0.003701,0.003182,0.003701,0.000802,0.003231,0.000000,0.000000
0.009772,0.008139,0.008918,0.008139,0.008491,0.008139,0.008308,0.008139,0.008186,0.008139,0.008002,0.008139,0.006843,0.008139,0.002571,0.004397,0.000000,0.000000
0.013556,0.011445,0.012457,0.011445,0.011908,0.011445,0.011664,0.011445,0.011542,0.011445,0.011481,0.011445,0.011176,0.011445,0.009650,0.010918,0.004219,0.006824
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015020,0.012530,0.013678,0.012530,0.013128,0.012530,0.012823,0.012530,0.012640,0.012530,0.012579,0.012530,0.012335,0.012530,0.011115,0.012530,0.006233,0.008674
0.009162,0.007659,0.008369,0.007659,0.008002,0.007659,0.007819,0.007659,0.007758,0.007659,0.007697,0.007659,0.007575,0.007659,0.006477,0.007659,0.001717,0.004515
0.005317,0.004480,0.004890,0.004480,0.004646,0.004480,0.004585,0.004480,0.004463,0.004480,0.004036,0.004480,0.001961,0.003697,0.000000,0.000000,0.000000,0.000000
0.013983,0.011629,0.012701,0.011629,0.012152,0.011629,0.011908,0.011629,0.011786,0.011629,0.011664,0.011629,0.011542,0.011629,0.010504,0.011629,0.006233,0.008644
0.004036,0.003343,0.003670,0.003343,0.003487,0.003343,0.003426,0.003343,0.003365,0.003343,0.003365,0.003343,0.002999,0.003343,0.001290,0.003343,0.000000,0.000000
0.010443,0.008675,0.009528,0.008675,0.009101,0.008675,0.008857,0.008675,0.008796,0.008675,0.008735,0.008675,0.008430,0.008675,0.006660,0.008675,0.000000,0.001092
0.013006,0.010972,0.011908,0.010972,0.011420,0.010972,0.011176,0.010972,0.011115,0.010972,0.011054,0.010972,0.010932,0.010972,0.010199,0.010972,0.006599,0.009791
0.000436,0.000345,0.000375,0.000345,0.000253,0.000345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
