random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.033083,15760,0.021000,6960,0.016363,6960,0.014593,6960,0.013739,6960,0.012274,6960,0.006111,6800,0.000000,0,0.000000,0,533456
0.031252,11856,0.029238,11424,0.027957,11408,0.026675,11168,0.024296,10528,0.019048,8160,0.005378,3728,0.000000,0,0.000000,0,422656
0.033815,17072,0.021794,7408,0.016973,7408,0.014532,7376,0.012518,6160,0.009345,5360,0.000000,0,0.000000,0,0.000000,0,543360
0.035585,18656,0.022892,7744,0.017888,7744,0.015813,7744,0.014288,7744,0.010932,6240,0.000253,3760,0.000000,0,0.000000,0,542608
0.036195,18736,0.023197,7712,0.018010,7712,0.015935,7712,0.014715,7712,0.011664,7712,0.000741,5120,0.000000,0,0.000000,0,540128
0.037904,20112,0.024906,8368,0.019536,8368,0.017339,8368,0.016241,8368,0.014166,8368,0.005440,7376,0.000000,0,0.000000,0,539456
0.028384,10384,0.025699,9856,0.024113,9856,0.022953,9712,0.021183,9216,0.016912,7760,0.003914,3696,0.000000,0,0.000000,0,431872
0.038331,20080,0.027530,9952,0.022404,9952,0.019597,9808,0.017095,8576,0.013495,6896,0.003304,6640,0.000000,0,0.000000,0,536736
0.032473,16336,0.020634,6992,0.016119,6992,0.014227,6992,0.012518,6944,0.008796,5136,0.000000,0,0.000000,0,0.000000,0,541872
0.031679,14368,0.020146,6816,0.015813,6816,0.014044,6816,0.012762,6816,0.009284,6560,0.000000,0,0.000000,0,0.000000,0,538224
0.039124,20912,0.025821,8576,0.020146,8576,0.017827,8576,0.016729,8576,0.014532,8576,0.005623,7296,0.000000,0,0.000000,0,538432
0.029483,10624,0.024662,9200,0.022099,9168,0.020451,9056,0.018498,8416,0.014288,7184,0.001290,2448,0.000000,0,0.000000,0,460496
0.031435,12624,0.023319,8400,0.019475,8352,0.016973,8112,0.014349,6688,0.009650,5168,0.000000,0,0.000000,0,0.000000,0,500016
0.034364,18336,0.021244,6944,0.016241,6944,0.014044,6944,0.012091,6688,0.008002,4768,0.000000,0,0.000000,0,0.000000,0,542880
0.039307,21008,0.025577,8464,0.019780,8464,0.017522,8464,0.016180,8464,0.013495,8464,0.003853,6528,0.000000,0,0.000000,0,542624
0.036683,19296,0.024052,8080,0.018804,8080,0.016729,8080,0.015630,8080,0.013189,8080,0.003731,6016,0.000000,0,0.000000,0,539680
0.030825,12272,0.023563,8592,0.020085,8576,0.018254,8432,0.016729,8000,0.013372,7328,0.002388,4480,0.000000,0,0.000000,0,494224
0.021550,8464,0.021122,8464,0.020268,8464,0.018010,7520,0.013861,4816,0.005317,2976,0.000000,0,0.000000,0,0.000000,0,404992
0.023502,10992,0.022709,10992,0.017705,10992,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,475888
0.023197,10816,0.022404,10816,0.017766,10816,0.004707,400,0.001534,400,0.000802,400,0.000000,0,0.000000,0,0.000000,0,474640
0.036866,17408,0.036439,17408,0.034914,17408,0.028323,17408,0.019048,5216,0.014288,5216,0.012396,5216,0.011359,5216,0.008674,5216,480800
0.036439,17216,0.036073,17216,0.034486,17216,0.028018,17216,0.019109,5312,0.014471,5312,0.012457,5312,0.009894,5312,0.001961,2544,480784
0.030764,14256,0.030337,14256,0.028323,14256,0.021794,14256,0.015081,4512,0.011542,4512,0.007392,4272,0.000000,0,0.000000,0,471936
0.020512,9456,0.019475,9456,0.013434,9456,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,468992
0.024052,11248,0.023319,11248,0.018559,11248,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,475840
0.033205,15680,0.032839,15680,0.030947,15680,0.024052,15680,0.015874,4512,0.012152,4512,0.010626,4512,0.009772,4512,0.007575,4512,479744
0.035463,16768,0.035097,16768,0.033449,16768,0.026798,16768,0.018071,5056,0.013739,5056,0.011908,5056,0.010382,5056,0.005684,5056,480880
0.036561,17296,0.036134,17296,0.034731,17296,0.028872,17296,0.020756,6112,0.016241,6112,0.013861,6112,0.009711,6112,0.000000,0,481792
0.017400,7920,0.015996,7920,0.008979,7920,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,461200
0.022587,10560,0.021733,10560,0.016546,10560,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,475760
0.032351,15232,0.031923,15232,0.029788,15232,0.021672,15232,0.012823,3392,0.009345,3392,0.008063,3392,0.007270,3392,0.005073,3392,479152
0.035036,16544,0.034608,16544,0.033022,16544,0.026920,16544,0.019048,5616,0.014898,5616,0.013189,5616,0.012152,5616,0.009528,5616,480704
0.036134,17136,0.035768,17136,0.034303,17136,0.028384,17136,0.020268,5968,0.015874,5968,0.013922,5968,0.011847,5968,0.005134,5456,482240
0.016424,7472,0.015142,7472,0.010382,7472,0.005378,1264,0.003609,1264,0.002083,1264,0.000000,0,0.000000,0,0.000000,0,461776
0.024784,11584,0.024113,11584,0.019536,11584,0.000000,11584,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,475760
0.029116,13664,0.028628,13664,0.025760,13664,0.015996,13664,0.007880,2032,0.005623,2032,0.004829,2032,0.003975,2032,0.001046,2032,477744
0.033815,16016,0.033449,16016,0.031801,16016,0.025699,16016,0.018254,5504,0.014410,5504,0.012823,5504,0.011969,5504,0.010321,5504,481712
0.035158,16624,0.034792,16624,0.033205,16624,0.026981,16624,0.018926,5536,0.014776,5536,0.012945,5536,0.011603,5536,0.007331,5536,481120
0.021366,9728,0.020634,9728,0.017339,9728,0.011481,2704,0.008125,2704,0.006782,2704,0.005378,2704,0.001046,2064,0.000000,0,463520
0.023685,11072,0.022953,11072,0.018010,11072,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,475728
0.025882,12096,0.025272,12096,0.021489,12096,0.009711,12096,0.003670,944,0.002571,944,0.002022,944,0.000680,944,0.000000,0,475840
0.036622,17360,0.036256,17360,0.034792,17360,0.028567,17360,0.019963,5712,0.015386,5712,0.013434,5712,0.012579,5712,0.011420,5712,482144
