random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.030642,0.020948,0.001595,0.000379,0.000558,0.000342,0.000131,0.000304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029055,0.018059,0.003548,0.001345,0.000741,0.000346,0.000192,0.000307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029483,0.018618,0.002693,0.000908,0.000497,0.000227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.042786,0.034997,0.004524,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025577,0.012881,0.005195,0.002046,0.002754,0.001886,0.001839,0.001766,0.000985,0.000963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021122,0.008486,0.006111,0.002913,0.002877,0.002069,0.001534,0.000844,0.000497,0.000844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034242,0.026406,0.002693,0.000686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034853,0.025709,0.004768,0.001654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.038270,0.029698,0.004097,0.001070,0.000192,0.000074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034303,0.021096,0.002816,0.000614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011542,0.002944,0.002816,0.001323,0.000985,0.001238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022648,0.011659,0.006599,0.003229,0.003243,0.002726,0.001656,0.000923,0.000802,0.000923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020207,0.006428,0.008125,0.005759,0.004036,0.002455,0.002327,0.001518,0.001534,0.001384,0.000000,0.000045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.026675,0.011566,0.003975,0.001941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021244,0.006802,0.007087,0.004124,0.003365,0.002593,0.001961,0.001318,0.001046,0.001275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.028140,0.014378,0.003975,0.001580,0.000436,0.000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030093,0.014711,0.007941,0.003595,0.003548,0.002479,0.001961,0.001322,0.000863,0.001033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.038819,0.029208,0.006660,0.002206,0.000314,0.000190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.035585,0.025206,0.004707,0.001559,0.000131,0.000152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039612,0.029965,0.006416,0.002099,0.000131,0.000115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.026370,0.015156,0.003182,0.000960,0.000497,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.019597,0.008213,0.005623,0.002752,0.001595,0.001185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011359,0.003200,0.003914,0.002578,0.001656,0.000756,0.000863,0.000667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020878,0.007455,0.006782,0.003749,0.002999,0.001491,0.001839,0.001193,0.001046,0.001193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009955,0.003136,0.001961,0.001434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.035158,0.022423,0.007392,0.003312,0.001595,0.000878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.058713,0.056647,0.008796,0.002555,0.000497,0.000180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025760,0.014479,0.002327,0.000704,0.000985,0.000665,0.000497,0.000548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039917,0.031655,0.005317,0.002035,0.000924,0.000363,0.000131,0.000327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
