random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.020329,3152,0.006660,1152,0.003243,784,0.001961,512,0.001107,416,0.000000,0,0.000000,0,0.000000,0,0.000000,0,373904
0.042358,16752,0.005317,688,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,419248
0.034792,13424,0.002571,240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,418768
0.027042,5712,0.005256,896,0.000741,304,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,404496
0.039124,12736,0.005928,704,0.000436,112,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,422176
0.022770,4112,0.002816,432,0.000314,224,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,399680
0.028933,4960,0.007026,1264,0.002877,864,0.001168,240,0.000192,240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,393632
0.007514,1088,0.004097,992,0.002571,480,0.001839,448,0.001290,416,0.000000,0,0.000000,0,0.000000,0,0.000000,0,326880
0.022343,3056,0.004646,848,0.001351,240,0.000314,112,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,392416
0.020085,3408,0.003304,512,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,379360
0.013922,2176,0.006904,1616,0.004036,1024,0.002510,592,0.001595,512,0.000000,0,0.000000,0,0.000000,0,0.000000,0,353760
0.011847,1712,0.002754,448,0.000619,112,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,366624
0.036439,10272,0.009833,1696,0.003792,848,0.001961,528,0.000741,352,0.000000,0,0.000000,0,0.000000,0,0.000000,0,406224
0.043945,16976,0.005012,560,0.000192,16,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,421104
0.027591,6016,0.004951,784,0.000558,80,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,399728
0.033998,9488,0.005928,880,0.001046,288,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,411808
0.043335,17232,0.006233,736,0.000680,208,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,422624
0.015813,1344,0.002938,464,0.000619,240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,387120
0.014837,1808,0.005501,1184,0.002693,624,0.001595,384,0.000863,384,0.000000,0,0.000000,0,0.000000,0,0.000000,0,369616
0.018498,2304,0.006599,1520,0.003182,576,0.001717,464,0.000863,352,0.000000,0,0.000000,0,0.000000,0,0.000000,0,378224
0.013067,1408,0.003670,896,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,367488
0.013739,1744,0.005623,1296,0.003426,784,0.002510,736,0.001595,672,0.000000,0,0.000000,0,0.000000,0,0.000000,0,366288
0.022343,3696,0.007087,1360,0.003792,928,0.002632,768,0.001656,704,0.000000,0,0.000000,0,0.000000,0,0.000000,0,385168
0.046081,14080,0.005989,688,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,427648
