random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.038636,14768,0.028872,11984,0.021794,9280,0.015752,6320,0.010016,3744,0.000000,16,0.000000,0,0.000000,0,0.000000,0,509952
0.041504,13488,0.028506,10272,0.020146,8192,0.011786,5808,0.003243,1376,0.000000,0,0.000000,0,0.000000,0,0.000000,0,481408
0.033266,12288,0.024235,9744,0.018315,8240,0.011420,5536,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,514080
0.040650,14368,0.027957,10288,0.018315,6976,0.009223,4064,0.002693,1152,0.000000,0,0.000000,0,0.000000,0,0.000000,0,481920
0.036317,12480,0.023624,8352,0.016058,5824,0.010504,4672,0.002754,1312,0.000000,0,0.000000,0,0.000000,0,0.000000,0,479600
0.033327,11216,0.022953,8496,0.015508,6640,0.008186,3104,0.001107,224,0.000000,0,0.000000,0,0.000000,0,0.000000,0,478848
0.021183,7760,0.012396,5056,0.006416,2544,0.002816,784,0.000802,688,0.000000,0,0.000000,0,0.000000,0,0.000000,0,546832
0.009223,3040,0.001534,288,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,590528
0.025272,10064,0.016790,6752,0.012152,5296,0.008979,3984,0.005562,3424,0.000863,528,0.000000,0,0.000000,0,0.000000,0,560768
0.025150,8960,0.015874,6096,0.010993,4384,0.007697,3552,0.004402,2096,0.000314,96,0.000000,0,0.000000,0,0.000000,0,543792
0.027225,10608,0.017400,6960,0.011420,5264,0.006904,2800,0.002999,1392,0.000000,0,0.000000,0,0.000000,0,0.000000,0,563360
0.027042,10272,0.016912,6368,0.010565,4544,0.005256,2512,0.001351,848,0.000000,0,0.000000,0,0.000000,0,0.000000,0,537088
0.030764,11248,0.020146,7808,0.013922,6224,0.009284,3488,0.005623,2656,0.000985,1264,0.000000,0,0.000000,0,0.000000,0,539328
0.022343,7632,0.012884,4464,0.008369,3376,0.004341,2768,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,542096
0.027896,11040,0.017644,6624,0.011664,4848,0.006599,2912,0.000000,16,0.000000,0,0.000000,0,0.000000,0,0.000000,0,550688
0.028567,9696,0.016912,5680,0.009772,3984,0.003121,864,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,507728
0.030520,12416,0.020756,8416,0.014410,6224,0.009223,4096,0.001900,960,0.000000,0,0.000000,0,0.000000,0,0.000000,0,544320
0.037293,13088,0.024601,9392,0.016363,6464,0.009772,2800,0.005134,1552,0.000741,512,0.000000,0,0.000000,0,0.000000,0,514736
0.033693,11936,0.023319,9120,0.017339,7392,0.012579,6048,0.008674,3200,0.005195,2464,0.000000,0,0.000000,0,0.000000,0,519200
0.026370,9152,0.016058,6192,0.009589,3552,0.003975,928,0.000131,48,0.000000,0,0.000000,0,0.000000,0,0.000000,0,537168
0.036134,12768,0.025394,9728,0.018681,7552,0.012213,5936,0.002693,752,0.000000,0,0.000000,0,0.000000,0,0.000000,0,505760
0.034670,12896,0.023014,9040,0.015691,6432,0.008430,4368,0.000924,96,0.000000,0,0.000000,0,0.000000,0,0.000000,0,521264
0.038819,13392,0.025699,9536,0.017217,6688,0.010077,4272,0.003487,1344,0.000000,0,0.000000,0,0.000000,0,0.000000,0,495136
0.042969,13792,0.029544,10208,0.021428,8448,0.012213,6288,0.005073,1280,0.002205,704,0.000000,0,0.000000,0,0.000000,0,464048
0.042236,14208,0.029544,10816,0.020146,7184,0.011359,4544,0.006416,1760,0.004707,1728,0.002938,1712,0.000000,0,0.000000,0,457760
0.030276,11024,0.021122,8240,0.015325,6176,0.010443,3536,0.006965,2368,0.004585,2096,0.000924,1392,0.000000,0,0.000000,0,504816
0.029238,11600,0.019719,8048,0.013495,5632,0.008308,3520,0.004524,1696,0.000802,224,0.000000,0,0.000000,0,0.000000,0,539360
0.025821,9536,0.015813,5568,0.009833,3568,0.005317,2576,0.001717,1056,0.000000,0,0.000000,0,0.000000,0,0.000000,0,515872
0.044799,14144,0.033693,11984,0.026492,10048,0.019658,7664,0.012335,3632,0.004951,1840,0.000000,0,0.000000,0,0.000000,0,442208
0.028018,10048,0.018437,7520,0.012091,5136,0.003975,2192,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,526560
0.028445,10336,0.018376,7408,0.012579,5376,0.007148,3392,0.000497,32,0.000000,0,0.000000,0,0.000000,0,0.000000,0,539312
0.017156,5968,0.009101,3312,0.005501,2272,0.003182,1408,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,565200
0.028628,11488,0.018926,7440,0.012884,5152,0.008002,3392,0.002449,1312,0.000000,0,0.000000,0,0.000000,0,0.000000,0,538288
0.035768,13232,0.024296,8896,0.016546,6656,0.010138,4400,0.004219,2240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,498240
0.016851,4656,0.008125,2592,0.002938,1744,0.000436,112,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,516256
0.026675,10112,0.016912,6496,0.011237,4416,0.007758,3472,0.004097,1952,0.000000,0,0.000000,0,0.000000,0,0.000000,0,549424
0.038880,14848,0.026431,10096,0.018620,7728,0.012579,5168,0.006172,3296,0.000558,560,0.000000,0,0.000000,0,0.000000,0,520208
0.047362,17680,0.033693,12848,0.023014,9216,0.013495,5168,0.008186,2528,0.005684,2496,0.001473,2304,0.000000,0,0.000000,0,488000
0.019536,7232,0.010932,4240,0.005806,1888,0.002877,1264,0.000314,64,0.000000,0,0.000000,0,0.000000,0,0.000000,0,566096
0.026431,10544,0.015386,5856,0.008186,3440,0.003243,1200,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,568368
0.020756,8000,0.012701,5040,0.007819,3360,0.004280,2128,0.000619,96,0.000000,0,0.000000,0,0.000000,0,0.000000,0,574160
0.017888,7104,0.009406,3488,0.004097,1680,0.000619,144,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,576448
0.027652,11312,0.016302,6240,0.008430,3520,0.002571,1264,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,565056
0.022648,7920,0.013983,5536,0.009345,3904,0.006843,2720,0.005562,2592,0.003792,2560,0.000000,0,0.000000,0,0.000000,0,544672
0.026248,9568,0.016424,6736,0.010626,3968,0.005989,3264,0.000619,128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,544992
0.022526,8672,0.012152,4256,0.006721,2688,0.003060,1456,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,578816
0.031984,12320,0.019292,6752,0.012091,5328,0.006843,2896,0.002816,1232,0.000000,0,0.000000,0,0.000000,0,0.000000,0,543456
0.045715,15488,0.032168,11872,0.023380,9424,0.016180,6144,0.010871,3216,0.007819,3152,0.003487,3072,0.000000,0,0.000000,0,482720
0.039185,14256,0.027835,11216,0.019719,7968,0.013006,5328,0.006477,2816,0.000192,48,0.000000,0,0.000000,0,0.000000,0,506704
0.036378,12768,0.024723,9408,0.016729,6400,0.009406,4080,0.003487,592,0.000000,0,0.000000,0,0.000000,0,0.000000,0,495376
0.044250,16240,0.030459,11392,0.021244,8240,0.013128,5632,0.004524,2192,0.000000,0,0.000000,0,0.000000,0,0.000000,0,486704
0.035646,12368,0.023624,7952,0.016180,5584,0.010993,3232,0.006660,3104,0.003121,1056,0.000000,0,0.000000,0,0.000000,0,465024
0.040833,15312,0.027225,9920,0.019109,7776,0.012457,5248,0.004341,2400,0.000000,0,0.000000,0,0.000000,0,0.000000,0,505824
0.041260,14784,0.027774,9632,0.018987,7056,0.011176,4800,0.001534,1568,0.000000,0,0.000000,0,0.000000,0,0.000000,0,475360
0.033815,11312,0.020573,6960,0.011725,4288,0.005256,1472,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,474224
