random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.023502,9008,0.016851,8320,0.013250,6496,0.011359,5792,0.010321,5728,0.009833,5696,0.009284,5664,0.006843,5664,0.000000,0,608304
0.024845,9360,0.017339,8064,0.013495,6800,0.011420,5792,0.010260,5584,0.009711,5552,0.009040,5552,0.006416,5552,0.000000,0,609824
0.024479,8944,0.017278,8016,0.013678,7040,0.011664,5984,0.010626,5824,0.010077,5824,0.009528,5824,0.006904,5824,0.000000,0,608720
0.025577,9984,0.018620,8448,0.015020,7616,0.013067,6816,0.011908,6464,0.011237,6416,0.010504,6224,0.007697,6048,0.000000,0,598320
0.023075,8688,0.016180,7616,0.012640,6288,0.010687,5584,0.009589,5216,0.008918,5152,0.008002,5120,0.004036,5120,0.000000,0,613664
0.022526,8368,0.016119,7632,0.012884,6608,0.011115,5808,0.010138,5600,0.009589,5504,0.008674,5504,0.004768,5504,0.000000,0,611280
0.022221,7824,0.015325,6960,0.012152,6240,0.010382,5360,0.009467,5184,0.008857,5088,0.007819,5088,0.003365,5088,0.000000,0,608304
0.023258,8896,0.016302,7888,0.012823,6592,0.010871,5840,0.009467,5504,0.007819,5312,0.005134,3232,0.000000,0,0.000000,0,636672
0.021122,9008,0.014898,8096,0.011847,7152,0.010138,6144,0.008491,5984,0.003426,5936,0.000000,0,0.000000,0,0.000000,0,716208
0.020390,8464,0.013983,7408,0.010993,6752,0.009284,5552,0.007453,5312,0.002205,5184,0.000000,0,0.000000,0,0.000000,0,716032
0.020390,8464,0.013922,7264,0.010993,6672,0.009284,5584,0.007697,5376,0.002938,5312,0.000000,0,0.000000,0,0.000000,0,717056
0.021305,9152,0.014593,7680,0.011420,6656,0.009650,5760,0.008063,5584,0.003487,5232,0.000000,0,0.000000,0,0.000000,0,707504
0.021183,8720,0.014410,7584,0.011298,6704,0.009467,5792,0.007697,5264,0.002999,5168,0.000000,0,0.000000,0,0.000000,0,716192
