random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.030703,0.026573,0.028567,0.026573,0.027469,0.026573,0.025028,0.026573,0.013556,0.026573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034608,0.030270,0.032351,0.030270,0.031252,0.030270,0.029299,0.030270,0.019414,0.030270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031435,0.027362,0.029299,0.027362,0.028262,0.027362,0.025943,0.027362,0.014837,0.027362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031618,0.027308,0.029361,0.027308,0.028262,0.027308,0.025943,0.027308,0.014776,0.027308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031191,0.027090,0.029055,0.027090,0.027957,0.027090,0.025638,0.027090,0.014410,0.027090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031496,0.027567,0.029422,0.027567,0.028384,0.027567,0.026187,0.027567,0.015142,0.027567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033205,0.028901,0.030947,0.028901,0.029849,0.028901,0.027774,0.028901,0.017278,0.028901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034975,0.030530,0.032656,0.030530,0.031557,0.030530,0.029605,0.030530,0.019780,0.030530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032046,0.027934,0.029910,0.027934,0.028811,0.027934,0.026614,0.027934,0.015752,0.027934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033083,0.028807,0.030886,0.028807,0.029727,0.028807,0.027652,0.028807,0.017156,0.028807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033388,0.029017,0.031130,0.029017,0.029971,0.029017,0.027896,0.029017,0.017461,0.029017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033205,0.028722,0.030886,0.028722,0.029727,0.028722,0.027591,0.028722,0.017034,0.028722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032717,0.028447,0.030520,0.028447,0.029361,0.028447,0.027225,0.028447,0.016607,0.028447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032229,0.028123,0.030093,0.028123,0.028994,0.028123,0.026859,0.028123,0.016058,0.028123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032351,0.028160,0.030154,0.028160,0.029055,0.028160,0.026920,0.028160,0.016119,0.028160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031130,0.027012,0.028994,0.027012,0.027896,0.027012,0.025577,0.027012,0.014288,0.027012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031374,0.027258,0.029238,0.027258,0.028140,0.027258,0.025821,0.027258,0.014654,0.027258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033388,0.029053,0.031130,0.029053,0.030032,0.029053,0.027957,0.029053,0.017522,0.029053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.037782,0.033301,0.035463,0.033301,0.034364,0.033301,0.032717,0.033301,0.023868,0.033301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033510,0.028891,0.031130,0.028891,0.029910,0.028891,0.027774,0.028891,0.017278,0.028891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033266,0.028891,0.031008,0.028891,0.029849,0.028891,0.027774,0.028891,0.017278,0.028891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031618,0.027185,0.029299,0.027185,0.028140,0.027185,0.025821,0.027185,0.014593,0.027185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034608,0.030013,0.032229,0.030013,0.031069,0.030013,0.029055,0.030013,0.018987,0.030013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034364,0.029891,0.032046,0.029891,0.030886,0.029891,0.028933,0.029891,0.018804,0.029891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031618,0.027587,0.029544,0.027587,0.028445,0.027587,0.026248,0.027587,0.015203,0.027587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.035707,0.031076,0.033327,0.031076,0.032107,0.031076,0.030276,0.031076,0.020634,0.031076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030886,0.026678,0.028689,0.026678,0.027591,0.026678,0.025211,0.026678,0.013739,0.026678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032229,0.028080,0.030093,0.028080,0.028994,0.028080,0.026798,0.028080,0.015996,0.028080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
