random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.055722,62448,0.044555,32128,0.038087,32128,0.034975,32128,0.033510,32128,0.032778,32128,0.032412,32128,0.031862,32128,0.028079,32112,1001536
0.054319,63232,0.042602,30560,0.036439,30560,0.033571,30560,0.032229,30560,0.031557,30560,0.031252,30560,0.031069,30560,0.030886,30544,988704
0.059201,61120,0.052610,45904,0.048827,45904,0.046813,45904,0.045715,45712,0.045043,45312,0.044616,45280,0.044128,45216,0.042175,44064,1022368
0.005501,5280,0.004402,5280,0.002938,1760,0.001595,1744,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1072560
0.005928,5696,0.004768,5696,0.003060,1584,0.001778,1568,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1072000
0.005501,5312,0.004341,5312,0.002816,1600,0.001839,1600,0.000375,1600,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1072320
0.005989,5696,0.004829,5696,0.003121,1664,0.002144,1664,0.000985,1664,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1069584
0.005684,5456,0.004585,5456,0.003060,1744,0.002205,1744,0.001351,1744,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1069904
0.006172,5888,0.005073,5888,0.003365,1808,0.002388,1808,0.001656,1808,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1070112
0.005256,5024,0.004036,5024,0.002632,1504,0.001900,1504,0.001229,1504,0.000000,0,0.000000,0,0.000000,0,0.000000,0,1069216
0.006477,6128,0.005317,6128,0.003548,1808,0.002449,1808,0.001839,1808,0.000558,1808,0.000000,0,0.000000,0,0.000000,0,1070352
0.005317,5104,0.004097,5104,0.002571,1440,0.001839,1440,0.001351,1440,0.000000,928,0.000000,0,0.000000,0,0.000000,0,1069232
0.005928,5664,0.004707,5664,0.002999,1520,0.002022,1520,0.001534,1520,0.000497,1520,0.000000,0,0.000000,0,0.000000,0,1069440
0.005256,5056,0.004097,5056,0.002754,1616,0.002022,1616,0.001595,1616,0.000741,1616,0.000000,0,0.000000,0,0.000000,0,1070400
0.006294,5952,0.005134,5952,0.003487,1904,0.002510,1904,0.002022,1904,0.001351,1904,0.000000,0,0.000000,0,0.000000,0,1068896
0.006233,5952,0.005134,5952,0.003548,1968,0.002571,1968,0.002144,1968,0.001534,1968,0.000000,0,0.000000,0,0.000000,0,1070640
0.006233,5936,0.005073,5936,0.003304,1712,0.002266,1712,0.001839,1712,0.001290,1712,0.000000,0,0.000000,0,0.000000,0,1069712
0.005867,5616,0.004707,5616,0.003121,1712,0.002205,1712,0.001839,1712,0.001290,1712,0.000000,0,0.000000,0,0.000000,0,1070768
0.006294,5968,0.005134,5968,0.003487,1888,0.002510,1888,0.002083,1888,0.001595,1888,0.000192,1888,0.000000,0,0.000000,0,1070192
0.005928,5664,0.004829,5664,0.003304,1856,0.002388,1856,0.002022,1856,0.001595,1856,0.000314,1840,0.000000,0,0.000000,0,1069392
0.005867,5600,0.004768,5600,0.003304,1936,0.002449,1936,0.002083,1936,0.001717,1936,0.000558,1936,0.000000,0,0.000000,0,1069648
0.005317,5088,0.004158,5088,0.002816,1680,0.002083,1680,0.001778,1680,0.001412,1680,0.000253,1680,0.000000,0,0.000000,0,1068496
0.005745,5488,0.004585,5488,0.002938,1616,0.002083,1616,0.001778,1616,0.001412,1616,0.000314,1616,0.000000,0,0.000000,0,1069456
0.005989,5696,0.004768,5696,0.002999,1536,0.002083,1536,0.001717,1536,0.001351,1536,0.000253,1536,0.000000,0,0.000000,0,1070032
0.005684,5424,0.004585,5424,0.003121,1808,0.002266,1808,0.001961,1808,0.001656,1808,0.000802,1808,0.000000,0,0.000000,0,1069600
0.005562,5328,0.004402,5328,0.002877,1632,0.002083,1632,0.001778,1632,0.001473,1632,0.000619,1632,0.000000,0,0.000000,0,1069072
0.006111,5840,0.005012,5840,0.003304,1744,0.002327,1744,0.001900,1744,0.001656,1744,0.000863,1744,0.000000,0,0.000000,0,1070176
0.006111,5840,0.004951,5840,0.003243,1680,0.002266,1680,0.001839,1680,0.001595,1680,0.000863,1680,0.000000,0,0.000000,0,1070288
