random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.144938,71232,0.144572,71232,0.144389,71232,0.144328,71232,0.144267,71232,0.144206,71232,0.144206,71232,0.144206,71232,0.143107,71232,493936
0.145548,71520,0.145182,71520,0.144999,71520,0.144938,71520,0.144877,71520,0.144877,71520,0.144816,71520,0.144816,71520,0.143718,71520,493840
0.143840,71264,0.143595,71264,0.143473,71264,0.143412,71264,0.143351,71264,0.143351,71264,0.143351,71264,0.143351,71264,0.142192,71264,497216
0.168676,59824,0.168432,59824,0.168310,59824,0.168249,59824,0.168249,59824,0.168249,59824,0.168249,59824,0.168249,59824,0.167577,59824,355632
0.251972,44992,0.251850,44992,0.251789,44992,0.251728,44992,0.251728,44992,0.251728,44992,0.251728,44992,0.251728,44992,0.251606,44992,178752
0.249653,44976,0.249531,44976,0.249470,44976,0.249409,44976,0.249409,44976,0.249409,44976,0.249409,44976,0.249409,44976,0.249226,44976,180336
0.249958,44992,0.249836,44992,0.249775,44992,0.249714,44992,0.249714,44992,0.249714,44992,0.249714,44992,0.249714,44992,0.249409,44992,180176
0.250142,44864,0.250019,44864,0.249958,44864,0.249897,44864,0.249897,44864,0.249897,44864,0.249897,44864,0.249836,44864,0.249287,44864,179552
0.248433,44960,0.248311,44960,0.248250,44960,0.248189,44960,0.248189,44960,0.248189,44960,0.248189,44960,0.248189,44960,0.247212,44960,181168
0.253010,45296,0.252888,45296,0.252827,45296,0.252827,45296,0.252766,45296,0.252766,45296,0.252766,45296,0.252766,45296,0.251667,45296,179200
0.254779,45968,0.254596,45968,0.254535,45968,0.254535,45968,0.254535,45968,0.254474,45968,0.254474,45968,0.254474,45968,0.253071,45968,180624
0.254596,45872,0.254474,45872,0.254413,45872,0.254413,45872,0.254413,45872,0.254352,45872,0.254352,45872,0.254352,45872,0.252521,45872,180336
0.256061,45952,0.255939,45952,0.255878,45952,0.255878,45952,0.255878,45952,0.255817,45952,0.255817,45952,0.255817,45952,0.253437,45952,179616
0.252521,45072,0.252338,45072,0.252277,45072,0.252277,45072,0.252277,45072,0.252216,45072,0.252216,45072,0.252216,45072,0.248982,45072,178688
0.250508,44864,0.250325,44864,0.250264,44864,0.250264,44864,0.250264,44864,0.250203,44864,0.250203,44864,0.250142,44864,0.245809,44864,179296
0.273574,45952,0.273452,45952,0.273391,45952,0.273391,45952,0.273330,45952,0.273330,45952,0.273330,45952,0.273269,45952,0.269486,45952,168112
0.275283,45392,0.275100,45392,0.275039,45392,0.275039,45392,0.274978,45392,0.274978,45392,0.274978,45392,0.274917,45392,0.271133,45392,165072
0.274673,44448,0.274551,44448,0.274490,44448,0.274429,44448,0.274429,44448,0.274429,44448,0.274429,44448,0.274368,44448,0.270279,44448,161968
