random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.533715,0.533510,0.533593,0.533510,0.533532,0.533510,0.533532,0.533510,0.533532,0.533510,0.533532,0.533510,0.533532,0.533510,0.533532,0.533510,0.533532,0.533510
0.281751,0.281568,0.281629,0.281568,0.281629,0.281568,0.281568,0.281568,0.281568,0.281568,0.281568,0.281568,0.281568,0.281568,0.281568,0.281568,0.281385,0.281568
0.215969,0.215796,0.215847,0.215796,0.215847,0.215796,0.215786,0.215796,0.215786,0.215796,0.215786,0.215796,0.215786,0.215796,0.215786,0.215796,0.214687,0.215796
0.215786,0.215612,0.215664,0.215612,0.215664,0.215612,0.215603,0.215612,0.215603,0.215612,0.215603,0.215612,0.215603,0.215612,0.215603,0.215612,0.214077,0.215612
0.215908,0.215753,0.215847,0.215753,0.215786,0.215753,0.215786,0.215753,0.215786,0.215753,0.215786,0.215753,0.215786,0.215753,0.215725,0.215753,0.213650,0.215753
0.215969,0.215822,0.215908,0.215822,0.215847,0.215822,0.215847,0.215822,0.215847,0.215822,0.215847,0.215822,0.215847,0.215822,0.215786,0.215822,0.212918,0.215822
0.216152,0.215987,0.216030,0.215987,0.216030,0.215987,0.216030,0.215987,0.215969,0.215987,0.215969,0.215987,0.215969,0.215987,0.215908,0.215987,0.211941,0.215987
0.213040,0.212881,0.212979,0.212881,0.212918,0.212881,0.212918,0.212881,0.212918,0.212881,0.212857,0.212881,0.212857,0.212881,0.212734,0.212881,0.207059,0.212881
0.204313,0.203905,0.204130,0.203905,0.204008,0.203905,0.203947,0.203905,0.203947,0.203905,0.203947,0.203905,0.203886,0.203905,0.203642,0.203905,0.195038,0.203905
0.192536,0.191726,0.192170,0.191726,0.191926,0.191726,0.191804,0.191726,0.191804,0.191726,0.191743,0.191726,0.191743,0.191726,0.191254,0.191726,0.180392,0.191726
0.145243,0.144492,0.144877,0.144492,0.144694,0.144492,0.144572,0.144492,0.144511,0.144492,0.144511,0.144492,0.144511,0.144492,0.143290,0.144492,0.127424,0.144492
0.143901,0.143322,0.143595,0.143322,0.143473,0.143322,0.143412,0.143322,0.143351,0.143322,0.143351,0.143322,0.143351,0.143322,0.142619,0.143322,0.131025,0.143322
0.144694,0.143930,0.144328,0.143930,0.144145,0.143930,0.144023,0.143930,0.143962,0.143930,0.143962,0.143930,0.143962,0.143930,0.143534,0.143930,0.135235,0.143930
0.144694,0.143902,0.144267,0.143902,0.144084,0.143902,0.144023,0.143902,0.143962,0.143902,0.143901,0.143902,0.143901,0.143902,0.143718,0.143902,0.137615,0.143902
0.144267,0.143484,0.143901,0.143484,0.143656,0.143484,0.143595,0.143484,0.143534,0.143484,0.143534,0.143484,0.143473,0.143484,0.143351,0.143484,0.138836,0.143484
0.151589,0.151030,0.151284,0.151030,0.151162,0.151030,0.151101,0.151030,0.151040,0.151030,0.151040,0.151030,0.151040,0.151030,0.150979,0.151030,0.148111,0.151030
0.290844,0.290661,0.290783,0.290661,0.290722,0.290661,0.290661,0.290661,0.290661,0.290661,0.290661,0.290661,0.290661,0.290661,0.290661,0.290661,0.290539,0.290661
0.329227,0.329009,0.329105,0.329009,0.329044,0.329009,0.329044,0.329009,0.329044,0.329009,0.329044,0.329009,0.328983,0.329009,0.328983,0.329009,0.328922,0.329009
0.332461,0.332223,0.332339,0.332223,0.332278,0.332223,0.332278,0.332223,0.332217,0.332223,0.332217,0.332223,0.332217,0.332223,0.332217,0.332223,0.332095,0.332223
0.333316,0.333066,0.333194,0.333066,0.333133,0.333066,0.333072,0.333066,0.333072,0.333066,0.333072,0.333066,0.333072,0.333066,0.333072,0.333066,0.332889,0.333066
0.293773,0.293622,0.293712,0.293622,0.293651,0.293622,0.293651,0.293622,0.293651,0.293622,0.293651,0.293622,0.293651,0.293622,0.293651,0.293622,0.293163,0.293622
0.293285,0.293103,0.293163,0.293103,0.293163,0.293103,0.293102,0.293103,0.293102,0.293103,0.293102,0.293103,0.293102,0.293103,0.293102,0.293103,0.292369,0.293103
0.289867,0.289707,0.289806,0.289707,0.289745,0.289707,0.289745,0.289707,0.289745,0.289707,0.289684,0.289707,0.289684,0.289707,0.289684,0.289707,0.288647,0.289707
0.289990,0.289841,0.289928,0.289841,0.289867,0.289841,0.289867,0.289841,0.289867,0.289841,0.289867,0.289841,0.289867,0.289841,0.289806,0.289841,0.288281,0.289841
0.289806,0.289619,0.289684,0.289619,0.289684,0.289619,0.289623,0.289619,0.289623,0.289619,0.289623,0.289619,0.289623,0.289619,0.289623,0.289619,0.287366,0.289619
0.291332,0.291167,0.291271,0.291167,0.291210,0.291167,0.291210,0.291167,0.291149,0.291167,0.291149,0.291167,0.291149,0.291167,0.291149,0.291167,0.288037,0.291167
0.297007,0.296822,0.296946,0.296822,0.296885,0.296822,0.296824,0.296822,0.296824,0.296822,0.296824,0.296822,0.296824,0.296822,0.296763,0.296822,0.292614,0.296822
0.290844,0.290658,0.290783,0.290658,0.290722,0.290658,0.290661,0.290658,0.290661,0.290658,0.290661,0.290658,0.290661,0.290658,0.290539,0.290658,0.284558,0.290658
0.310798,0.310597,0.310737,0.310597,0.310676,0.310597,0.310615,0.310597,0.310615,0.310597,0.310615,0.310597,0.310615,0.310597,0.310554,0.310597,0.305550,0.310597
0.348022,0.347790,0.347900,0.347790,0.347839,0.347790,0.347839,0.347790,0.347778,0.347790,0.347778,0.347790,0.347778,0.347790,0.347778,0.347790,0.344483,0.347790
0.347595,0.347367,0.347473,0.347367,0.347412,0.347367,0.347412,0.347367,0.347412,0.347367,0.347351,0.347367,0.347351,0.347367,0.347351,0.347367,0.344056,0.347367
0.324040,0.323841,0.323979,0.323841,0.323918,0.323841,0.323857,0.323841,0.323857,0.323841,0.323857,0.323841,0.323857,0.323841,0.323796,0.323841,0.319525,0.323841
0.282728,0.282526,0.282606,0.282526,0.282545,0.282526,0.282545,0.282526,0.282545,0.282526,0.282545,0.282526,0.282545,0.282526,0.282362,0.282526,0.275710,0.282526
0.281751,0.281527,0.281629,0.281527,0.281568,0.281527,0.281568,0.281527,0.281568,0.281527,0.281507,0.281527,0.281507,0.281527,0.281385,0.281527,0.274612,0.281527
0.283155,0.282949,0.283033,0.282949,0.283033,0.282949,0.282972,0.282949,0.282972,0.282949,0.282972,0.282949,0.282972,0.282949,0.282850,0.282949,0.276503,0.282949
0.281996,0.281789,0.281873,0.281789,0.281812,0.281789,0.281812,0.281789,0.281812,0.281789,0.281812,0.281789,0.281812,0.281789,0.281690,0.281789,0.275405,0.281789
0.282057,0.281847,0.281934,0.281847,0.281873,0.281847,0.281873,0.281847,0.281873,0.281847,0.281873,0.281847,0.281873,0.281847,0.281751,0.281847,0.275466,0.281847
0.289623,0.289393,0.289501,0.289393,0.289440,0.289393,0.289440,0.289393,0.289379,0.289393,0.289379,0.289393,0.289379,0.289393,0.289318,0.289393,0.283521,0.289393
0.290661,0.290424,0.290539,0.290424,0.290478,0.290424,0.290478,0.290424,0.290417,0.290424,0.290417,0.290424,0.290417,0.290424,0.290356,0.290424,0.284620,0.290424
0.145609,0.145021,0.145304,0.145021,0.145182,0.145021,0.145121,0.145021,0.145060,0.145021,0.145060,0.145021,0.144999,0.145021,0.142802,0.145021,0.120102,0.145021
0.142863,0.142082,0.142497,0.142082,0.142253,0.142082,0.142192,0.142082,0.142131,0.142082,0.142131,0.142082,0.142070,0.142082,0.140666,0.142082,0.123397,0.142082
0.145487,0.144840,0.145182,0.144840,0.144999,0.144840,0.144938,0.144840,0.144877,0.144840,0.144877,0.144840,0.144877,0.144840,0.144084,0.144840,0.131879,0.144840
0.142375,0.141671,0.142009,0.141671,0.141826,0.141671,0.141765,0.141671,0.141704,0.141671,0.141704,0.141671,0.141704,0.141671,0.141216,0.141671,0.131818,0.141671
0.144755,0.144009,0.144389,0.144009,0.144206,0.144009,0.144084,0.144009,0.144084,0.144009,0.144023,0.144009,0.144023,0.144009,0.143779,0.144009,0.137066,0.144009
0.143229,0.142458,0.142863,0.142458,0.142619,0.142458,0.142558,0.142458,0.142497,0.142458,0.142497,0.142458,0.142497,0.142458,0.142314,0.142458,0.137127,0.142458
0.144877,0.144310,0.144572,0.144310,0.144450,0.144310,0.144389,0.144310,0.144328,0.144310,0.144328,0.144310,0.144328,0.144310,0.144206,0.144310,0.140483,0.144310
0.198211,0.197776,0.198028,0.197776,0.197906,0.197776,0.197845,0.197776,0.197784,0.197776,0.197784,0.197776,0.197784,0.197776,0.197784,0.197776,0.196807,0.197776
0.291454,0.291220,0.291332,0.291220,0.291271,0.291220,0.291271,0.291220,0.291210,0.291220,0.291210,0.291220,0.291210,0.291220,0.291210,0.291220,0.291088,0.291220
0.294566,0.294367,0.294505,0.294367,0.294444,0.294367,0.294383,0.294367,0.294383,0.294367,0.294383,0.294367,0.294383,0.294367,0.294383,0.294367,0.294200,0.294367
0.294383,0.294180,0.294261,0.294180,0.294261,0.294180,0.294200,0.294180,0.294200,0.294180,0.294200,0.294180,0.294200,0.294180,0.294200,0.294180,0.293895,0.294180
0.294688,0.294457,0.294566,0.294457,0.294505,0.294457,0.294505,0.294457,0.294444,0.294457,0.294444,0.294457,0.294444,0.294457,0.294444,0.294457,0.294078,0.294457
0.292858,0.292685,0.292797,0.292685,0.292736,0.292685,0.292736,0.292685,0.292675,0.292685,0.292675,0.292685,0.292675,0.292685,0.292675,0.292685,0.292064,0.292685
0.295665,0.295438,0.295543,0.295438,0.295482,0.295438,0.295482,0.295438,0.295421,0.295438,0.295421,0.295438,0.295421,0.295438,0.295421,0.295438,0.294627,0.295438
0.298838,0.298641,0.298716,0.298641,0.298716,0.298641,0.298655,0.298641,0.298655,0.298641,0.298655,0.298641,0.298655,0.298641,0.298655,0.298641,0.297495,0.298641
0.298655,0.298446,0.298533,0.298446,0.298472,0.298446,0.298472,0.298446,0.298472,0.298446,0.298472,0.298446,0.298472,0.298446,0.298411,0.298446,0.296763,0.298446
0.298045,0.297866,0.297984,0.297866,0.297923,0.297866,0.297861,0.297866,0.297861,0.297866,0.297861,0.297866,0.297861,0.297866,0.297861,0.297866,0.295421,0.297866
0.296275,0.296096,0.296214,0.296096,0.296153,0.296096,0.296092,0.296096,0.296092,0.296096,0.296092,0.296096,0.296092,0.296096,0.296031,0.296096,0.292552,0.296096
0.291454,0.291263,0.291393,0.291263,0.291332,0.291263,0.291271,0.291263,0.291271,0.291263,0.291271,0.291263,0.291271,0.291263,0.291149,0.291263,0.285779,0.291263
0.273391,0.273145,0.273269,0.273145,0.273208,0.273145,0.273147,0.273145,0.273147,0.273145,0.273147,0.273145,0.273147,0.273145,0.272964,0.273145,0.265580,0.273145
0.277968,0.277756,0.277846,0.277756,0.277785,0.277756,0.277785,0.277756,0.277785,0.277756,0.277785,0.277756,0.277785,0.277756,0.277602,0.277756,0.270584,0.277756
0.275588,0.275348,0.275466,0.275348,0.275405,0.275348,0.275405,0.275348,0.275344,0.275348,0.275344,0.275348,0.275344,0.275348,0.275222,0.275348,0.268204,0.275348
0.277053,0.276830,0.276931,0.276830,0.276870,0.276830,0.276870,0.276830,0.276870,0.276830,0.276809,0.276830,0.276809,0.276830,0.276687,0.276830,0.270096,0.276830
0.272903,0.272692,0.272781,0.272692,0.272720,0.272692,0.272720,0.272692,0.272720,0.272692,0.272720,0.272692,0.272720,0.272692,0.272537,0.272692,0.265641,0.272692
0.274978,0.274768,0.274856,0.274768,0.274795,0.274768,0.274795,0.274768,0.274795,0.274768,0.274795,0.274768,0.274795,0.274768,0.274612,0.274768,0.268265,0.274768
0.273574,0.273344,0.273452,0.273344,0.273391,0.273344,0.273391,0.273344,0.273330,0.273344,0.273330,0.273344,0.273330,0.273344,0.273208,0.273344,0.266801,0.273344
0.276381,0.276172,0.276259,0.276172,0.276198,0.276172,0.276198,0.276172,0.276198,0.276172,0.276198,0.276172,0.276198,0.276172,0.276076,0.276172,0.269852,0.276172
0.275832,0.275634,0.275771,0.275634,0.275710,0.275634,0.275649,0.275634,0.275649,0.275634,0.275649,0.275634,0.275649,0.275634,0.275527,0.275634,0.269730,0.275634
0.275954,0.275727,0.275832,0.275727,0.275771,0.275727,0.275771,0.275727,0.275771,0.275727,0.275710,0.275727,0.275710,0.275727,0.275649,0.275727,0.269852,0.275727
0.264787,0.264551,0.264665,0.264551,0.264604,0.264551,0.264604,0.264551,0.264543,0.264551,0.264543,0.264551,0.264543,0.264551,0.264421,0.264551,0.257952,0.264551
0.175022,0.174546,0.174778,0.174546,0.174656,0.174546,0.174595,0.174546,0.174595,0.174546,0.174534,0.174546,0.174534,0.174546,0.173497,0.174546,0.157448,0.174546
0.146464,0.146009,0.146219,0.146009,0.146097,0.146009,0.146097,0.146009,0.146036,0.146009,0.146036,0.146009,0.145975,0.146009,0.144633,0.146009,0.127485,0.146009
0.144694,0.144250,0.144450,0.144250,0.144389,0.144250,0.144328,0.144250,0.144267,0.144250,0.144267,0.144250,0.144267,0.144250,0.143412,0.144250,0.130415,0.144250
0.143290,0.142756,0.143046,0.142756,0.142863,0.142756,0.142802,0.142756,0.142802,0.142756,0.142802,0.142756,0.142741,0.142756,0.142253,0.142756,0.132306,0.142756
0.144694,0.143970,0.144328,0.143970,0.144145,0.143970,0.144084,0.143970,0.144023,0.143970,0.144023,0.143970,0.143962,0.143970,0.143656,0.143970,0.136395,0.143970
0.146464,0.145704,0.146097,0.145704,0.145914,0.145704,0.145792,0.145704,0.145731,0.145704,0.145731,0.145704,0.145731,0.145704,0.145548,0.145704,0.140178,0.145704
0.146586,0.145852,0.146219,0.145852,0.146036,0.145852,0.145914,0.145852,0.145914,0.145852,0.145853,0.145852,0.145853,0.145852,0.145792,0.145852,0.141704,0.145852
0.150369,0.149693,0.150064,0.149693,0.149881,0.149693,0.149759,0.149693,0.149759,0.149693,0.149698,0.149693,0.149698,0.149693,0.149637,0.149693,0.146830,0.149693
0.261553,0.261294,0.261431,0.261294,0.261370,0.261294,0.261309,0.261294,0.261309,0.261294,0.261309,0.261294,0.261309,0.261294,0.261309,0.261294,0.261065,0.261294
0.265214,0.264971,0.265092,0.264971,0.265031,0.264971,0.265031,0.264971,0.264970,0.264971,0.264970,0.264971,0.264970,0.264971,0.264970,0.264971,0.264665,0.264971
0.263872,0.263601,0.263750,0.263601,0.263689,0.263601,0.263628,0.263601,0.263628,0.263601,0.263628,0.263601,0.263628,0.263601,0.263628,0.263601,0.263200,0.263601
0.263078,0.262800,0.262956,0.262800,0.262895,0.262800,0.262834,0.262800,0.262834,0.262800,0.262834,0.262800,0.262834,0.262800,0.262773,0.262800,0.262224,0.262800
0.262285,0.262055,0.262163,0.262055,0.262102,0.262055,0.262102,0.262055,0.262041,0.262055,0.262041,0.262055,0.262041,0.262055,0.262041,0.262055,0.261309,0.262055
0.262285,0.262023,0.262163,0.262023,0.262102,0.262023,0.262041,0.262023,0.262041,0.262023,0.262041,0.262023,0.262041,0.262023,0.262041,0.262023,0.261004,0.262023
0.264055,0.263792,0.263933,0.263792,0.263872,0.263792,0.263811,0.263792,0.263811,0.263792,0.263811,0.263792,0.263811,0.263792,0.263811,0.263792,0.262529,0.263792
0.263322,0.263089,0.263200,0.263089,0.263139,0.263089,0.263139,0.263089,0.263078,0.263089,0.263078,0.263089,0.263078,0.263089,0.263078,0.263089,0.261309,0.263089
0.262712,0.262478,0.262590,0.262478,0.262529,0.262478,0.262529,0.262478,0.262468,0.262478,0.262468,0.262478,0.262468,0.262478,0.262468,0.262478,0.260088,0.262478
0.260576,0.260334,0.260454,0.260334,0.260393,0.260334,0.260393,0.260334,0.260332,0.260334,0.260332,0.260334,0.260332,0.260334,0.260271,0.260334,0.257037,0.260334
0.260454,0.260175,0.260332,0.260175,0.260210,0.260175,0.260210,0.260175,0.260210,0.260175,0.260210,0.260175,0.260149,0.260175,0.260088,0.260175,0.255878,0.260175
0.167761,0.167280,0.167516,0.167280,0.167394,0.167280,0.167333,0.167280,0.167333,0.167280,0.167272,0.167280,0.167272,0.167280,0.166296,0.167280,0.151162,0.167280
0.147501,0.146740,0.147135,0.146740,0.146952,0.146740,0.146830,0.146740,0.146769,0.146740,0.146769,0.146740,0.146769,0.146740,0.145609,0.146740,0.130109,0.146740
0.145121,0.144340,0.144755,0.144340,0.144511,0.144340,0.144450,0.144340,0.144389,0.144340,0.144389,0.144340,0.144328,0.144340,0.143595,0.144340,0.131635,0.144340
0.143290,0.142710,0.142985,0.142710,0.142863,0.142710,0.142802,0.142710,0.142741,0.142710,0.142741,0.142710,0.142741,0.142710,0.142253,0.142710,0.132977,0.142710
0.144633,0.143860,0.144267,0.143860,0.144084,0.143860,0.143962,0.143860,0.143901,0.143860,0.143901,0.143860,0.143901,0.143860,0.143595,0.143860,0.136578,0.143860
0.144877,0.144063,0.144450,0.144063,0.144267,0.144063,0.144145,0.144063,0.144084,0.144063,0.144084,0.144063,0.144084,0.144063,0.143901,0.144063,0.138592,0.144063
0.140788,0.140110,0.140422,0.140110,0.140300,0.140110,0.140178,0.140110,0.140178,0.140110,0.140117,0.140110,0.140117,0.140110,0.139995,0.140110,0.135540,0.140110
0.154824,0.154365,0.154580,0.154365,0.154458,0.154365,0.154397,0.154365,0.154397,0.154365,0.154397,0.154365,0.154397,0.154365,0.154336,0.154365,0.151773,0.154365
0.263139,0.262892,0.263017,0.262892,0.262956,0.262892,0.262895,0.262892,0.262895,0.262892,0.262895,0.262892,0.262895,0.262892,0.262895,0.262892,0.262651,0.262892
0.267960,0.267702,0.267838,0.267702,0.267777,0.267702,0.267716,0.267702,0.267716,0.267702,0.267716,0.267702,0.267716,0.267702,0.267716,0.267702,0.267411,0.267702
0.266435,0.266180,0.266313,0.266180,0.266252,0.266180,0.266191,0.266180,0.266191,0.266180,0.266191,0.266180,0.266191,0.266180,0.266191,0.266180,0.265763,0.266180
