random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.016241,0.011159,0.013067,0.010974,0.010810,0.010714,0.008796,0.006896,0.007209,0.006339,0.005501,0.005153,0.002144,0.002743,0.000000,0.000000,0.000000,0.000000
0.022404,0.015626,0.018071,0.015471,0.014654,0.013228,0.011725,0.009901,0.009467,0.007774,0.007514,0.006807,0.004463,0.004719,0.000000,0.000000,0.000000,0.000000
0.030825,0.021564,0.024845,0.020251,0.021305,0.019814,0.018559,0.016233,0.016363,0.014880,0.014349,0.013329,0.011664,0.011140,0.005989,0.007281,0.000000,0.000000
0.029116,0.018434,0.022160,0.017336,0.017949,0.017071,0.015081,0.012264,0.013311,0.011734,0.012030,0.011469,0.010016,0.010220,0.004341,0.007192,0.000000,0.000000
0.025882,0.018006,0.020756,0.017490,0.017339,0.016618,0.014898,0.012453,0.013128,0.011938,0.011298,0.011422,0.008308,0.007734,0.001656,0.002578,0.000000,0.000000
0.030764,0.022772,0.025577,0.021459,0.022221,0.021336,0.019414,0.016617,0.017400,0.015510,0.015752,0.014976,0.013311,0.013499,0.007697,0.009027,0.000000,0.000000
0.030459,0.020374,0.023685,0.018882,0.019353,0.018599,0.015935,0.013193,0.013800,0.011740,0.012396,0.011579,0.010260,0.011337,0.004463,0.006697,0.000000,0.000000
0.006172,0.003274,0.003548,0.002701,0.002266,0.001664,0.001595,0.001146,0.001107,0.001037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001534,0.001259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003731,0.002802,0.002693,0.001868,0.002022,0.001868,0.001046,0.000992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012945,0.009729,0.010687,0.009087,0.009345,0.008767,0.008247,0.007234,0.006965,0.006807,0.003975,0.005524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011237,0.008387,0.009406,0.008174,0.008186,0.007641,0.007209,0.006077,0.006233,0.006077,0.003670,0.005686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012396,0.009413,0.010321,0.008919,0.008918,0.008355,0.007819,0.006804,0.006843,0.006311,0.004707,0.006311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012030,0.009057,0.009955,0.008604,0.008552,0.007768,0.007514,0.006618,0.006721,0.006166,0.004951,0.006131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012274,0.009257,0.010199,0.008668,0.008918,0.008287,0.008002,0.007004,0.007331,0.006796,0.006050,0.006796,0.001656,0.003432,0.000000,0.000000,0.000000,0.000000
0.007575,0.005756,0.006233,0.005425,0.005195,0.004764,0.004524,0.003738,0.003792,0.003738,0.001717,0.003540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007331,0.005322,0.006172,0.005322,0.005623,0.005322,0.005256,0.004842,0.004890,0.004842,0.003609,0.004842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012701,0.009580,0.010504,0.009052,0.009040,0.008312,0.007880,0.006762,0.007026,0.006199,0.005928,0.006199,0.002266,0.005741,0.000000,0.000000,0.000000,0.000000
0.010871,0.008280,0.009101,0.008103,0.007880,0.007289,0.007026,0.005839,0.006416,0.005839,0.005562,0.005839,0.002449,0.005839,0.000000,0.000000,0.000000,0.000000
0.011542,0.008807,0.009711,0.008487,0.008430,0.007741,0.007514,0.006214,0.006843,0.006214,0.006111,0.006214,0.003365,0.006214,0.000000,0.000000,0.000000,0.000000
0.017705,0.013133,0.014776,0.012577,0.013067,0.012131,0.011603,0.010907,0.010382,0.009163,0.009040,0.008681,0.006294,0.006937,0.000000,0.000000,0.000000,0.000000
0.016912,0.011715,0.013739,0.011604,0.011237,0.011566,0.008735,0.006471,0.006355,0.005318,0.002632,0.003347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021305,0.014116,0.016851,0.014003,0.013678,0.012304,0.010749,0.009436,0.008063,0.006907,0.004585,0.004869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029177,0.019728,0.022770,0.018245,0.018804,0.017789,0.015935,0.012848,0.013922,0.012658,0.011725,0.011707,0.006660,0.008210,0.000000,0.000000,0.000000,0.000000
0.024906,0.016188,0.018926,0.015428,0.015020,0.014402,0.012457,0.010146,0.010810,0.009614,0.008857,0.009348,0.004036,0.005548,0.000000,0.000000,0.000000,0.000000
0.027591,0.019516,0.022282,0.018568,0.018865,0.018291,0.016302,0.013353,0.014471,0.013116,0.012396,0.012918,0.007819,0.008770,0.000000,0.000000,0.000000,0.000000
0.027896,0.020115,0.022404,0.018527,0.018620,0.018323,0.015874,0.012867,0.014166,0.012582,0.012579,0.012541,0.008796,0.010302,0.000000,0.000000,0.000000,0.000000
0.028323,0.017156,0.021183,0.016408,0.016973,0.016333,0.014166,0.011362,0.012579,0.010989,0.011359,0.010989,0.008613,0.010540,0.000000,0.000000,0.000000,0.000000
0.010321,0.006321,0.007331,0.005746,0.005745,0.004424,0.004768,0.004137,0.003853,0.003735,0.001961,0.002155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001778,0.001629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003670,0.002665,0.002754,0.002028,0.002083,0.002028,0.001107,0.001304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.013128,0.010030,0.010993,0.009457,0.009589,0.008920,0.008552,0.007666,0.007331,0.007057,0.004219,0.006090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012884,0.009746,0.010504,0.009066,0.008857,0.008277,0.007575,0.006486,0.006294,0.005912,0.003548,0.005375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012579,0.009550,0.010504,0.009228,0.009223,0.008406,0.008186,0.007440,0.007270,0.006689,0.005195,0.006689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.013800,0.010413,0.011542,0.009878,0.010199,0.009486,0.009101,0.008488,0.008247,0.007418,0.006721,0.007418,0.001839,0.003887,0.000000,0.000000,0.000000,0.000000
0.012457,0.009374,0.010260,0.008839,0.008674,0.008091,0.007392,0.005774,0.006477,0.005774,0.004707,0.005774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004707,0.003554,0.003914,0.003554,0.003426,0.002783,0.003060,0.002783,0.002266,0.002783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012823,0.009706,0.010749,0.009421,0.009406,0.008707,0.008308,0.007351,0.007514,0.006744,0.006355,0.006744,0.002449,0.005281,0.000000,0.000000,0.000000,0.000000
0.012884,0.009623,0.010626,0.009083,0.009162,0.008362,0.008063,0.007064,0.007392,0.006704,0.006416,0.006704,0.002999,0.006668,0.000000,0.000000,0.000000,0.000000
0.013922,0.010666,0.011725,0.010235,0.010260,0.009625,0.009040,0.008260,0.008186,0.007254,0.007331,0.007254,0.004585,0.007254,0.000000,0.000000,0.000000,0.000000
0.014105,0.010750,0.011786,0.010283,0.010260,0.009420,0.009040,0.008053,0.008186,0.007263,0.007392,0.007263,0.004890,0.007263,0.000000,0.000000,0.000000,0.000000
0.018681,0.014252,0.015691,0.013314,0.013983,0.012902,0.012640,0.011777,0.011481,0.010501,0.010016,0.010089,0.007087,0.007576,0.000000,0.000000,0.000000,0.000000
0.015935,0.011157,0.012945,0.011083,0.010626,0.010822,0.008125,0.006285,0.005501,0.004760,0.001473,0.002231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020634,0.014091,0.016302,0.013867,0.013006,0.011438,0.010016,0.008634,0.007392,0.006130,0.003975,0.004411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029299,0.018302,0.021977,0.016845,0.018010,0.016771,0.015325,0.012438,0.013372,0.012214,0.011054,0.011019,0.005684,0.007396,0.000000,0.000000,0.000000,0.000000
0.027530,0.019346,0.022160,0.018672,0.018315,0.018077,0.015508,0.012646,0.013617,0.012408,0.011725,0.011576,0.007575,0.008801,0.000000,0.000000,0.000000,0.000000
0.025394,0.016512,0.019658,0.015758,0.016424,0.015494,0.014288,0.011988,0.012762,0.011762,0.010626,0.011611,0.005317,0.006899,0.000000,0.000000,0.000000,0.000000
0.026492,0.016596,0.020024,0.015617,0.016363,0.015542,0.013800,0.011177,0.012152,0.010725,0.010626,0.010537,0.006538,0.009069,0.000000,0.000000,0.000000,0.000000
0.025394,0.016354,0.019414,0.015633,0.015508,0.014760,0.012823,0.010207,0.011237,0.009827,0.009589,0.009714,0.005745,0.007513,0.000000,0.000000,0.000000,0.000000
0.023563,0.016478,0.016912,0.012212,0.013495,0.011937,0.011481,0.009563,0.010016,0.008910,0.008491,0.008222,0.004951,0.006295,0.000000,0.000000,0.000000,0.000000
0.000924,0.001012,0.000131,0.000101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002693,0.002044,0.001473,0.000929,0.000802,0.000584,0.000131,0.000292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002510,0.001897,0.002144,0.001897,0.001839,0.001897,0.000985,0.001370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012396,0.009736,0.010565,0.009129,0.009467,0.008826,0.008552,0.008220,0.007453,0.006819,0.005012,0.006554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002877,0.002163,0.002449,0.002163,0.002205,0.002021,0.001656,0.002021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012091,0.009075,0.010077,0.008735,0.008796,0.008206,0.007575,0.006844,0.006416,0.005559,0.004158,0.005483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011237,0.008615,0.009345,0.008008,0.008125,0.007628,0.007026,0.006528,0.006050,0.005313,0.004158,0.005313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003121,0.002507,0.002754,0.002507,0.002510,0.002295,0.002266,0.002295,0.001412,0.002295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011298,0.008806,0.009589,0.008313,0.008552,0.008123,0.007636,0.007288,0.006843,0.005997,0.005501,0.005997,0.001290,0.003075,0.000000,0.000000,0.000000,0.000000
0.002388,0.001772,0.001961,0.001772,0.001717,0.001524,0.001412,0.001524,0.000436,0.001134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012396,0.009530,0.010504,0.009191,0.009345,0.008777,0.008247,0.007797,0.007270,0.006140,0.006111,0.006140,0.002632,0.006065,0.000000,0.000000,0.000000,0.000000
0.013983,0.010833,0.011908,0.010227,0.010626,0.010076,0.009528,0.009167,0.008491,0.007197,0.007575,0.007197,0.005134,0.007159,0.000000,0.000000,0.000000,0.000000
0.002693,0.002149,0.002388,0.002113,0.002205,0.002043,0.002083,0.002043,0.001595,0.002043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011237,0.008889,0.009589,0.008281,0.008491,0.008129,0.007392,0.006800,0.006538,0.005584,0.005684,0.005584,0.003182,0.005584,0.000000,0.000000,0.000000,0.000000
0.002205,0.001730,0.001900,0.001730,0.001717,0.001518,0.001534,0.001518,0.000985,0.001518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011786,0.009282,0.010077,0.008904,0.008979,0.008449,0.007941,0.007464,0.007087,0.006024,0.006355,0.006024,0.004341,0.006024,0.000000,0.000000,0.000000,0.000000
0.011603,0.009188,0.009589,0.008243,0.008247,0.007487,0.007148,0.006466,0.006477,0.005634,0.005806,0.005634,0.003914,0.005634,0.000000,0.000000,0.000000,0.000000
0.001961,0.001589,0.001717,0.001589,0.001595,0.001448,0.001473,0.001448,0.000985,0.001448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015081,0.011434,0.012579,0.010612,0.011115,0.010142,0.009894,0.009398,0.008735,0.007675,0.007514,0.007087,0.005195,0.005560,0.000000,0.000000,0.000000,0.000000
0.016119,0.011678,0.013434,0.011678,0.011237,0.011225,0.009101,0.006765,0.007270,0.006576,0.004890,0.005216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.024967,0.017786,0.020329,0.017474,0.016668,0.016501,0.013311,0.011325,0.010626,0.009029,0.008063,0.007278,0.003243,0.003814,0.000000,0.000000,0.000000,0.000000
0.030398,0.021056,0.023685,0.019096,0.019414,0.018155,0.016119,0.012783,0.013739,0.012391,0.011420,0.011058,0.007209,0.008117,0.000000,0.000000,0.000000,0.000000
