random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.020756,6384,0.016912,6272,0.013372,5712,0.009711,2848,0.007148,2384,0.005012,1920,0.001412,992,0.000000,0,0.000000,0,426096
0.029177,7568,0.022526,7120,0.018193,6992,0.015142,4896,0.013189,4704,0.011725,4400,0.009345,4048,0.002571,1936,0.000000,0,400416
0.026859,7584,0.021733,7312,0.018193,7008,0.015386,5008,0.013189,4784,0.011115,4064,0.007697,3376,0.000000,0,0.000000,0,399712
0.030520,8608,0.024540,7856,0.020878,7184,0.018254,6176,0.016424,5840,0.014532,5616,0.011786,4368,0.005440,2816,0.000000,0,386480
0.033693,9008,0.027957,8544,0.023929,8400,0.020817,6208,0.018926,6080,0.017522,6016,0.015447,5792,0.010260,4032,0.000000,0,358176
0.031435,8608,0.025028,8112,0.020695,7600,0.017461,5664,0.015447,5328,0.014166,5216,0.012518,5136,0.007880,4176,0.000000,0,393872
0.009162,3120,0.005867,2544,0.004158,1744,0.003060,1488,0.002022,1024,0.000497,544,0.000000,0,0.000000,0,0.000000,0,562512
0.003487,1392,0.002449,1008,0.001473,768,0.000436,112,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,559584
0.011908,4320,0.010138,4160,0.008918,3936,0.007636,3248,0.005623,2848,0.001229,352,0.000000,0,0.000000,0,0.000000,0,466400
0.011176,4016,0.009467,3856,0.008369,3680,0.007453,3152,0.006111,2944,0.002632,1872,0.000000,0,0.000000,0,0.000000,0,467104
0.010687,3792,0.008857,3584,0.007697,3376,0.006782,2672,0.005684,2672,0.002693,2160,0.000000,0,0.000000,0,0.000000,0,468336
0.007697,2992,0.006355,2752,0.005440,2336,0.004768,2000,0.003609,2000,0.000000,0,0.000000,0,0.000000,0,0.000000,0,483792
0.005378,2000,0.004646,2000,0.004158,1984,0.003792,1712,0.002999,1712,0.000436,144,0.000000,0,0.000000,0,0.000000,0,482672
0.010565,3808,0.008979,3712,0.007819,3376,0.006904,2656,0.006111,2656,0.004219,2656,0.000000,0,0.000000,0,0.000000,0,464528
0.011969,4352,0.010260,4256,0.009101,3952,0.008125,3472,0.007331,3072,0.005928,3072,0.001229,1664,0.000000,0,0.000000,0,466608
0.012091,4384,0.010321,4272,0.009223,4096,0.008308,3584,0.007636,3232,0.006538,3232,0.002632,2976,0.000000,0,0.000000,0,466944
0.011786,4304,0.010077,4160,0.008857,3904,0.007819,3216,0.007026,2912,0.005928,2912,0.002205,2784,0.000000,0,0.000000,0,463728
0.012701,4608,0.010687,4336,0.009406,4080,0.008430,3504,0.007819,3280,0.006965,3280,0.004036,3280,0.000000,0,0.000000,0,464224
0.010138,3584,0.008552,3520,0.007453,3200,0.006599,2496,0.005928,2480,0.004951,2480,0.001534,2048,0.000000,0,0.000000,0,460208
0.018071,5120,0.014471,5040,0.012213,4624,0.010382,3632,0.008552,3264,0.005378,2592,0.000000,0,0.000000,0,0.000000,0,423072
