random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.011481,5920,0.010504,5904,0.009894,5712,0.009223,5504,0.006843,5360,0.000000,0,0.000000,0,0.000000,0,0.000000,0,607904
0.009711,5008,0.008857,4896,0.008308,4816,0.007514,4656,0.004707,4480,0.000000,0,0.000000,0,0.000000,0,0.000000,0,606464
0.008735,4160,0.007514,4016,0.006843,3888,0.005867,3808,0.002571,3472,0.000000,0,0.000000,0,0.000000,0,0.000000,0,609968
0.005073,1904,0.003853,1888,0.003304,1872,0.002632,1760,0.001473,784,0.000000,0,0.000000,0,0.000000,0,0.000000,0,614288
0.009467,4528,0.008308,4480,0.007697,4336,0.007209,4288,0.005867,4224,0.001595,448,0.000000,0,0.000000,0,0.000000,0,609360
0.007514,3168,0.006172,3120,0.005562,3072,0.005073,3008,0.003853,3008,0.001107,576,0.000000,0,0.000000,0,0.000000,0,609168
0.007758,3536,0.006660,3472,0.006050,3424,0.005562,3280,0.004341,3072,0.000741,320,0.000000,0,0.000000,0,0.000000,0,606864
0.004707,1392,0.002999,1296,0.002388,1200,0.001717,1184,0.000436,208,0.000000,0,0.000000,0,0.000000,0,0.000000,0,611472
0.007087,2368,0.004402,1776,0.003487,1744,0.002877,1680,0.001839,1584,0.000000,0,0.000000,0,0.000000,0,0.000000,0,609008
0.007697,2448,0.005440,2416,0.004585,2384,0.004097,2368,0.003060,2336,0.000000,0,0.000000,0,0.000000,0,0.000000,0,607952
0.007636,2624,0.005073,2128,0.004097,2064,0.003609,2064,0.002449,2016,0.000000,0,0.000000,0,0.000000,0,0.000000,0,608544
0.007209,2432,0.004646,1888,0.003731,1888,0.003304,1856,0.002388,1840,0.000000,0,0.000000,0,0.000000,0,0.000000,0,608672
0.009345,3296,0.006416,2752,0.005256,2736,0.004707,2624,0.004097,2592,0.002266,2448,0.000000,0,0.000000,0,0.000000,0,611440
0.006233,1840,0.004219,1840,0.003487,1808,0.003121,1760,0.002388,1712,0.000619,304,0.000000,0,0.000000,0,0.000000,0,610288
0.005989,2048,0.003914,1616,0.003182,1616,0.002816,1616,0.002022,1600,0.000000,0,0.000000,0,0.000000,0,0.000000,0,613104
0.003365,768,0.001839,720,0.001351,656,0.000863,656,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,613600
0.004646,2128,0.002632,992,0.001961,976,0.001473,880,0.000497,800,0.000000,0,0.000000,0,0.000000,0,0.000000,0,613360
0.005440,1968,0.004097,1968,0.003548,1936,0.003304,1888,0.002877,1840,0.001717,1680,0.000000,0,0.000000,0,0.000000,0,613008
0.006355,2576,0.005073,2528,0.004463,2416,0.004219,2400,0.003914,2400,0.002938,2320,0.000000,112,0.000000,0,0.000000,0,610960
0.007026,2400,0.005134,2304,0.004341,2288,0.003975,2224,0.003670,2224,0.002388,2192,0.000000,0,0.000000,0,0.000000,0,607456
0.009040,4624,0.006050,2432,0.004768,2368,0.004280,2336,0.003853,2272,0.002510,2192,0.000000,0,0.000000,0,0.000000,0,608016
0.008674,2928,0.005378,2160,0.004280,2112,0.003792,2080,0.003426,2064,0.002083,2064,0.000000,0,0.000000,0,0.000000,0,609152
0.010016,4560,0.006782,2816,0.005501,2768,0.004951,2752,0.004585,2720,0.003487,2592,0.000000,0,0.000000,0,0.000000,0,608832
0.008735,3536,0.006294,2752,0.005317,2752,0.004890,2752,0.004585,2736,0.003670,2736,0.000000,0,0.000000,0,0.000000,0,606832
0.006233,2160,0.004646,2160,0.004036,2128,0.003670,2064,0.003304,2016,0.001961,1936,0.000000,0,0.000000,0,0.000000,0,605760
0.007697,3040,0.005378,2272,0.004402,2240,0.003975,2208,0.003670,2176,0.002449,2144,0.000000,0,0.000000,0,0.000000,0,605184
0.007819,3440,0.005317,2192,0.004341,2176,0.003914,2160,0.003548,2160,0.002388,2144,0.000000,0,0.000000,0,0.000000,0,607088
0.007453,3344,0.005317,2288,0.004463,2272,0.004036,2256,0.003731,2256,0.002632,2240,0.000000,0,0.000000,0,0.000000,0,607696
