random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.108507,0.124610,0.036500,0.113022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.019841,0.006632,0.009406,0.005762,0.007087,0.005654,0.006233,0.005581,0.005684,0.005472,0.005073,0.005074,0.003426,0.004023,0.000000,0.000000,0.000000,0.000000
0.006477,0.001768,0.002388,0.001543,0.001473,0.000932,0.001107,0.000932,0.000558,0.000932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.028933,0.071237,0.001168,0.000612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.071405,0.111268,0.001229,0.000263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.086173,0.111516,0.007819,0.000683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.102710,0.113668,0.043335,0.113471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100879,0.110694,0.045898,0.110694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.116745,0.123234,0.069697,0.123234,0.001839,0.000459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.118881,0.120955,0.088248,0.120955,0.007819,0.000983,0.001229,0.000983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110765,0.112258,0.084159,0.112258,0.009711,0.001213,0.001778,0.001114,0.000192,0.000164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100025,0.102862,0.070551,0.101949,0.005317,0.000880,0.001107,0.000847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.104724,0.108879,0.069575,0.108879,0.007270,0.001664,0.002632,0.001598,0.001778,0.001598,0.000924,0.001076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.109667,0.111115,0.085624,0.111115,0.026126,0.006924,0.008735,0.004714,0.005989,0.004584,0.004951,0.004421,0.003914,0.003706,0.000985,0.003153,0.000000,0.000000
0.109728,0.111191,0.085502,0.111191,0.021366,0.004618,0.005928,0.003177,0.003853,0.002948,0.002816,0.002784,0.001107,0.001703,0.000000,0.000000,0.000000,0.000000
0.116562,0.117421,0.094289,0.117421,0.028567,0.008141,0.007270,0.003677,0.004707,0.003512,0.003548,0.003447,0.001839,0.001871,0.000000,0.000000,0.000000,0.000000
0.118332,0.119499,0.093313,0.119499,0.023258,0.005258,0.005501,0.002826,0.003548,0.002596,0.002449,0.002564,0.000558,0.001216,0.000000,0.000000,0.000000,0.000000
0.128035,0.129765,0.099842,0.129765,0.024967,0.005469,0.006233,0.003256,0.004158,0.003190,0.003121,0.003028,0.001534,0.001725,0.000000,0.000000,0.000000,0.000000
0.136883,0.142522,0.093496,0.142522,0.020756,0.005861,0.008796,0.005373,0.006538,0.005177,0.005684,0.005112,0.004768,0.005014,0.002327,0.003907,0.000000,0.000000
0.117050,0.117453,0.092519,0.117093,0.025333,0.006116,0.006172,0.003238,0.003853,0.002813,0.002999,0.002551,0.001839,0.002355,0.000000,0.000000,0.000000,0.000000
0.112779,0.115142,0.083427,0.114912,0.017827,0.003973,0.005684,0.003185,0.003914,0.002955,0.003243,0.002889,0.002205,0.002692,0.000000,0.000000,0.000000,0.000000
0.107104,0.109880,0.076226,0.109088,0.012640,0.002672,0.004463,0.002639,0.003304,0.002573,0.002754,0.002573,0.001656,0.002474,0.000000,0.000000,0.000000,0.000000
0.107287,0.116704,0.055844,0.116009,0.006782,0.002381,0.003426,0.002282,0.002571,0.001951,0.002022,0.001951,0.000741,0.001885,0.000000,0.000000,0.000000,0.000000
0.108141,0.120216,0.049742,0.119646,0.007026,0.002851,0.003914,0.002784,0.003060,0.002415,0.002449,0.002415,0.001168,0.001945,0.000000,0.000000,0.000000,0.000000
0.110399,0.118341,0.061581,0.118341,0.009894,0.003552,0.005134,0.003451,0.004036,0.003250,0.003487,0.003183,0.002571,0.003183,0.000000,0.000000,0.000000,0.000000
0.117661,0.124864,0.070307,0.124864,0.007880,0.002343,0.003548,0.002244,0.002754,0.002244,0.002266,0.002244,0.001107,0.002079,0.000000,0.000000,0.000000,0.000000
0.119430,0.121687,0.091177,0.121687,0.026370,0.006379,0.009955,0.005688,0.007209,0.005655,0.006294,0.005524,0.005745,0.005524,0.004219,0.005524,0.000000,0.000000
0.117478,0.117523,0.098683,0.117523,0.041138,0.062787,0.013189,0.006660,0.008735,0.006466,0.007392,0.006369,0.006660,0.006208,0.005440,0.006208,0.001107,0.003265
0.121932,0.120767,0.109850,0.120767,0.061092,0.120767,0.016668,0.006980,0.009711,0.006688,0.007880,0.006623,0.007087,0.006493,0.005928,0.006460,0.001778,0.006266
0.130598,0.129179,0.119919,0.129179,0.072077,0.129179,0.017156,0.006338,0.009101,0.006014,0.007209,0.005950,0.006477,0.005950,0.005256,0.005950,0.000924,0.003428
0.125838,0.124206,0.117844,0.124206,0.079460,0.124206,0.021916,0.007225,0.010443,0.006483,0.007941,0.006354,0.006965,0.006322,0.005806,0.006289,0.001717,0.006193
0.123702,0.122191,0.114304,0.122191,0.070978,0.122191,0.016546,0.005708,0.008491,0.005513,0.006599,0.005513,0.005806,0.005252,0.004463,0.005219,0.000000,0.000000
0.129926,0.128406,0.118698,0.128406,0.069453,0.128112,0.014959,0.005424,0.007880,0.005228,0.006111,0.005162,0.005256,0.004607,0.003792,0.004574,0.000000,0.000000
0.135052,0.134485,0.118759,0.134485,0.057309,0.134092,0.013739,0.006001,0.008369,0.005936,0.006904,0.005936,0.006233,0.005739,0.005073,0.005706,0.000985,0.003640
0.142009,0.143772,0.113755,0.143247,0.042358,0.013106,0.015691,0.008540,0.011054,0.008507,0.009528,0.008376,0.008796,0.008179,0.008125,0.008146,0.005440,0.008015
0.151223,0.152580,0.122421,0.152515,0.048217,0.015045,0.018620,0.010282,0.013128,0.010019,0.011359,0.009953,0.010565,0.009920,0.010016,0.009920,0.008002,0.009756
0.144633,0.155316,0.088980,0.154887,0.026248,0.010130,0.014532,0.009734,0.011664,0.009635,0.010504,0.009569,0.010016,0.009569,0.009528,0.009569,0.007453,0.009536
0.130292,0.132674,0.101185,0.132674,0.038392,0.011371,0.017095,0.010089,0.012640,0.009991,0.011115,0.009859,0.010382,0.009826,0.009833,0.009728,0.007636,0.009728
0.126570,0.126794,0.106616,0.126794,0.048583,0.077539,0.018865,0.010075,0.013189,0.010009,0.011298,0.009910,0.010565,0.009845,0.009955,0.009812,0.007697,0.009812
0.122176,0.122223,0.102710,0.122223,0.045593,0.102320,0.017095,0.009044,0.011908,0.009044,0.010199,0.008912,0.009467,0.008813,0.008735,0.008747,0.006172,0.008747
0.061642,0.051003,0.031984,0.011598,0.017156,0.010340,0.012945,0.010201,0.011420,0.010166,0.010687,0.010166,0.010199,0.010026,0.008796,0.009816,0.003914,0.006498
0.074029,0.101371,0.025760,0.010004,0.014715,0.009906,0.011786,0.009841,0.010687,0.009744,0.010199,0.009744,0.009772,0.009744,0.007819,0.009744,0.000000,0.000000
0.087027,0.119492,0.031130,0.010159,0.015264,0.009473,0.011603,0.009408,0.010260,0.009114,0.009650,0.009114,0.009162,0.009114,0.007331,0.009114,0.000131,0.002515
0.098683,0.119205,0.045165,0.015066,0.019048,0.010388,0.013495,0.010324,0.011664,0.010195,0.010871,0.010130,0.010321,0.010130,0.008613,0.010130,0.001778,0.004678
0.116745,0.128285,0.065974,0.126736,0.023197,0.010559,0.014593,0.010365,0.012030,0.010236,0.010993,0.010074,0.010321,0.010010,0.008613,0.010010,0.002022,0.005263
0.095876,0.104430,0.054502,0.098339,0.016912,0.007231,0.010199,0.007134,0.008369,0.007101,0.007636,0.007068,0.007026,0.007068,0.004707,0.007068,0.000000,0.000000
0.118393,0.123248,0.081657,0.123248,0.027225,0.009945,0.014471,0.009420,0.011420,0.009387,0.010199,0.009223,0.009528,0.009223,0.007819,0.009223,0.001595,0.003545
0.120102,0.130548,0.069270,0.130548,0.021061,0.008877,0.012640,0.008779,0.010321,0.008779,0.009406,0.008584,0.008735,0.008584,0.006965,0.008518,0.000680,0.003003
0.125167,0.133037,0.079155,0.133037,0.025455,0.010053,0.014532,0.009890,0.011664,0.009661,0.010565,0.009661,0.009833,0.009661,0.008125,0.009433,0.002327,0.003590
0.113206,0.120890,0.070673,0.120890,0.023258,0.009418,0.013556,0.009221,0.010993,0.009155,0.009955,0.009155,0.009345,0.009155,0.007758,0.008893,0.002205,0.003478
0.125533,0.128634,0.093007,0.128634,0.033937,0.011283,0.016607,0.010243,0.012579,0.010210,0.011115,0.009852,0.010199,0.009820,0.008430,0.009430,0.002754,0.005105
0.119674,0.124484,0.083305,0.124484,0.028079,0.009908,0.014715,0.009518,0.011542,0.009356,0.010321,0.009356,0.009589,0.009323,0.007941,0.009161,0.002022,0.004223
0.113633,0.115152,0.089163,0.115152,0.035707,0.011379,0.015508,0.008858,0.011176,0.008567,0.009650,0.008502,0.008735,0.008405,0.006843,0.008179,0.000802,0.002425
0.128584,0.130339,0.101734,0.130339,0.038758,0.011293,0.016058,0.009132,0.011664,0.009067,0.010199,0.009067,0.009345,0.008936,0.007758,0.008870,0.002327,0.004124
0.128523,0.128707,0.108934,0.128707,0.049986,0.073561,0.018315,0.009535,0.012579,0.009371,0.010687,0.009338,0.009711,0.009306,0.007880,0.008945,0.001961,0.003440
