random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.005317,1920,0.005195,1920,0.005134,1920,0.005073,1920,0.005073,1920,0.005012,1920,0.004402,1920,0.001412,1920,0.000000,0,378896
0.017522,6464,0.017095,6464,0.016912,6464,0.016851,6464,0.016790,6464,0.016729,6464,0.016729,6464,0.016302,6464,0.012640,6464,386432
0.017095,6224,0.016607,6224,0.016363,6224,0.016302,6224,0.016241,6224,0.016180,6224,0.016119,6224,0.015508,6208,0.011054,6208,385008
0.017949,6560,0.017461,6560,0.017217,6560,0.017095,6560,0.017034,6560,0.017034,6560,0.016973,6560,0.016302,6560,0.011603,6560,386256
0.016851,6224,0.016485,6224,0.016302,6224,0.016180,6224,0.016119,6224,0.016119,6224,0.016058,6224,0.015142,6224,0.009528,6224,386880
0.016790,6160,0.016363,6160,0.016119,6160,0.016058,6160,0.015996,6160,0.015935,6160,0.015874,6160,0.014776,6160,0.008308,6160,386944
0.015142,5536,0.014776,5536,0.014593,5536,0.014471,5536,0.014410,5536,0.014410,5536,0.014288,5536,0.012640,5536,0.004585,5536,385024
0.007026,3440,0.006843,3440,0.006721,3440,0.006660,3440,0.006660,3440,0.006538,3440,0.005440,3440,0.000619,3440,0.000000,0,518768
0.007087,3888,0.006843,3888,0.006721,3888,0.006660,3888,0.006660,3888,0.006538,3888,0.005317,3888,0.000000,768,0.000000,0,586336
0.008735,4784,0.008491,4784,0.008308,4784,0.008247,4784,0.008186,4784,0.008125,4784,0.007148,4784,0.002449,4784,0.000000,0,585072
0.006782,3712,0.006538,3712,0.006416,3712,0.006416,3712,0.006355,3712,0.006172,3712,0.004585,3712,0.000000,0,0.000000,0,585440
0.009833,5424,0.009528,5424,0.009406,5424,0.009345,5424,0.009284,5424,0.009162,5424,0.008186,5424,0.003060,5424,0.000000,0,587104
0.007575,4208,0.007392,4208,0.007270,4208,0.007209,4208,0.007209,4208,0.006965,4208,0.005317,4208,0.000000,0,0.000000,0,586768
0.007087,3872,0.006843,3872,0.006721,3872,0.006660,3872,0.006599,3872,0.006294,3872,0.004219,3824,0.000000,0,0.000000,0,586608
0.000253,160,0.000000,160,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,584976
0.000253,160,0.000000,160,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,585056
