random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.142436,0.134375,0.129743,0.121346,0.118881,0.107279,0.110643,0.102677,0.104175,0.098399,0.092885,0.095936,0.051817,0.091657,0.000000,0.000000,0.000000,0.000000
0.137859,0.135836,0.136395,0.135597,0.134991,0.135279,0.133588,0.131939,0.131818,0.131382,0.123824,0.129633,0.079643,0.125497,0.000000,0.000000,0.000000,0.000000
0.072992,0.061522,0.055722,0.049470,0.043640,0.033210,0.036073,0.031373,0.025638,0.030340,0.010504,0.003711,0.002999,0.002908,0.000000,0.000000,0.000000,0.000000
0.142741,0.140984,0.139690,0.138593,0.136517,0.133647,0.133954,0.130431,0.132245,0.130266,0.130353,0.130184,0.117905,0.130184,0.055722,0.122929,0.000000,0.000000
0.145243,0.137137,0.134503,0.127902,0.124922,0.115369,0.117234,0.109894,0.111070,0.106398,0.102283,0.102704,0.073724,0.099208,0.002266,0.000462,0.000000,0.000000
0.134991,0.133270,0.133771,0.133270,0.132367,0.132791,0.131025,0.129125,0.129255,0.128965,0.119797,0.127610,0.069636,0.122987,0.000000,0.000000,0.000000,0.000000
0.144877,0.136089,0.131818,0.123434,0.120041,0.109806,0.110521,0.102213,0.102588,0.097086,0.086600,0.092673,0.034853,0.088455,0.000000,0.000000,0.000000,0.000000
0.140056,0.133937,0.133649,0.128845,0.128401,0.122905,0.124373,0.119864,0.120956,0.118521,0.110948,0.117106,0.064693,0.112156,0.000000,0.000000,0.000000,0.000000
0.141582,0.136154,0.134137,0.128934,0.127058,0.121210,0.120712,0.115290,0.114854,0.110814,0.101917,0.106411,0.050658,0.104317,0.000000,0.000000,0.000000,0.000000
0.140056,0.132777,0.130842,0.125016,0.122543,0.115056,0.116013,0.108977,0.110765,0.106972,0.098316,0.104902,0.047606,0.100310,0.000000,0.000000,0.000000,0.000000
0.140605,0.136910,0.135662,0.132399,0.131147,0.126781,0.127302,0.123457,0.123702,0.121795,0.114121,0.118629,0.068598,0.116176,0.000000,0.000000,0.000000,0.000000
0.136090,0.128490,0.126753,0.119595,0.119003,0.111479,0.112962,0.106674,0.108019,0.104532,0.095082,0.102195,0.042602,0.097455,0.000000,0.000000,0.000000,0.000000
0.147074,0.145134,0.143901,0.142857,0.140483,0.137979,0.137249,0.133588,0.134076,0.132206,0.125228,0.129035,0.081779,0.126270,0.000000,0.000000,0.000000,0.000000
0.145121,0.135634,0.131086,0.121016,0.119308,0.108218,0.110521,0.102133,0.103564,0.099122,0.090017,0.094981,0.047179,0.091343,0.007514,0.004078,0.000000,0.000000
0.135662,0.134105,0.134320,0.134105,0.132855,0.132648,0.131330,0.129330,0.129682,0.128925,0.122726,0.127630,0.082878,0.124393,0.000000,0.000000,0.000000,0.000000
0.150003,0.143298,0.137676,0.129710,0.126448,0.115991,0.117539,0.108507,0.110521,0.105750,0.096303,0.101746,0.042541,0.098398,0.000000,0.000000,0.000000,0.000000
0.123275,0.120192,0.120529,0.117968,0.118210,0.116461,0.116013,0.114524,0.113206,0.112299,0.101123,0.109931,0.047545,0.103545,0.000000,0.000000,0.000000,0.000000
0.134808,0.132634,0.131208,0.129478,0.127852,0.124270,0.124922,0.121903,0.121505,0.121509,0.106555,0.117800,0.039002,0.115196,0.000000,0.000000,0.000000,0.000000
0.124129,0.121186,0.119308,0.116492,0.114610,0.109523,0.110460,0.107176,0.105395,0.102980,0.086173,0.100846,0.015264,0.091103,0.000000,0.000000,0.000000,0.000000
0.117173,0.114946,0.115769,0.114368,0.114854,0.113863,0.114121,0.113863,0.112047,0.113141,0.096486,0.112058,0.026126,0.105848,0.000000,0.000000,0.000000,0.000000
0.126997,0.124253,0.122665,0.120548,0.118393,0.114195,0.114671,0.111019,0.110399,0.109204,0.093129,0.106632,0.023136,0.104212,0.000000,0.000000,0.000000,0.000000
0.120163,0.116631,0.115952,0.112880,0.112413,0.108634,0.109301,0.107077,0.105090,0.103468,0.086539,0.101982,0.017583,0.093277,0.000000,0.000000,0.000000,0.000000
0.123336,0.121972,0.122054,0.121972,0.120773,0.119426,0.119613,0.118037,0.117661,0.117960,0.103442,0.117034,0.035951,0.113871,0.000000,0.000000,0.000000,0.000000
0.122909,0.119887,0.118149,0.115848,0.113511,0.108202,0.109362,0.105749,0.104297,0.102142,0.084952,0.099690,0.015081,0.090889,0.000000,0.000000,0.000000,0.000000
0.088553,0.081832,0.080803,0.076044,0.074273,0.066095,0.069453,0.065029,0.061825,0.063963,0.038697,0.060460,0.013495,0.007412,0.000000,0.000000,0.000000,0.000000
0.097157,0.089318,0.088065,0.083076,0.080620,0.070708,0.075677,0.070241,0.072199,0.069833,0.063289,0.069366,0.026370,0.065632,0.000000,0.000000,0.000000,0.000000
0.135418,0.127982,0.126692,0.120309,0.119186,0.111670,0.113511,0.107415,0.109301,0.105287,0.104053,0.103804,0.086966,0.100258,0.050963,0.025467,0.002754,0.003417
0.139690,0.137396,0.136212,0.134971,0.132672,0.129314,0.129560,0.126081,0.126509,0.125434,0.116501,0.122606,0.068659,0.119211,0.000000,0.000000,0.000000,0.000000
0.131208,0.122875,0.122237,0.115760,0.114854,0.107458,0.109117,0.103439,0.103931,0.100936,0.090017,0.098037,0.045410,0.091975,0.000000,0.000000,0.000000,0.000000
0.142558,0.140940,0.139507,0.138223,0.136151,0.133613,0.133100,0.129744,0.130109,0.128509,0.120895,0.125710,0.074456,0.122911,0.000000,0.000000,0.000000,0.000000
0.147074,0.139716,0.135724,0.129352,0.124861,0.115998,0.115830,0.106963,0.108263,0.103441,0.092702,0.098857,0.036500,0.094074,0.000000,0.000000,0.000000,0.000000
0.135357,0.131770,0.132672,0.130013,0.130842,0.128867,0.129499,0.128332,0.127913,0.127721,0.119491,0.126270,0.075006,0.121381,0.000000,0.000000,0.000000,0.000000
