random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.145243,31936,0.136151,30480,0.128035,28656,0.120834,26720,0.115098,25424,0.109484,25024,0.090628,24720,0.018743,15200,0.000000,0,234208
0.140727,26608,0.137859,26144,0.134625,25200,0.131574,24480,0.128706,24240,0.122787,23696,0.091848,23136,0.000000,0,0.000000,0,190880
0.141033,31232,0.130781,29584,0.121810,27504,0.113816,25536,0.107165,24112,0.096547,23408,0.056943,22576,0.000000,0,0.000000,0,238912
0.144755,28240,0.141521,27776,0.138103,26816,0.134808,26048,0.131635,25600,0.125716,24960,0.095631,24480,0.000000,0,0.000000,0,197936
0.138592,29712,0.131208,28528,0.124739,27168,0.119125,25760,0.114365,24832,0.106127,24480,0.070673,23600,0.000000,0,0.000000,0,226576
0.138958,27968,0.132184,26816,0.126021,25408,0.120651,24304,0.115952,23776,0.107714,22816,0.072504,22256,0.000000,0,0.000000,0,210048
0.139263,28816,0.134076,28176,0.129499,27136,0.125533,26144,0.122176,25632,0.115586,25408,0.083183,24400,0.000000,0,0.000000,0,215408
0.071283,23264,0.056394,19808,0.045532,13824,0.038880,12992,0.030398,12496,0.012579,1296,0.002632,992,0.000000,0,0.000000,0,384128
0.129682,26480,0.124861,25872,0.120224,24480,0.116562,23504,0.114121,23456,0.111558,23424,0.098927,23360,0.040162,21760,0.000000,0,210512
0.135601,28576,0.128279,27408,0.121932,25808,0.116745,24688,0.112901,24160,0.109301,23888,0.096242,23456,0.038880,22880,0.000000,0,222128
0.139812,28736,0.132672,27168,0.125899,25552,0.119735,24400,0.114060,23392,0.105883,22240,0.076348,21824,0.000000,0,0.000000,0,212624
0.138225,28416,0.133527,27824,0.129499,27040,0.125960,26176,0.122787,25696,0.116196,25312,0.083732,24288,0.000000,0,0.000000,0,213920
0.140910,29536,0.131879,28144,0.123031,25792,0.115220,23872,0.108629,22912,0.098133,21952,0.057431,21632,0.000000,0,0.000000,0,221616
