random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.150186,0.136266,0.131208,0.118107,0.113938,0.102415,0.093374,0.088722,0.057309,0.075029,0.018010,0.009302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.134320,0.118917,0.115403,0.100699,0.098683,0.088515,0.077386,0.074071,0.042480,0.021942,0.010321,0.004759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.154946,0.139983,0.135540,0.121313,0.118271,0.108031,0.098377,0.093248,0.063350,0.079055,0.022099,0.011831,0.000436,0.000344,0.000000,0.000000,0.000000,0.000000
0.136395,0.121368,0.117295,0.103924,0.100086,0.088344,0.078484,0.075368,0.043030,0.039189,0.010626,0.004923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.151773,0.137144,0.132550,0.119197,0.115159,0.104368,0.094838,0.089146,0.059445,0.076821,0.019536,0.011858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.137310,0.122802,0.117783,0.103752,0.099720,0.088154,0.077447,0.073777,0.042175,0.021254,0.010993,0.005367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.155861,0.140931,0.136517,0.122319,0.119186,0.108690,0.098622,0.094084,0.062069,0.078477,0.022099,0.012676,0.001900,0.000757,0.000000,0.000000,0.000000,0.000000
0.134259,0.119098,0.115342,0.101062,0.098683,0.087534,0.077569,0.075128,0.042847,0.027532,0.011603,0.006012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.151162,0.135705,0.131635,0.118228,0.114304,0.102400,0.094167,0.089083,0.059018,0.076135,0.019780,0.011889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.137981,0.123798,0.118759,0.106872,0.101062,0.088695,0.079399,0.076241,0.044921,0.044624,0.013372,0.007405,0.000000,0.000096,0.000000,0.000000,0.000000,0.000000
0.147074,0.132715,0.128279,0.115698,0.111192,0.099463,0.090933,0.086499,0.055783,0.072876,0.017766,0.009497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
