random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.079582,64288,0.073663,63760,0.070795,63264,0.069331,63248,0.068537,63168,0.067805,63120,0.061947,63104,0.030581,63104,0.000000,0,931776
0.140056,111968,0.132123,111456,0.128035,111216,0.125899,110944,0.123885,110864,0.116989,110800,0.101307,82368,0.065059,66896,0.000000,0,896208
0.114488,93328,0.107958,92784,0.104724,92560,0.102588,92288,0.094228,92192,0.053648,92048,0.000000,0,0.000000,0,0.000000,0,911680
0.166052,132816,0.157753,131808,0.153298,131376,0.150918,130928,0.148782,130816,0.140178,130720,0.116379,122624,0.061520,64528,0.000000,0,882240
0.082939,68064,0.077447,67584,0.074701,67360,0.073297,67120,0.072504,67024,0.070917,66992,0.059567,66976,0.009284,61568,0.000000,0,934144
0.082756,68672,0.077752,68432,0.075311,68256,0.074029,68176,0.073419,68128,0.071893,68128,0.059750,68112,0.005867,68048,0.000000,0,936176
0.081657,67696,0.076653,67424,0.074212,67232,0.072931,67056,0.072260,66928,0.070429,66912,0.056577,66912,0.000000,0,0.000000,0,935472
0.121932,98944,0.114976,98864,0.111619,98800,0.109850,98768,0.108080,98704,0.102527,98672,0.086905,72128,0.035463,67520,0.000000,0,912640
0.049498,40960,0.045837,40592,0.043823,40304,0.039063,40224,0.022282,40096,0.000000,0,0.000000,0,0.000000,0,0.000000,0,951984
0.079277,65120,0.073968,64672,0.071344,64320,0.069941,64160,0.069208,64048,0.068598,64000,0.064083,63984,0.037965,63968,0.000000,0,935824
0.197479,159488,0.189607,158368,0.185396,158288,0.183199,158112,0.181125,158016,0.170812,158000,0.139019,157856,0.073175,66976,0.000000,0,874048
0.093923,77712,0.088614,77552,0.085990,77408,0.084159,77328,0.078301,77328,0.062130,77200,0.025455,33184,0.000000,0,0.000000,0,926816
0.125716,103600,0.119552,103344,0.116379,103136,0.114732,103040,0.111375,102912,0.096852,102880,0.059140,42288,0.000000,0,0.000000,0,910256
0.246724,196304,0.238303,193808,0.233604,193696,0.231041,193552,0.229455,193504,0.222010,193472,0.187105,193408,0.106188,66112,0.000000,0,847392
0.010504,8592,0.009467,8496,0.008369,8480,0.005378,6656,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,971280
0.157997,128256,0.150064,127968,0.146036,127920,0.143901,127728,0.140605,127728,0.128279,127712,0.104907,72064,0.063350,63152,0.000000,0,900272
0.081047,67072,0.076043,66960,0.073663,66864,0.072504,66848,0.071893,66848,0.070368,66832,0.058163,66832,0.004707,58208,0.000000,0,936880
0.160987,130512,0.153542,129840,0.149637,129552,0.147562,129328,0.145426,129184,0.136517,129104,0.112596,107280,0.054807,66560,0.000000,0,888992
0.013922,11456,0.012701,11296,0.011786,11200,0.009772,10736,0.003060,6048,0.000000,0,0.000000,0,0.000000,0,0.000000,0,966464
0.077447,64144,0.072504,63936,0.070124,63744,0.068964,63648,0.068354,63632,0.067622,63632,0.061337,63584,0.028201,63568,0.000000,0,939168
0.249104,199632,0.240866,197376,0.236228,197168,0.233726,196928,0.232018,196848,0.223719,196784,0.186800,196672,0.111253,66016,0.000000,0,852336
0.102893,84352,0.097035,84112,0.094106,83936,0.092641,83840,0.091238,83808,0.087393,83776,0.072199,71440,0.014349,60496,0.000000,0,919744
0.150003,122160,0.142802,121296,0.139080,120896,0.137005,120672,0.132306,120496,0.102649,120464,0.000000,0,0.000000,0,0.000000,0,893584
0.078728,63808,0.073114,63280,0.070246,62768,0.068781,62688,0.068049,62496,0.067317,62464,0.062435,62464,0.035341,60640,0.000000,0,929952
0.012518,10064,0.011359,9904,0.010749,9792,0.010138,9760,0.007453,9728,0.000000,0,0.000000,0,0.000000,0,0.000000,0,959776
0.076714,62368,0.071466,62048,0.068842,61664,0.067500,61520,0.066768,61440,0.066035,61408,0.059750,61344,0.027164,61328,0.000000,0,929808
0.082695,67424,0.076775,66848,0.073846,66528,0.072321,66320,0.071527,66288,0.070429,66256,0.061886,66224,0.020390,66224,0.000000,0,937088
0.076531,62400,0.071039,61936,0.068354,61680,0.067012,61616,0.066340,61584,0.065730,61536,0.061031,61472,0.034608,61424,0.000000,0,938176
0.096486,80096,0.090933,79664,0.088187,79376,0.085624,79328,0.075311,79296,0.045776,47680,0.000000,0,0.000000,0,0.000000,0,928736
0.163489,131248,0.155190,130496,0.150857,130144,0.148538,129872,0.146341,129808,0.137554,129728,0.113572,114608,0.057492,63808,0.000000,0,888368
0.083915,68880,0.078240,68624,0.075433,68304,0.073968,68064,0.073175,67936,0.071955,67920,0.062496,67872,0.018437,64048,0.000000,0,939024
0.081352,66048,0.075616,65440,0.072748,64896,0.071283,64896,0.070429,64720,0.069270,64624,0.060177,64544,0.017217,64544,0.000000,0,928960
0.090628,75008,0.085380,74816,0.082756,74624,0.081474,74560,0.080742,74432,0.079399,74432,0.068842,74432,0.019963,69008,0.000000,0,929568
0.084769,69392,0.079521,68816,0.076836,68448,0.074579,68176,0.064632,68096,0.025821,67904,0.000000,0,0.000000,0,0.000000,0,921904
0.162391,131312,0.154091,130592,0.149759,130224,0.147440,129936,0.145304,129808,0.136944,129760,0.116440,110784,0.077264,68832,0.000000,0,895552
0.010810,8688,0.009650,8576,0.008491,8480,0.005501,6512,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,972208
0.246175,197696,0.237449,195632,0.232506,195024,0.229760,194848,0.227258,194704,0.213345,194656,0.168615,194512,0.105029,65552,0.000000,0,858480
0.011298,9088,0.010199,8912,0.009406,8912,0.007453,8512,0.000863,2816,0.000000,0,0.000000,0,0.000000,0,0.000000,0,960176
0.159767,128960,0.151712,128048,0.147501,127712,0.145243,127472,0.143168,127424,0.134625,127392,0.113450,107424,0.075555,63648,0.000000,0,891776
0.081657,66752,0.076226,66000,0.073419,65472,0.071893,65152,0.071100,65024,0.069758,64944,0.059994,64912,0.015142,61584,0.000000,0,925584
0.139690,113168,0.132428,113056,0.128767,113008,0.126936,112896,0.125106,112880,0.118332,112832,0.100086,84720,0.047362,68992,0.000000,0,902400
0.112840,91888,0.106432,91664,0.103259,91488,0.101185,91344,0.092824,91248,0.052122,91056,0.000000,0,0.000000,0,0.000000,0,913120
0.230980,183024,0.221888,181376,0.216823,181056,0.214138,180848,0.212307,180752,0.204435,180672,0.171849,180544,0.105029,66864,0.000000,0,855984
0.056211,46032,0.052122,45584,0.049986,45200,0.047484,45072,0.041565,44848,0.028689,25824,0.000000,0,0.000000,0,0.000000,0,939952
0.063777,52672,0.059628,52528,0.057675,52480,0.056699,52464,0.056150,52432,0.054014,52416,0.039490,52336,0.000000,0,0.000000,0,940656
0.245748,196032,0.237022,193328,0.232079,193168,0.229394,192992,0.227746,192960,0.220118,192944,0.184176,192848,0.103870,61808,0.000000,0,851632
0.134259,109248,0.127241,108864,0.123702,108816,0.121810,108624,0.118942,108592,0.109972,108544,0.090322,71760,0.035585,63440,0.000000,0,904368
0.047606,38976,0.044067,38544,0.041565,38384,0.035463,38096,0.022892,13984,0.002754,240,0.000000,0,0.000000,0,0.000000,0,941440
0.157631,126352,0.149210,125360,0.144755,124896,0.142375,124624,0.140056,124432,0.130720,124384,0.105761,102080,0.048461,57120,0.000000,0,890288
0.083183,67360,0.077141,66592,0.074151,66192,0.072504,65904,0.071649,65712,0.070856,65616,0.065547,65568,0.036866,63456,0.000000,0,929184
