random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.069147,0.016135,0.027103,0.015405,0.018743,0.015384,0.008430,0.015384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.071161,0.016428,0.027774,0.015697,0.019170,0.015655,0.009040,0.015655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069880,0.015358,0.026004,0.014500,0.017522,0.014457,0.006965,0.014457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070002,0.015665,0.026492,0.014892,0.018010,0.014807,0.007453,0.014807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.068232,0.015475,0.026187,0.014809,0.017888,0.014787,0.007392,0.014787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.068537,0.015609,0.026248,0.014771,0.017888,0.014771,0.007453,0.014771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070246,0.016065,0.027164,0.015335,0.018620,0.015271,0.008308,0.015271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.071832,0.016189,0.027408,0.015330,0.018743,0.015308,0.008430,0.015308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069208,0.015263,0.025882,0.014490,0.017522,0.014490,0.006782,0.014490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067195,0.015131,0.025516,0.014400,0.017217,0.014314,0.006538,0.014314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070185,0.015655,0.026187,0.014540,0.017644,0.014476,0.006904,0.014476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.068049,0.015463,0.026065,0.014733,0.017705,0.014647,0.007209,0.014647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.068232,0.015435,0.025882,0.014554,0.017522,0.014511,0.006904,0.014511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.074334,0.016731,0.028567,0.016024,0.019719,0.015981,0.009650,0.015981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.068903,0.015808,0.026431,0.014842,0.018010,0.014820,0.007392,0.014820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067622,0.015642,0.026126,0.014804,0.017827,0.014740,0.007270,0.014740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.066218,0.014949,0.025272,0.014326,0.017156,0.014304,0.006599,0.014304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.066707,0.014895,0.024967,0.014013,0.016790,0.013992,0.005806,0.013992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067927,0.015473,0.026126,0.014808,0.017827,0.014744,0.007392,0.014744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070246,0.015813,0.026859,0.015148,0.018437,0.015148,0.008002,0.015148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.071161,0.015789,0.026798,0.014973,0.018193,0.014909,0.007697,0.014909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.068964,0.015610,0.026431,0.014901,0.018071,0.014901,0.007575,0.014901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067561,0.015777,0.026370,0.015026,0.018071,0.014919,0.007697,0.014919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067317,0.015634,0.026370,0.015033,0.018132,0.015012,0.007941,0.015012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.072931,0.016518,0.028079,0.015744,0.019353,0.015744,0.009406,0.015744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069514,0.015971,0.026920,0.015178,0.018498,0.015178,0.008247,0.015178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069453,0.015897,0.026737,0.015081,0.018315,0.015081,0.007880,0.015081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069270,0.015360,0.026126,0.014694,0.017705,0.014629,0.007270,0.014629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
