random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.268326,111408,0.251667,111408,0.212246,108896,0.166662,50672,0.139385,49008,0.126387,49008,0.120224,49008,0.113938,49008,0.084769,49008,428048
0.253864,103984,0.237205,103984,0.199737,94208,0.155983,46112,0.129438,44336,0.116806,44336,0.110765,44336,0.103442,44336,0.070063,44336,421216
0.267716,110752,0.251240,110752,0.211087,106512,0.164160,48320,0.136395,47568,0.123336,47568,0.117173,47568,0.110216,47568,0.078118,47568,426720
0.275649,114432,0.259539,114432,0.219325,114192,0.170934,51216,0.141704,49408,0.127913,49408,0.121383,49408,0.114488,49408,0.083122,49408,428336
0.271011,112592,0.255267,112592,0.217067,109920,0.171056,52992,0.142741,50064,0.129255,50064,0.122787,50064,0.116013,50064,0.085197,50064,428752
0.254718,105056,0.238181,105056,0.201384,93120,0.158790,47824,0.132611,45984,0.120041,45984,0.113938,45984,0.106677,45984,0.073053,45984,424144
0.273940,113696,0.257769,113696,0.217372,108992,0.168981,50000,0.140056,48816,0.126448,48816,0.120041,48816,0.113145,48816,0.081535,48816,427904
0.278273,115648,0.261614,115648,0.220667,113520,0.171605,51328,0.142070,49520,0.128157,49520,0.121566,49520,0.114671,49520,0.083183,49520,428832
0.264055,108560,0.248006,108560,0.209195,104448,0.163428,48704,0.136029,47168,0.123092,47168,0.116867,47168,0.109667,47168,0.076287,47168,424112
0.250081,102560,0.233543,101600,0.196868,94576,0.155129,47024,0.129743,44864,0.117600,44864,0.111680,44864,0.104114,44864,0.069270,44864,421984
0.265580,110160,0.249287,110160,0.210172,105408,0.164709,48864,0.137676,48416,0.124861,48416,0.118759,48416,0.111864,48416,0.079826,48416,427904
0.264360,109728,0.248311,109728,0.209744,104960,0.164770,49552,0.137798,48496,0.124983,48496,0.118881,48496,0.111986,48496,0.080071,48496,428320
0.264299,109504,0.248372,109504,0.209927,106032,0.164648,50256,0.137249,48000,0.124251,48000,0.118088,48000,0.111070,48000,0.078850,48000,427200
0.250813,102736,0.233604,101776,0.195831,93600,0.153359,46112,0.127974,44176,0.115952,44176,0.110094,44176,0.102466,44176,0.067500,44176,421408
0.270889,112608,0.254840,112608,0.215358,108944,0.168493,50352,0.140361,49248,0.126997,49248,0.120712,49248,0.113938,49248,0.082634,49248,428832
0.270279,112160,0.254535,112160,0.215725,109168,0.168798,50816,0.140239,48960,0.126692,48960,0.120224,48960,0.113389,48960,0.081962,48960,428384
0.277724,115328,0.260882,115328,0.219203,112016,0.169530,50576,0.140056,48752,0.126326,48752,0.119797,48752,0.112840,48752,0.081291,48752,428448
