random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.059811,31472,0.048888,28560,0.042419,26480,0.037293,23840,0.031496,21216,0.024357,15728,0.017461,9280,0.008369,8160,0.000000,0,693648
0.065913,35824,0.053282,30816,0.045471,27440,0.039612,25184,0.034608,21024,0.029605,19712,0.024601,14704,0.020146,11968,0.014776,9760,690976
0.071771,39632,0.058346,33824,0.049864,30624,0.042786,27616,0.036866,21584,0.032534,20176,0.029055,18576,0.026004,16672,0.022526,14512,693312
0.072504,39760,0.058896,34928,0.050413,30928,0.043701,28352,0.037538,22432,0.032534,19920,0.028689,17744,0.025638,16272,0.022221,15376,697808
0.075189,41600,0.061520,36592,0.052610,32560,0.045410,29424,0.039429,23824,0.034731,21920,0.030764,19168,0.027408,17232,0.023868,15824,699616
0.068720,37200,0.055356,32464,0.046935,28544,0.040284,25152,0.034547,20624,0.029727,18544,0.025455,15424,0.022099,13296,0.018437,12320,694320
0.070185,38896,0.056882,32976,0.048705,29856,0.041992,27696,0.036256,21184,0.031862,19984,0.028262,17728,0.025211,15888,0.021733,13872,696528
0.070551,38672,0.057553,33584,0.049498,30400,0.042908,27856,0.036866,22304,0.031618,19824,0.027103,16176,0.023258,14416,0.018987,12544,695040
0.070246,38128,0.057187,33776,0.048705,30048,0.041748,26256,0.036073,21376,0.031496,19824,0.027530,16400,0.024296,15216,0.020634,13744,694144
0.070124,38176,0.057065,33344,0.048766,30096,0.042053,26944,0.036378,21584,0.031679,19744,0.028079,17088,0.025333,16128,0.022099,15072,692720
0.074090,41280,0.060238,35312,0.051329,31760,0.044006,28784,0.037965,22720,0.033205,21040,0.029116,18224,0.025760,16080,0.022221,14640,698816
0.069025,37920,0.056333,32896,0.048522,29904,0.042236,27376,0.036744,21920,0.031984,20192,0.027957,17136,0.024784,15248,0.021305,14208,695808
0.067561,36912,0.054502,32080,0.046325,27696,0.040040,25568,0.034486,20656,0.029727,18336,0.025760,15584,0.022465,14096,0.018498,12016,692736
0.069208,37824,0.056089,32560,0.047911,29168,0.041626,26672,0.036378,22128,0.032046,20176,0.028384,17280,0.025577,15936,0.022587,15104,692976
0.072321,40208,0.059079,35008,0.050658,31040,0.043945,28160,0.038026,23312,0.032900,20560,0.028506,17248,0.025211,15568,0.021855,14560,697296
0.076165,41888,0.061886,36336,0.053098,32736,0.046081,29872,0.039856,25040,0.034608,21440,0.030215,18832,0.026675,16736,0.023136,15392,698848
0.070795,38624,0.057309,33584,0.048827,29376,0.042297,26992,0.036378,23040,0.031008,18784,0.026675,16048,0.023380,14448,0.019719,13040,693360
0.061092,32736,0.047973,27264,0.040284,23696,0.034792,22064,0.029971,18560,0.025577,15760,0.021733,13120,0.018437,11008,0.014044,9712,691184
0.070734,39312,0.056760,32832,0.048034,29072,0.041443,26304,0.035951,22240,0.031313,19808,0.027408,16704,0.024052,15040,0.020024,13264,697408
0.068476,37472,0.055661,32896,0.048034,29264,0.042175,27600,0.036622,23328,0.031557,19536,0.026920,16144,0.022770,14128,0.017888,11424,694880
0.074273,40944,0.060848,36160,0.052366,32768,0.045593,29424,0.039734,24240,0.035036,21872,0.031252,20192,0.027713,18112,0.023502,15184,701152
0.068720,37136,0.055478,32320,0.047240,28640,0.040650,26176,0.034425,22064,0.029055,17328,0.024906,14912,0.021489,13488,0.017217,11696,692288
0.076897,43184,0.062984,37328,0.054258,33232,0.047850,30624,0.042053,27504,0.036988,22960,0.032656,20768,0.029116,18192,0.025699,16848,698688
0.071527,39296,0.058468,34992,0.050413,30448,0.044372,28272,0.038819,24848,0.033876,20768,0.029544,17920,0.025821,16016,0.021366,14720,694336
0.074640,41600,0.061459,36576,0.053220,32864,0.046996,30176,0.041504,26640,0.036439,22944,0.031740,19536,0.027713,17056,0.023502,15440,697952
0.070185,38240,0.057309,34192,0.049254,30544,0.043091,27008,0.037660,24096,0.032778,20288,0.028567,17264,0.024967,16064,0.020695,13280,695120
0.071405,39136,0.058224,34384,0.050108,31072,0.043701,27920,0.037965,23776,0.033022,20608,0.029116,18064,0.025943,16528,0.022404,15040,698912
0.075555,41328,0.062862,37648,0.055722,35536,0.050474,33968,0.045104,30464,0.038758,24336,0.032839,18992,0.028567,17520,0.025150,16480,706080
0.059262,31328,0.047973,27520,0.041016,24912,0.035890,22224,0.031374,19472,0.026614,16704,0.021794,12800,0.017339,9760,0.011664,8304,685360
0.069453,38416,0.056394,32544,0.048278,29200,0.041992,26896,0.036866,22016,0.032778,20864,0.029361,18592,0.026309,16592,0.022770,14736,690864
0.072809,40208,0.059689,35648,0.051512,31552,0.045287,29024,0.039246,26080,0.033693,20768,0.029544,18208,0.026309,17024,0.022648,15136,698064
0.068415,37312,0.054746,31696,0.046203,27936,0.039368,25248,0.033205,19952,0.028079,16672,0.024235,15120,0.020878,13520,0.016241,10864,695456
0.072321,40064,0.059384,35456,0.050963,31920,0.044311,28240,0.038575,23696,0.033815,21456,0.030093,18976,0.027103,17488,0.023563,16064,699824
0.068171,36944,0.054990,31776,0.046874,28576,0.040406,25904,0.034853,20448,0.029910,19216,0.025577,15392,0.022160,13408,0.018376,12560,693984
0.073053,40624,0.059079,34320,0.050535,30656,0.044006,28528,0.038270,22816,0.033388,21024,0.029299,18368,0.025882,16080,0.022160,14688,695648
0.072199,39312,0.059262,34560,0.051329,31920,0.044860,28560,0.038941,23776,0.033815,21328,0.029605,18208,0.026004,16464,0.021855,14272,693840
0.071161,38784,0.057126,33232,0.048461,29376,0.041687,26384,0.035829,21504,0.030886,18816,0.026920,16800,0.023685,15024,0.020024,13024,693344
0.065242,35504,0.052915,30912,0.045104,27504,0.038636,24560,0.032900,19664,0.028384,16672,0.025150,15632,0.022526,14496,0.019048,12480,689568
0.078240,43776,0.064266,38576,0.055295,33968,0.048034,31248,0.041565,25360,0.036378,22336,0.032290,20656,0.029116,18592,0.025760,17168,700496
0.068659,37856,0.055844,32544,0.047789,29664,0.040772,26976,0.034120,19760,0.028994,17072,0.025516,15760,0.022953,14656,0.019658,13376,695216
0.072870,40032,0.059384,35232,0.051024,31376,0.044311,28816,0.037843,24128,0.032595,19104,0.028811,18112,0.026004,16752,0.022831,15072,698944
0.072931,40160,0.059750,35872,0.051207,31520,0.044433,28096,0.038209,24272,0.032961,19584,0.028811,18144,0.025577,16080,0.022282,14640,697552
0.068232,37184,0.055112,32128,0.046752,28768,0.039795,25712,0.033754,20176,0.028811,17280,0.024845,14976,0.021855,13472,0.018498,12512,694192
0.074945,41328,0.061153,36096,0.052244,32256,0.045593,28256,0.039734,25760,0.034120,20512,0.029055,18160,0.024601,14864,0.020207,12736,697808
0.068720,37616,0.055417,32240,0.047484,28384,0.041687,26512,0.036439,22864,0.031618,19440,0.027530,17008,0.023990,14896,0.019902,12816,689280
0.072016,39856,0.058957,34704,0.050902,31728,0.044311,28848,0.038087,23344,0.033144,19904,0.029544,18688,0.026737,17296,0.023563,15904,698432
0.072870,40208,0.059628,35632,0.051451,31680,0.044860,29248,0.038331,23808,0.032412,19584,0.027896,16944,0.024723,15376,0.021244,14656,700576
0.075006,41376,0.060909,36432,0.051634,31952,0.044128,27904,0.037782,22320,0.032534,20448,0.028140,17648,0.024662,15120,0.020939,13776,700736
0.069025,38400,0.056089,32560,0.048156,29424,0.041992,27248,0.036561,22736,0.031496,19920,0.026859,15968,0.023075,14160,0.018804,12432,694896
0.074456,41392,0.060665,35824,0.052061,31872,0.045593,29232,0.039429,25936,0.033937,20512,0.029605,18416,0.026126,16608,0.022160,14928,698704
0.070917,39520,0.057797,34192,0.049620,30032,0.043457,27904,0.037721,24432,0.032412,19792,0.027896,17456,0.024357,14816,0.020695,13712,695600
0.078362,44000,0.064327,38528,0.055356,34192,0.048827,30912,0.043091,28144,0.037965,23120,0.033815,21248,0.030093,19776,0.025821,16384,700384
0.069941,38656,0.056821,33392,0.048461,29712,0.042053,26608,0.036134,22928,0.030703,18112,0.026309,16176,0.022892,14320,0.018865,12608,696208
0.068415,36832,0.054929,32000,0.046996,28624,0.041016,26224,0.035890,22400,0.031679,19456,0.028567,18176,0.026126,16992,0.023258,15904,697600
0.069819,37408,0.058041,34336,0.051512,32832,0.046264,30944,0.040345,27264,0.033266,21488,0.027286,15280,0.023563,14256,0.020085,13728,700208
0.066096,35648,0.053770,31136,0.046142,28080,0.040528,25504,0.035829,22272,0.031496,19664,0.027164,17088,0.022831,14144,0.017705,11008,689760
0.073541,40880,0.060055,35568,0.051451,31568,0.044555,28288,0.038392,23632,0.033510,20096,0.029666,18896,0.026248,16784,0.022282,14624,694416
0.075189,41344,0.061459,37008,0.052793,32000,0.046203,29648,0.039673,26816,0.033937,19840,0.029727,18576,0.025943,17120,0.021061,12784,699696
0.068720,37376,0.055417,32816,0.046996,28608,0.040345,25744,0.034181,21680,0.029177,17104,0.025699,16032,0.022953,14928,0.019292,12976,697136
0.073480,40720,0.059384,34688,0.050841,30800,0.044311,28448,0.038209,24448,0.032717,19712,0.028018,17184,0.024235,14640,0.020146,13680,697616
0.072199,39808,0.058285,33408,0.049681,29952,0.043030,27568,0.037049,22336,0.031801,19408,0.027225,16640,0.023380,14432,0.019109,12464,693312
0.070917,38832,0.057675,33696,0.049498,30208,0.043274,27808,0.037538,23296,0.032473,19488,0.028140,17840,0.024174,15072,0.019780,12592,694032
0.069697,37936,0.056577,32928,0.048766,29968,0.042664,27600,0.036439,23728,0.030886,17984,0.026798,16288,0.023929,15152,0.020817,14016,695360
0.073663,40688,0.059933,35600,0.051329,31520,0.044860,28528,0.038819,25584,0.033388,20016,0.028872,18144,0.024967,15904,0.020390,13200,696656
0.071955,39360,0.058774,34608,0.050780,30864,0.044616,28784,0.038636,24480,0.033266,20160,0.028445,17904,0.023990,15088,0.019170,12256,694816
0.067012,36736,0.054929,32320,0.047423,29024,0.041382,26992,0.035829,21616,0.031008,18800,0.026675,17168,0.022648,13952,0.017705,12176,692976
0.074884,41840,0.061337,36688,0.052549,32272,0.045349,29376,0.039063,24128,0.034059,20896,0.030093,19424,0.026248,16880,0.021366,13632,698256
0.071405,39376,0.057492,33216,0.049193,29744,0.042786,27792,0.036561,23584,0.031252,18528,0.027347,16992,0.024479,15504,0.021122,14576,695312
0.071588,39552,0.058163,33888,0.049864,31008,0.042786,28096,0.035829,21248,0.030459,17984,0.026675,16896,0.023746,15184,0.020390,13600,698080
0.069758,38032,0.057126,33632,0.049132,30352,0.042725,27392,0.037049,22496,0.032473,19936,0.028811,18128,0.026004,16464,0.023014,15248,694336
0.069819,38400,0.056333,32416,0.048156,29664,0.041138,26992,0.034670,19888,0.029788,17920,0.026187,16656,0.023136,14688,0.019658,12992,696032
0.070978,38688,0.057370,33696,0.048827,30192,0.042480,26224,0.037049,23984,0.032229,19984,0.028445,17584,0.025394,16224,0.022038,14640,698272
0.070368,39248,0.057187,33552,0.048888,29904,0.042236,27424,0.036256,22288,0.031374,18992,0.027530,17408,0.024296,15056,0.020573,13328,695088
0.070673,39040,0.057980,34048,0.049803,31120,0.042541,27856,0.035829,20688,0.030886,18448,0.027347,17504,0.024296,16368,0.020573,13184,696048
0.070795,38944,0.057248,33312,0.048705,30304,0.041504,27168,0.035280,20176,0.030459,18960,0.026859,16752,0.023868,15584,0.020207,13072,698800
0.072077,40048,0.058774,34592,0.050413,31008,0.043396,28736,0.037355,21888,0.032900,20256,0.029544,19072,0.026614,17568,0.023136,15392,697904
0.070185,38928,0.056943,33376,0.048400,29888,0.041077,26208,0.034486,19648,0.029483,17920,0.025699,15792,0.022587,14464,0.018987,12352,695216
0.077935,43408,0.063533,37744,0.054563,33584,0.047850,30928,0.041443,27872,0.035707,21408,0.030947,19584,0.026798,16784,0.022587,14352,701632
0.070307,38944,0.057248,33568,0.049254,30112,0.043030,27552,0.036683,24112,0.030886,17776,0.026187,16144,0.022404,13600,0.017949,12128,693664
0.075067,42016,0.061153,36480,0.052244,31648,0.045654,28736,0.039673,25824,0.034364,20800,0.029971,18784,0.026614,16416,0.023380,15584,699168
0.069941,38432,0.056760,33040,0.048644,29648,0.042236,27424,0.036195,22624,0.030947,18608,0.026614,16624,0.023075,14384,0.018926,12592,696320
0.070978,38752,0.057431,33328,0.049376,30624,0.043030,28432,0.037782,22768,0.033754,21472,0.030703,19904,0.027896,18560,0.024357,16720,700480
0.068964,36816,0.057797,34192,0.051573,32976,0.046447,31104,0.040223,27584,0.032534,20480,0.026309,14304,0.022587,13600,0.019292,12928,697104
0.069697,38096,0.056516,32944,0.048400,29760,0.041870,27392,0.036439,21920,0.031984,19696,0.028201,17904,0.024235,16192,0.018987,11856,694704
0.067805,37344,0.054014,31408,0.045043,26752,0.037843,24144,0.031862,18912,0.027530,16464,0.024662,15488,0.022404,14560,0.019414,13392,693760
0.074090,40752,0.060665,36432,0.052000,31472,0.045043,29008,0.038392,25152,0.032778,19184,0.028750,17824,0.025760,16672,0.022587,15104,697216
0.068293,37456,0.055112,31792,0.046813,28752,0.039978,25696,0.034059,19712,0.029299,18128,0.025394,15648,0.021855,13872,0.017034,11616,695616
0.070490,38912,0.057553,33968,0.049437,30544,0.042602,27904,0.036317,20864,0.031435,19168,0.027713,17360,0.024418,16000,0.020451,13056,697600
0.070795,39136,0.057492,34016,0.049010,30000,0.042114,27424,0.036134,21328,0.031679,19648,0.028262,18224,0.025455,16400,0.022099,14512,698304
0.075982,42272,0.062130,36752,0.053404,33200,0.046325,30144,0.039917,23584,0.035097,21680,0.031496,20336,0.028445,18656,0.025089,16576,702544
0.077202,43088,0.062984,37680,0.054136,33024,0.046935,30864,0.039856,24416,0.034120,20560,0.030032,18944,0.026981,17472,0.023685,15680,700656
0.074334,40560,0.060360,35712,0.051817,31680,0.045410,29040,0.039124,25840,0.033388,19744,0.028384,18448,0.024113,14544,0.019841,12544,698624
0.073663,40512,0.059750,35008,0.051207,31392,0.044555,28672,0.038514,23392,0.033449,20128,0.029666,18720,0.026737,16864,0.023624,15888,696592
0.072931,40512,0.059689,35168,0.051268,31680,0.044433,28320,0.037904,23168,0.031557,19024,0.025333,15808,0.019841,11504,0.014105,8912,695984
0.074823,42000,0.061092,36416,0.052183,32048,0.044860,28832,0.038270,22736,0.032961,19632,0.029055,18384,0.025577,16864,0.021489,13632,698720
0.072016,39824,0.059079,34688,0.051085,31392,0.044616,29232,0.038331,23328,0.032839,19888,0.028384,17440,0.025211,15632,0.022160,14720,697264
0.071710,39632,0.058529,34224,0.050352,31200,0.043701,28368,0.037477,23072,0.032290,19920,0.028384,17760,0.025089,16336,0.021183,13440,698304
0.070734,38384,0.057858,34256,0.049864,30512,0.043701,28096,0.038514,23552,0.033998,22016,0.030154,18880,0.026675,17168,0.022526,14816,694272
