random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.085135,0.077361,0.070429,0.063905,0.059201,0.046808,0.052671,0.046808,0.048888,0.045935,0.046020,0.044460,0.042786,0.042232,0.036256,0.035941,0.015569,0.030523
0.093129,0.084762,0.079216,0.072858,0.068171,0.055064,0.061703,0.055064,0.058346,0.055064,0.056211,0.055064,0.053220,0.055064,0.047911,0.043596,0.033510,0.038143
0.201201,0.196804,0.168737,0.155770,0.142192,0.112990,0.127302,0.112990,0.118942,0.112990,0.112230,0.109719,0.102771,0.100725,0.084708,0.094518,0.059628,0.045159
0.140056,0.126613,0.118149,0.102373,0.100513,0.083608,0.089102,0.077332,0.082206,0.076467,0.075677,0.074738,0.065547,0.069455,0.054136,0.043165,0.038331,0.042268
0.118332,0.105442,0.098744,0.087827,0.083122,0.068446,0.073541,0.063593,0.068537,0.063593,0.065608,0.063593,0.061947,0.063436,0.055600,0.053446,0.043030,0.045442
0.117234,0.104562,0.098011,0.088674,0.082450,0.068088,0.072809,0.062782,0.067805,0.062782,0.065181,0.062782,0.062740,0.062782,0.057614,0.062494,0.046020,0.044753
0.121078,0.107598,0.101490,0.091661,0.085502,0.070084,0.075555,0.065078,0.070307,0.065078,0.067683,0.065078,0.065791,0.065078,0.061642,0.065078,0.050230,0.047779
0.266008,0.253600,0.256427,0.248058,0.248982,0.244784,0.241903,0.236556,0.231835,0.232400,0.214138,0.213761,0.190888,0.170018,0.168371,0.151967,0.138286,0.138911
0.255451,0.247871,0.245138,0.239815,0.235557,0.223075,0.227990,0.218418,0.221217,0.218209,0.210416,0.214349,0.192963,0.184393,0.169408,0.158548,0.136456,0.130396
0.155068,0.148160,0.132550,0.114882,0.114426,0.092665,0.103625,0.092665,0.097218,0.092665,0.090139,0.090977,0.076714,0.081931,0.060848,0.042653,0.043945,0.042653
