random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.051085,28064,0.035036,25360,0.020207,6256,0.013128,5648,0.008979,3024,0.006172,2896,0.000497,2896,0.000000,0,0.000000,0,532800
0.051085,27872,0.034853,25296,0.020268,6160,0.014776,6160,0.011420,6160,0.008186,3280,0.002388,3168,0.000000,0,0.000000,0,533136
0.041504,16752,0.031862,8352,0.025577,8352,0.022587,8352,0.020756,8352,0.017095,8352,0.009406,2576,0.000000,0,0.000000,0,419072
0.038209,11744,0.032961,10192,0.030276,10192,0.028933,10192,0.027957,10192,0.024601,10192,0.015203,5968,0.000000,0,0.000000,0,368704
0.037110,11232,0.031679,9600,0.028811,9600,0.027408,9600,0.026004,9600,0.021550,9600,0.012091,3200,0.000000,0,0.000000,0,367520
0.037477,15488,0.032900,13360,0.030459,13360,0.029238,13360,0.027957,13360,0.023868,13360,0.015691,4592,0.000497,4064,0.000000,0,476272
0.033144,13056,0.028811,11584,0.026553,11584,0.025394,11584,0.023929,11584,0.019536,11584,0.011542,3888,0.000000,0,0.000000,0,475664
0.053953,25776,0.037355,10064,0.027835,10064,0.023807,10064,0.021183,10064,0.017278,10064,0.011176,4880,0.000000,0,0.000000,0,489104
0.057553,27152,0.038880,9808,0.027835,9808,0.023319,9808,0.020634,9808,0.017095,9808,0.011420,5200,0.000000,0,0.000000,0,494432
0.242209,79456,0.236839,78560,0.232567,78256,0.227075,76800,0.215847,74048,0.195160,67488,0.166784,51824,0.132916,39504,0.093679,26240,340016
0.075311,37408,0.065242,35488,0.050719,16656,0.040528,16240,0.034731,15536,0.031313,14000,0.028872,13856,0.022465,13792,0.000000,0,505136
0.052427,28736,0.036683,26032,0.021794,6640,0.015752,6640,0.011908,6224,0.008308,3456,0.001351,3456,0.000000,0,0.000000,0,532960
