random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.164587,58976,0.153908,56480,0.146097,54800,0.140422,52784,0.136029,52032,0.123092,51952,0.067683,50928,0.000000,0,0.000000,0,393824
0.175877,62272,0.167700,60528,0.160621,58928,0.154885,55232,0.150491,55120,0.137981,55040,0.088187,54464,0.020085,3920,0.000000,0,376224
0.173741,61040,0.166479,59456,0.161658,58864,0.157814,57936,0.153603,57680,0.143229,54176,0.095326,53744,0.000000,0,0.000000,0,374544
0.173131,59904,0.166845,59232,0.161048,57120,0.154397,56128,0.146403,51248,0.135174,50368,0.104480,42960,0.005378,128,0.000000,0,364304
0.156776,56480,0.141399,53056,0.131574,50912,0.125777,50304,0.121871,50048,0.110033,49984,0.055173,48784,0.000000,0,0.000000,0,420384
0.168127,59376,0.158546,57968,0.150125,56848,0.142497,51696,0.136273,49632,0.126387,49200,0.086173,48448,0.000000,0,0.000000,0,385104
0.145609,52624,0.129255,49152,0.119308,46752,0.113572,46384,0.109972,46096,0.100086,46080,0.053343,45104,0.000000,0,0.000000,0,430416
0.146708,47664,0.134137,45360,0.123641,42464,0.114365,39072,0.106677,35216,0.096425,34896,0.062801,33344,0.000000,0,0.000000,0,362480
0.175755,62880,0.166418,61136,0.158302,60256,0.151467,54864,0.146586,54720,0.137249,54704,0.093374,54128,0.000000,0,0.000000,0,387376
0.156593,54624,0.146708,53168,0.137249,49248,0.125411,45072,0.110338,37040,0.090383,31648,0.050902,21664,0.000000,0,0.000000,0,378096
0.166601,59488,0.155983,57328,0.146158,54608,0.136883,49664,0.128767,47488,0.118393,44912,0.081108,44256,0.000000,0,0.000000,0,385344
0.155922,55408,0.142314,52896,0.133893,51440,0.128950,50896,0.125716,50592,0.117600,50304,0.075982,49712,0.000000,0,0.000000,0,411088
0.185457,66064,0.178440,64336,0.173436,63808,0.169957,62576,0.167516,62000,0.160621,61952,0.120041,61952,0.000000,0,0.000000,0,376000
0.185335,66240,0.178989,64400,0.174107,64208,0.170507,61952,0.167639,61888,0.155556,61840,0.090444,61840,0.000000,0,0.000000,0,374256
0.137981,46112,0.124312,43472,0.115403,41152,0.109911,40464,0.106066,40096,0.095021,40048,0.047667,37568,0.000000,0,0.000000,0,387968
0.171422,61200,0.162635,59248,0.154274,57360,0.145365,52368,0.136456,49824,0.124678,45600,0.090689,44848,0.011725,4608,0.000000,0,379552
0.147806,53456,0.133405,50576,0.124434,48464,0.119247,48000,0.115952,47840,0.106127,47648,0.058285,47136,0.000000,0,0.000000,0,421408
0.182467,63872,0.176426,62912,0.171971,62688,0.168127,60080,0.164892,59936,0.157692,59312,0.121322,59280,0.001473,192,0.000000,0,370256
0.136517,47568,0.120102,44272,0.103442,38176,0.083061,30960,0.058590,20480,0.024357,15104,0.000000,0,0.000000,0,0.000000,0,404880
