random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.164587,0.160763,0.162635,0.160763,0.161719,0.160763,0.161231,0.160763,0.160499,0.160716,0.152566,0.160716,0.105517,0.160716,0.000000,0.000000,0.000000,0.000000
0.152261,0.148765,0.150491,0.148717,0.149271,0.148717,0.145609,0.148717,0.133466,0.148717,0.098377,0.118692,0.002449,0.035157,0.000000,0.000000,0.000000,0.000000
0.165869,0.161691,0.163794,0.161691,0.162696,0.161691,0.162207,0.161691,0.161963,0.161691,0.161292,0.161691,0.154641,0.161691,0.125472,0.161691,0.048095,0.038821
0.134747,0.131302,0.132428,0.131302,0.129682,0.131302,0.126570,0.120938,0.123824,0.120938,0.115891,0.120938,0.075494,0.120938,0.000000,0.000000,0.000000,0.000000
0.095570,0.092795,0.094167,0.092795,0.093374,0.092795,0.090567,0.092795,0.078179,0.092746,0.044372,0.043191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.136700,0.132765,0.134686,0.132718,0.133710,0.132718,0.133222,0.132718,0.132916,0.132718,0.130292,0.132718,0.113450,0.132718,0.051695,0.056263,0.000000,0.000000
0.141521,0.137964,0.139751,0.137964,0.138836,0.137964,0.138347,0.137964,0.136456,0.137964,0.123763,0.137964,0.067256,0.112185,0.000000,0.000000,0.000000,0.000000
0.140544,0.137008,0.137676,0.137008,0.134137,0.130623,0.128401,0.130623,0.118332,0.111888,0.090078,0.111888,0.005806,0.024885,0.000000,0.000000,0.000000,0.000000
0.164770,0.160598,0.162635,0.160598,0.161597,0.160598,0.161109,0.160598,0.160621,0.160598,0.157082,0.160598,0.142924,0.160598,0.106616,0.103849,0.010932,0.012390
0.135785,0.131871,0.133771,0.131871,0.132794,0.131871,0.132367,0.131871,0.132062,0.131871,0.129438,0.131871,0.108751,0.131871,0.049193,0.016679,0.000000,0.000000
0.156959,0.153274,0.155068,0.153274,0.154152,0.153274,0.153725,0.153274,0.153481,0.153274,0.151345,0.153274,0.129133,0.153274,0.026492,0.153274,0.000000,0.000000
0.158912,0.155048,0.156959,0.155048,0.155983,0.155048,0.155495,0.155048,0.154763,0.155048,0.145548,0.155048,0.094716,0.155048,0.000000,0.000000,0.000000,0.000000
0.157814,0.154441,0.156105,0.154441,0.155251,0.154441,0.154824,0.154441,0.153847,0.154441,0.140788,0.154441,0.074212,0.154441,0.000000,0.000000,0.000000,0.000000
0.149637,0.145782,0.147684,0.145735,0.146708,0.145735,0.146219,0.145735,0.145914,0.145735,0.143046,0.145735,0.122298,0.145735,0.049620,0.039247,0.000000,0.000000
0.141460,0.137609,0.139507,0.137609,0.137737,0.137609,0.133222,0.137609,0.124800,0.112564,0.102283,0.112564,0.029910,0.058269,0.000000,0.000000,0.000000,0.000000
0.153969,0.150288,0.152078,0.150240,0.151162,0.150240,0.150674,0.150240,0.149515,0.150240,0.137188,0.150240,0.080071,0.150240,0.000000,0.000000,0.000000,0.000000
0.156654,0.153017,0.154824,0.153017,0.153908,0.153017,0.153420,0.153017,0.151589,0.153017,0.133954,0.153017,0.057736,0.152970,0.000000,0.000000,0.000000,0.000000
0.143046,0.139419,0.141216,0.139373,0.140300,0.139373,0.139812,0.139373,0.137615,0.139373,0.116562,0.139373,0.020146,0.139373,0.000000,0.000000,0.000000,0.000000
0.145121,0.140759,0.142863,0.140711,0.141765,0.140711,0.141277,0.140711,0.140727,0.140711,0.135113,0.140711,0.106188,0.140711,0.036927,0.031518,0.000000,0.000000
0.163977,0.159739,0.161841,0.159693,0.160743,0.159693,0.160194,0.159693,0.159278,0.159693,0.152261,0.159693,0.114182,0.148134,0.023136,0.011882,0.000000,0.000000
0.138592,0.135082,0.136761,0.135034,0.135907,0.135034,0.135174,0.135034,0.130720,0.134987,0.113023,0.134987,0.060665,0.083671,0.000000,0.000000,0.000000,0.000000
0.178440,0.174430,0.176426,0.174430,0.175449,0.174430,0.174900,0.174430,0.174473,0.174430,0.169286,0.174430,0.142070,0.174430,0.071832,0.062254,0.000000,0.000000
0.149942,0.146182,0.148050,0.146182,0.147135,0.146182,0.146647,0.146182,0.145914,0.146182,0.139690,0.146182,0.106799,0.146182,0.034853,0.012309,0.000000,0.000000
0.155495,0.151371,0.153420,0.151371,0.152383,0.151325,0.151834,0.151325,0.150857,0.151279,0.143718,0.151279,0.115586,0.151279,0.023929,0.079880,0.000000,0.000000
0.143168,0.140183,0.141643,0.140183,0.140910,0.140183,0.140544,0.140183,0.139995,0.140183,0.132123,0.140183,0.082878,0.140183,0.000000,0.000000,0.000000,0.000000
0.175694,0.172076,0.173863,0.172029,0.172948,0.172029,0.172459,0.172029,0.171910,0.172029,0.163794,0.172029,0.110826,0.172029,0.000000,0.000000,0.000000,0.000000
0.174473,0.170350,0.172398,0.170304,0.171300,0.170304,0.169774,0.170304,0.161536,0.170304,0.129072,0.119935,0.018498,0.074783,0.000000,0.000000,0.000000,0.000000
0.143229,0.139938,0.140727,0.139938,0.139019,0.136794,0.137981,0.136794,0.137066,0.136794,0.130720,0.136794,0.099476,0.136794,0.001473,0.024102,0.000000,0.000000
0.111436,0.108643,0.110033,0.108643,0.109301,0.108643,0.108934,0.108594,0.108080,0.108594,0.100086,0.108594,0.073236,0.108594,0.024113,0.031328,0.000000,0.000000
0.143046,0.139272,0.140666,0.139272,0.137859,0.139272,0.134503,0.128756,0.126936,0.128756,0.099049,0.128756,0.024296,0.030180,0.000000,0.000000,0.000000,0.000000
0.100452,0.098151,0.099293,0.098151,0.098683,0.098151,0.098377,0.098100,0.096913,0.098100,0.089590,0.098100,0.066035,0.060912,0.000000,0.000000,0.000000,0.000000
0.143595,0.140106,0.141826,0.140106,0.140910,0.140055,0.140483,0.140055,0.140178,0.140055,0.135907,0.140055,0.107897,0.140055,0.037904,0.021907,0.000000,0.000000
0.152871,0.149006,0.150918,0.148958,0.149698,0.148958,0.146036,0.148958,0.131757,0.148958,0.095570,0.085369,0.001534,0.016714,0.000000,0.000000,0.000000,0.000000
0.171483,0.167210,0.169286,0.167165,0.168249,0.167165,0.167700,0.167165,0.167089,0.167165,0.160072,0.167165,0.119125,0.167165,0.000000,0.000000,0.000000,0.000000
0.168249,0.164308,0.166235,0.164308,0.165259,0.164261,0.164709,0.164261,0.161536,0.164261,0.134198,0.164261,0.016058,0.083760,0.000000,0.000000,0.000000,0.000000
0.161902,0.158154,0.160011,0.158154,0.159095,0.158154,0.158607,0.158154,0.157692,0.158154,0.153115,0.158154,0.137249,0.137846,0.098500,0.087811,0.001778,0.048095
0.147684,0.143913,0.145792,0.143913,0.144816,0.143913,0.144389,0.143913,0.143962,0.143913,0.138592,0.143913,0.099476,0.143913,0.000000,0.000000,0.000000,0.000000
0.156227,0.152820,0.154519,0.152820,0.153542,0.152820,0.150979,0.152820,0.143534,0.152820,0.130170,0.118617,0.088492,0.118617,0.000000,0.000000,0.000000,0.000000
0.171117,0.167495,0.169286,0.167448,0.167883,0.167448,0.165015,0.167448,0.160377,0.150338,0.152627,0.150338,0.117600,0.150338,0.000000,0.000000,0.000000,0.000000
0.164221,0.160112,0.162146,0.160112,0.161109,0.160112,0.160621,0.160112,0.160316,0.160112,0.158424,0.160112,0.142802,0.160065,0.096303,0.110171,0.035280,0.029787
0.149820,0.145795,0.147806,0.145795,0.146769,0.145795,0.146280,0.145795,0.145975,0.145795,0.143229,0.145795,0.117844,0.145795,0.026370,0.145748,0.000000,0.000000
0.189058,0.184558,0.186800,0.184558,0.185640,0.184558,0.185091,0.184558,0.184847,0.184558,0.183627,0.184558,0.167211,0.184558,0.081901,0.184558,0.000000,0.000000
0.144023,0.140727,0.142375,0.140727,0.141521,0.140727,0.141094,0.140678,0.140849,0.140678,0.138286,0.140678,0.116318,0.140678,0.053709,0.097131,0.019658,0.013285
0.160865,0.156909,0.158851,0.156909,0.157875,0.156909,0.157387,0.156909,0.156715,0.156909,0.149088,0.156909,0.105334,0.156909,0.000000,0.000000,0.000000,0.000000
0.126692,0.122982,0.124800,0.122982,0.123885,0.122982,0.123397,0.122982,0.121505,0.122934,0.103137,0.122934,0.018865,0.122934,0.000000,0.000000,0.000000,0.000000
0.137493,0.132776,0.135113,0.132776,0.133893,0.132728,0.133283,0.132680,0.132916,0.132680,0.131086,0.132680,0.120773,0.132680,0.079643,0.080709,0.000000,0.000000
0.164343,0.160139,0.162207,0.160139,0.161170,0.160139,0.160438,0.160139,0.156410,0.160139,0.140239,0.160139,0.103992,0.088397,0.006050,0.078285,0.000000,0.000000
0.154885,0.151916,0.152566,0.150120,0.150125,0.150120,0.145792,0.150120,0.140788,0.132259,0.135235,0.132212,0.114732,0.132212,0.030520,0.064169,0.000000,0.000000
0.160926,0.156459,0.158668,0.156413,0.157509,0.156413,0.156959,0.156413,0.155007,0.156413,0.140910,0.156413,0.093801,0.156368,0.000000,0.000000,0.000000,0.000000
0.150186,0.146569,0.148355,0.146569,0.147440,0.146569,0.145609,0.146569,0.136822,0.146569,0.116501,0.091484,0.070673,0.091484,0.000000,0.000000,0.000000,0.000000
0.147928,0.144424,0.146158,0.144424,0.145304,0.144424,0.144816,0.144424,0.142131,0.144424,0.123397,0.144424,0.061642,0.048956,0.000000,0.000000,0.000000,0.000000
0.166723,0.162575,0.164587,0.162528,0.163550,0.162528,0.163062,0.162528,0.162207,0.162528,0.152627,0.162528,0.111558,0.162482,0.013739,0.037917,0.000000,0.000000
0.157509,0.153769,0.155617,0.153769,0.154152,0.153769,0.150369,0.153769,0.143473,0.128403,0.131086,0.128403,0.083244,0.128403,0.000000,0.000000,0.000000,0.000000
0.148172,0.144200,0.146158,0.144152,0.145182,0.144152,0.144633,0.144152,0.143656,0.144152,0.132672,0.144152,0.080254,0.144152,0.000000,0.000000,0.000000,0.000000
0.154885,0.150614,0.152688,0.150567,0.151650,0.150567,0.150979,0.150567,0.148904,0.150567,0.142375,0.150567,0.124373,0.126150,0.088065,0.056585,0.027896,0.039264
0.149698,0.146487,0.148111,0.146487,0.147257,0.146487,0.146708,0.146487,0.144328,0.146487,0.137188,0.146444,0.116135,0.117460,0.037477,0.117460,0.000000,0.000000
0.131879,0.128646,0.130231,0.128646,0.129438,0.128646,0.129011,0.128646,0.127180,0.128646,0.113511,0.128646,0.053098,0.079450,0.000000,0.000000,0.000000,0.000000
0.151223,0.147466,0.149332,0.147466,0.148416,0.147466,0.147867,0.147466,0.144877,0.147466,0.118698,0.147466,0.008247,0.056690,0.000000,0.000000,0.000000,0.000000
0.148843,0.145190,0.146952,0.145141,0.146036,0.145092,0.145365,0.145092,0.140605,0.145092,0.107775,0.145092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.130598,0.127410,0.129011,0.127410,0.128157,0.127410,0.127058,0.127410,0.123946,0.127410,0.114732,0.117745,0.088797,0.107492,0.028689,0.040475,0.000000,0.000000
0.148721,0.144672,0.146647,0.144672,0.145548,0.144672,0.143351,0.144672,0.136578,0.144672,0.123641,0.111137,0.083732,0.111137,0.000000,0.000000,0.000000,0.000000
0.138409,0.135072,0.136700,0.135072,0.135907,0.135072,0.135479,0.135072,0.135174,0.135072,0.130903,0.135072,0.103137,0.135072,0.035707,0.016622,0.000000,0.000000
0.171239,0.167244,0.169225,0.167244,0.168249,0.167244,0.167455,0.167244,0.164526,0.167244,0.154336,0.167197,0.115220,0.136521,0.000000,0.000000,0.000000,0.000000
0.152871,0.149354,0.151101,0.149354,0.150186,0.149354,0.149576,0.149354,0.147745,0.149354,0.142619,0.149354,0.120712,0.133296,0.029544,0.133296,0.000000,0.000000
0.140727,0.137037,0.138836,0.136992,0.137920,0.136992,0.137127,0.136948,0.132977,0.136948,0.119369,0.136948,0.090689,0.088169,0.055478,0.032294,0.013250,0.032294
0.120651,0.118007,0.119308,0.118007,0.118637,0.118007,0.118271,0.118007,0.115952,0.118007,0.099537,0.118007,0.042053,0.030763,0.000000,0.000000,0.000000,0.000000
0.151773,0.148797,0.150247,0.148797,0.149515,0.148797,0.149149,0.148749,0.147928,0.148749,0.134381,0.148749,0.066829,0.136409,0.000000,0.000000,0.000000,0.000000
0.150186,0.146457,0.148294,0.146457,0.147318,0.146457,0.145609,0.146457,0.132916,0.146410,0.074456,0.103982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150064,0.146674,0.148355,0.146674,0.147501,0.146674,0.147074,0.146674,0.146708,0.146674,0.144084,0.146674,0.130109,0.146674,0.086600,0.081902,0.000000,0.000000
0.155739,0.152468,0.154091,0.152468,0.153298,0.152468,0.152871,0.152468,0.152566,0.152468,0.148477,0.152468,0.114854,0.152468,0.000000,0.000000,0.000000,0.000000
0.133893,0.129736,0.131757,0.129736,0.130781,0.129736,0.130231,0.129736,0.129926,0.129736,0.126448,0.129736,0.101612,0.129736,0.031130,0.012872,0.000000,0.000000
0.117966,0.114917,0.116379,0.114917,0.115647,0.114868,0.115159,0.114868,0.111741,0.114868,0.093435,0.114868,0.041504,0.036558,0.000000,0.000000,0.000000,0.000000
