random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.018743,6192,0.010077,4096,0.004402,896,0.002877,880,0.002205,880,0.000558,880,0.000000,0,0.000000,0,0.000000,0,421040
0.021305,7152,0.012091,4784,0.004768,832,0.002877,832,0.002083,832,0.000558,832,0.000000,0,0.000000,0,0.000000,0,422160
0.020207,6816,0.011359,4544,0.004890,944,0.003121,944,0.002449,944,0.001107,944,0.000000,0,0.000000,0,0.000000,0,421888
0.021794,7440,0.013067,5072,0.005928,1136,0.003670,1088,0.002938,1088,0.001778,1088,0.000000,0,0.000000,0,0.000000,0,425248
0.020756,6976,0.012274,4832,0.005684,1136,0.003731,1104,0.002999,1104,0.001961,1104,0.000000,0,0.000000,0,0.000000,0,421456
0.021428,7232,0.012640,5040,0.005623,1104,0.003548,1040,0.002816,1040,0.001839,1040,0.000000,0,0.000000,0,0.000000,0,422176
0.026859,9120,0.018010,6080,0.010504,2224,0.006904,1984,0.005317,1872,0.003731,1680,0.000131,448,0.000000,0,0.000000,0,418288
0.044982,15488,0.018376,7168,0.006538,1296,0.004524,1296,0.003487,1296,0.001717,656,0.000000,0,0.000000,0,0.000000,0,376352
0.046752,15824,0.019353,8928,0.006172,1152,0.004036,1152,0.002816,1152,0.000985,368,0.000000,0,0.000000,0,0.000000,0,374416
0.041748,14016,0.014044,5776,0.004402,864,0.002754,864,0.001534,320,0.000000,0,0.000000,0,0.000000,0,0.000000,0,374560
0.050963,17888,0.027408,10496,0.012579,2480,0.008735,2432,0.006965,2432,0.005745,1664,0.004036,1664,0.000000,0,0.000000,0,370608
0.038209,16960,0.029483,12144,0.019353,7984,0.008430,1504,0.003060,864,0.000000,0,0.000000,0,0.000000,0,0.000000,0,468288
0.084891,32544,0.064815,17808,0.046447,14992,0.028933,8096,0.009406,944,0.000000,32,0.000000,0,0.000000,0,0.000000,0,380080
0.092031,43456,0.050719,12368,0.028262,9584,0.005317,944,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,416880
0.049620,11984,0.027896,7456,0.017339,5488,0.010382,3056,0.004585,1152,0.000000,0,0.000000,0,0.000000,0,0.000000,0,411808
0.019475,4656,0.011298,3824,0.002388,160,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,425616
0.017827,5184,0.010993,3936,0.003304,400,0.000619,128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,435664
0.021183,6048,0.014288,5152,0.008796,1904,0.005134,1856,0.002388,848,0.000131,240,0.000000,0,0.000000,0,0.000000,0,421152
0.036317,10848,0.028079,9840,0.020085,8336,0.012701,2976,0.007758,2880,0.000000,0,0.000000,0,0.000000,0,0.000000,0,407312
0.023929,4976,0.018010,4848,0.013983,4512,0.009528,2912,0.004829,1632,0.001656,304,0.000000,0,0.000000,0,0.000000,0,340848
0.064144,30320,0.032473,6960,0.019292,5232,0.013617,4080,0.009833,3120,0.005134,2064,0.000000,0,0.000000,0,0.000000,0,403888
0.062435,20240,0.040894,12336,0.021489,5728,0.006660,1216,0.002083,416,0.000619,288,0.000000,0,0.000000,0,0.000000,0,383488
0.111864,36016,0.067073,24576,0.009833,800,0.000253,48,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,330256
0.099598,34144,0.079704,26432,0.065303,23952,0.054807,20368,0.047667,17712,0.042541,16816,0.036683,15760,0.029788,9072,0.024235,8784,427472
0.998710,121904,0.998710,121904,0.998710,121904,0.998710,121904,0.998710,121904,0.998710,121904,0.998527,121904,0.995659,121904,0.985712,121904,122064
1.000000,117552,1.000000,117552,1.000000,117552,1.000000,117552,1.000000,117552,1.000000,117536,0.997490,117536,0.945254,117536,0.625555,117536,117552
0.173863,51568,0.157631,46256,0.140849,37344,0.127974,35680,0.115159,34688,0.089346,33952,0.058896,10656,0.039978,10512,0.022282,7104,309568
0.046264,10384,0.039856,10128,0.035280,9616,0.030337,8288,0.025943,5920,0.023197,5872,0.021611,5824,0.019231,5808,0.010749,4800,286752
0.010932,4048,0.009284,3808,0.005684,2608,0.000314,32,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,398864
0.017705,6288,0.013556,4464,0.010443,3488,0.007331,2928,0.002938,1088,0.000000,0,0.000000,0,0.000000,0,0.000000,0,404624
0.016180,5328,0.010932,3360,0.007209,1680,0.004890,1520,0.001656,336,0.000000,0,0.000000,0,0.000000,0,0.000000,0,356928
0.013311,4496,0.008308,1840,0.005195,1152,0.003182,1120,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,353488
0.013556,4400,0.006538,1696,0.002327,416,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,351648
0.015264,4480,0.008491,2224,0.003914,832,0.000924,272,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,377904
0.015996,5008,0.009650,2480,0.005195,1008,0.003243,864,0.000680,832,0.000000,0,0.000000,0,0.000000,0,0.000000,0,353552
0.012579,4112,0.005073,800,0.001717,432,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,353312
0.015020,4256,0.007331,1440,0.003304,688,0.001595,512,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,372752
0.013556,4720,0.005684,736,0.002449,496,0.001290,480,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,353248
0.015081,4960,0.009162,2432,0.005073,1024,0.003548,976,0.002022,896,0.000000,0,0.000000,0,0.000000,0,0.000000,0,356608
0.012884,4000,0.007331,1968,0.004097,896,0.002632,752,0.001046,624,0.000000,0,0.000000,0,0.000000,0,0.000000,0,366704
0.015203,4864,0.009650,2048,0.006050,1456,0.004280,1104,0.002938,1088,0.000000,0,0.000000,0,0.000000,0,0.000000,0,356208
0.012152,4112,0.007453,1712,0.004280,848,0.002877,752,0.001473,736,0.000000,0,0.000000,0,0.000000,0,0.000000,0,353936
0.013495,4416,0.007941,1952,0.003121,448,0.001412,352,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,352064
0.012884,4240,0.007758,2144,0.004158,816,0.002754,736,0.001717,704,0.000000,0,0.000000,0,0.000000,0,0.000000,0,355440
0.013128,4352,0.007880,2176,0.004280,912,0.002816,736,0.001473,736,0.000000,0,0.000000,0,0.000000,0,0.000000,0,355696
0.021672,7120,0.015020,5200,0.009528,2304,0.006538,2000,0.004890,1632,0.002632,1408,0.000000,0,0.000000,0,0.000000,0,412608
0.016424,5024,0.010993,3520,0.006660,1648,0.003853,928,0.002388,784,0.000000,0,0.000000,0,0.000000,0,0.000000,0,398896
0.021122,7120,0.012518,4880,0.005623,1216,0.003426,976,0.002449,976,0.000436,960,0.000000,0,0.000000,0,0.000000,0,421728
0.022587,7328,0.014410,5616,0.007514,1552,0.004890,1392,0.003853,1392,0.002510,1392,0.000000,0,0.000000,0,0.000000,0,418688
0.019902,6448,0.012762,4688,0.006965,1408,0.004158,1408,0.002571,720,0.000436,720,0.000000,0,0.000000,0,0.000000,0,408752
0.019475,6480,0.010687,4192,0.004341,800,0.002693,784,0.001900,784,0.000131,688,0.000000,0,0.000000,0,0.000000,0,422160
0.019902,6768,0.010504,4144,0.004280,832,0.002754,832,0.002022,832,0.000497,832,0.000000,0,0.000000,0,0.000000,0,422048
0.018865,6320,0.010565,4384,0.004585,896,0.002999,896,0.002327,896,0.000924,896,0.000000,0,0.000000,0,0.000000,0,421728
0.022343,7360,0.013495,5440,0.005745,1040,0.003426,992,0.002693,992,0.001473,992,0.000000,0,0.000000,0,0.000000,0,422624
0.018743,5856,0.012396,4176,0.007697,1760,0.005378,1632,0.004036,1632,0.002693,1056,0.000000,0,0.000000,0,0.000000,0,407344
0.018865,6224,0.010382,4240,0.004646,928,0.003060,928,0.002449,928,0.001412,928,0.000000,0,0.000000,0,0.000000,0,422144
0.020939,7072,0.012152,4720,0.005684,1136,0.003731,1136,0.003121,1136,0.002266,1136,0.000000,0,0.000000,0,0.000000,0,422240
0.020451,6832,0.011481,4576,0.004768,912,0.002999,896,0.002266,896,0.001107,704,0.000000,0,0.000000,0,0.000000,0,421936
0.043884,15040,0.023807,8064,0.011786,2432,0.008247,2368,0.006660,2304,0.004829,1936,0.001351,640,0.000000,0,0.000000,0,382064
0.047179,16080,0.020085,9056,0.006538,1216,0.004280,1200,0.002999,1200,0.000863,272,0.000000,0,0.000000,0,0.000000,0,374000
0.048522,16336,0.020573,9760,0.006111,1088,0.003792,1088,0.002327,944,0.000619,368,0.000000,0,0.000000,0,0.000000,0,375536
0.046630,15728,0.020085,8288,0.007087,1360,0.004341,1360,0.002510,608,0.000863,416,0.000000,0,0.000000,0,0.000000,0,376160
