random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.012335,4528,0.007636,4048,0.001595,272,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,528800
0.010443,3936,0.005928,3584,0.000314,64,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,530352
0.013189,4992,0.008674,4560,0.002510,464,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,528160
0.009101,3472,0.005073,3136,0.000436,80,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,538720
0.011725,4384,0.007270,3936,0.001351,224,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,530864
0.011908,4432,0.006660,4016,0.000802,112,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,529728
0.011664,4448,0.006904,4112,0.000802,128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,532064
0.012091,4576,0.007392,3920,0.001900,384,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,531536
0.013006,4848,0.007514,4144,0.001656,288,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,528112
0.011176,4160,0.005989,3456,0.000131,32,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,530512
0.009284,3472,0.004890,3088,0.000314,32,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,538192
0.011786,4432,0.007270,4000,0.001473,240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,530928
0.011969,4416,0.006721,3952,0.001473,336,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,528656
0.011908,4480,0.007331,4032,0.001534,240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,531904
0.010687,4096,0.006111,3632,0.001229,240,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,537232
0.011359,4384,0.005989,3792,0.000558,64,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,534944
0.009406,3824,0.005317,3424,0.000253,32,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,538672
0.011237,4240,0.006477,3792,0.001046,304,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,536336
0.010077,3856,0.005378,3392,0.001107,208,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,536736
0.010077,3840,0.005256,3360,0.001046,224,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,538896
0.009223,3600,0.004829,3152,0.000863,192,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,541312
0.008308,3232,0.004585,2880,0.001778,480,0.000314,32,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,535040
0.010687,3904,0.006172,3376,0.001839,432,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,534736
0.012213,4416,0.007392,4096,0.001229,256,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,531504
