random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.027042,10320,0.024723,10032,0.019231,9488,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,425392
0.032717,13696,0.030154,13216,0.025516,12720,0.010138,12368,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,466160
0.028994,11568,0.026798,11040,0.022770,10528,0.011725,9952,0.001839,640,0.000000,0,0.000000,0,0.000000,0,0.000000,0,435840
0.033266,14192,0.030886,13680,0.027225,13104,0.014044,12912,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,471072
0.032839,13296,0.030215,12688,0.026248,12224,0.012579,11936,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,449248
0.031862,13184,0.029666,12752,0.025821,12112,0.011908,11904,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,450720
0.032290,13744,0.030093,13216,0.026065,12880,0.010626,12576,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,465584
0.032290,13296,0.030032,12800,0.026065,12256,0.012213,11936,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,448944
0.034670,15072,0.032412,14576,0.028933,14096,0.016241,13792,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,476512
0.027835,11184,0.025821,10800,0.021550,10400,0.006721,9920,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,439792
0.036927,16064,0.034486,15392,0.030825,14848,0.017034,14496,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,473536
0.032717,13232,0.030398,12800,0.026187,12352,0.011176,11984,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,444336
