random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.282484,38160,0.280165,38160,0.278883,38160,0.278273,38160,0.277907,38160,0.277724,38160,0.277663,38160,0.277602,38160,0.277602,38160,137472
0.170812,43360,0.170018,43360,0.169591,43360,0.169347,43360,0.169164,43360,0.167761,43360,0.159889,43360,0.144938,33344,0.130537,29472,256432
0.134625,44480,0.134198,44480,0.134015,44480,0.133893,44480,0.133771,44480,0.132855,44480,0.125167,44480,0.105273,38528,0.075555,22032,332560
0.139202,46240,0.138775,46240,0.138531,46240,0.138409,46240,0.138347,46240,0.138225,46240,0.135418,46240,0.119858,46240,0.071222,23312,334368
0.080986,29360,0.080132,29360,0.079704,29360,0.079460,29360,0.079277,29360,0.078850,29360,0.073724,29360,0.050658,29360,0.004768,3632,370816
0.059018,22208,0.058285,22208,0.057919,22208,0.057675,22208,0.057553,22208,0.057187,22208,0.052976,22208,0.036683,22208,0.000619,3776,386496
0.056272,21056,0.055539,21056,0.055112,21056,0.054868,21056,0.054746,21056,0.054563,21056,0.051939,21056,0.039307,21056,0.004646,4320,385360
0.057614,21696,0.056943,21696,0.056516,21696,0.056333,21696,0.056272,21696,0.056150,21696,0.054624,21696,0.044616,21696,0.011115,3984,386464
0.059140,22288,0.058346,22288,0.057919,22288,0.057736,22288,0.057614,22288,0.057553,22288,0.056699,22288,0.049620,22288,0.020756,13712,387712
0.056760,21232,0.055967,21232,0.055539,21232,0.055295,21232,0.055173,21232,0.055112,21232,0.054563,21232,0.048705,21232,0.022343,15632,385424
0.057431,21648,0.056699,21648,0.056394,21648,0.056150,21648,0.056089,21648,0.056028,21648,0.055661,21648,0.051085,21648,0.027652,21648,386704
0.064937,22864,0.064022,22864,0.063533,22864,0.063228,22864,0.063106,22864,0.063045,22864,0.062862,22864,0.060360,22864,0.043457,22864,363120
0.306405,38416,0.304208,38416,0.303048,38416,0.302499,38416,0.302194,38416,0.302011,38416,0.301950,38416,0.301889,38416,0.301828,38416,127264
0.203459,40848,0.202544,40848,0.202055,40848,0.201811,40848,0.201689,40848,0.200835,40848,0.195831,40848,0.185579,36928,0.173497,32688,202656
0.135785,44816,0.135357,44816,0.135113,44816,0.134991,44816,0.134869,44816,0.133405,44816,0.124129,44816,0.103137,32304,0.064754,23120,332368
0.134381,44320,0.133954,44320,0.133710,44320,0.133588,44320,0.133527,44320,0.133283,44320,0.129377,44320,0.110948,44320,0.053587,22096,332032
0.094228,33920,0.093435,33648,0.093007,33648,0.092763,33648,0.092641,33648,0.092275,33648,0.087820,33648,0.063594,33648,0.000000,0,363760
0.058713,22720,0.057858,22720,0.057431,22720,0.057187,22720,0.057004,22720,0.056516,22720,0.051817,22720,0.033388,20240,0.000000,0,399200
0.058346,22640,0.057492,22640,0.057065,22640,0.056882,22640,0.056760,22640,0.056516,22640,0.053892,22640,0.039978,22640,0.000000,0,399856
0.054380,21056,0.053648,21056,0.053282,21056,0.053037,21056,0.052976,21056,0.052854,21056,0.051024,21056,0.040040,21056,0.001961,4368,398368
0.057858,22464,0.057004,22464,0.056516,22464,0.056333,22464,0.056211,22464,0.056089,22464,0.055173,22464,0.047423,22464,0.015264,13760,400720
0.059384,23104,0.058529,23104,0.058041,23104,0.057797,23104,0.057675,23104,0.057614,23104,0.057065,23104,0.051573,23104,0.025333,21808,401616
0.057187,22224,0.056394,22224,0.055967,22224,0.055722,22224,0.055600,22224,0.055539,22224,0.055234,22224,0.050780,22224,0.027713,22224,400384
0.058041,22592,0.057248,22592,0.056821,22592,0.056638,22592,0.056516,22592,0.056455,22592,0.056211,22592,0.052915,22592,0.033632,22592,400592
0.218288,36736,0.216335,36736,0.215236,36624,0.214626,36624,0.214321,36624,0.214199,36624,0.214077,36624,0.214077,36624,0.213650,36624,171136
0.244588,40496,0.243063,40496,0.242209,40496,0.241781,40496,0.241537,40496,0.241232,40496,0.239463,40496,0.235191,40496,0.230004,37344,167808
0.139995,46656,0.139568,46656,0.139385,46656,0.139263,46656,0.139141,46656,0.137249,46656,0.126265,46656,0.103625,28464,0.068476,23088,335392
0.135724,44816,0.135357,44816,0.135113,44816,0.134991,44816,0.134930,44816,0.134625,44816,0.130109,44816,0.111741,44816,0.061459,22608,332272
0.115403,40288,0.114610,40032,0.114182,40032,0.113938,40032,0.113755,40032,0.113572,40032,0.110399,40032,0.089834,40032,0.018926,11440,352272
0.053709,21344,0.052976,21344,0.052610,21344,0.052427,21344,0.052305,21344,0.051512,21344,0.045532,21344,0.025272,13456,0.000000,0,408896
0.049681,19520,0.049071,19520,0.048705,19520,0.048583,19520,0.048461,19520,0.048095,19520,0.044311,19520,0.028994,18368,0.000000,0,403440
0.054990,21808,0.054258,21808,0.053892,21808,0.053709,21808,0.053587,21808,0.053465,21808,0.051512,21808,0.039734,21808,0.000000,0,407728
0.053892,21280,0.053159,21280,0.052793,21280,0.052610,21280,0.052488,21280,0.052427,21280,0.051268,21280,0.042664,21280,0.009284,4656,406112
0.056638,22304,0.055722,22304,0.055234,22304,0.054990,22304,0.054868,22304,0.054807,22304,0.054136,22304,0.047728,22304,0.019109,13776,407568
0.056089,22176,0.055295,22176,0.054868,22176,0.054624,22176,0.054502,22176,0.054441,22176,0.054075,22176,0.049315,22176,0.025455,22176,407712
0.054075,21296,0.053343,21296,0.052915,21296,0.052732,21296,0.052610,21296,0.052549,21296,0.052244,21296,0.048339,21296,0.027469,21296,405792
0.147257,32432,0.145792,32256,0.144938,32256,0.144511,32256,0.144267,32256,0.144145,32256,0.144084,32256,0.144023,32256,0.141887,32256,223984
0.332584,39648,0.329899,39648,0.328495,39648,0.327702,39648,0.327336,39648,0.327152,39648,0.327030,39648,0.327030,39648,0.326969,39648,121264
0.147867,46512,0.147379,46512,0.147074,46512,0.146891,46512,0.146708,46512,0.144023,46512,0.131757,46512,0.111131,25456,0.083366,25456,316992
0.135601,44896,0.135235,44896,0.134991,44896,0.134869,44896,0.134808,44896,0.134198,44896,0.127729,44896,0.106310,44896,0.056516,21136,333184
0.133161,43968,0.132611,43952,0.132306,43952,0.132184,43952,0.132062,43952,0.131940,43952,0.129255,43952,0.110643,43952,0.038575,21056,332976
0.061276,21920,0.060482,21920,0.060055,21920,0.059811,21920,0.059689,21920,0.058957,21920,0.053098,21920,0.033144,15904,0.000000,0,367984
0.062191,22064,0.061459,22064,0.061031,22064,0.060787,22064,0.060665,22064,0.060421,22064,0.057187,22064,0.041931,22064,0.000000,0,364208
0.059750,21072,0.058957,21072,0.058529,21072,0.058346,21072,0.058224,21072,0.058041,21072,0.055783,21072,0.042725,21072,0.000000,2256,362704
0.060055,21120,0.059262,21120,0.058774,21120,0.058590,21120,0.058468,21120,0.058346,21120,0.057065,21120,0.047667,21120,0.012091,4320,362048
0.063167,22368,0.062374,22368,0.061886,22368,0.061642,22368,0.061520,22368,0.061459,22368,0.060726,22368,0.054136,22368,0.024662,13680,364400
0.061459,21744,0.060726,21744,0.060238,21744,0.060055,21744,0.059933,21744,0.059872,21744,0.059384,21744,0.054014,21744,0.028079,21664,363568
0.061459,21728,0.060726,21728,0.060299,21728,0.060116,21728,0.059994,21728,0.059933,21728,0.059628,21728,0.055539,21728,0.033266,21728,362832
0.117661,30928,0.116440,30624,0.115769,30624,0.115403,30624,0.115220,30624,0.115098,30624,0.115037,30624,0.114732,30624,0.108690,30624,266256
0.288098,39344,0.286267,39344,0.285352,39344,0.284864,39344,0.284620,39344,0.284497,39344,0.284436,39344,0.284375,39344,0.284192,39344,138368
