random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192,total_accesses
0.036622,12960,0.028506,9952,0.022892,8512,0.018193,7088,0.013617,5008,0.008857,3344,0.002510,976,0.000000,0,0.000000,0,436704
0.038514,13760,0.031130,11680,0.025577,9872,0.020512,7824,0.015264,5824,0.009284,3424,0.001290,576,0.000000,0,0.000000,0,443280
0.037721,13328,0.029849,10912,0.023624,8848,0.017949,6768,0.012396,4224,0.007026,2448,0.000741,416,0.000000,0,0.000000,0,432048
0.039856,14304,0.031984,11936,0.025943,10016,0.020695,7840,0.015569,6016,0.010077,3664,0.003060,1280,0.000000,0,0.000000,0,441312
0.036256,12272,0.027530,9600,0.020939,7408,0.015447,5440,0.010687,3664,0.006111,1824,0.000619,432,0.000000,0,0.000000,0,424224
0.038392,13184,0.030215,10576,0.024174,8736,0.018620,7120,0.012823,4480,0.006477,2176,0.000000,0,0.000000,0,0.000000,0,422880
0.036561,13088,0.028994,10992,0.023136,8880,0.018071,7040,0.013128,4848,0.007758,2864,0.000924,400,0.000000,0,0.000000,0,447424
0.039185,13888,0.030886,11312,0.024540,9248,0.018926,7200,0.013617,4880,0.008674,3088,0.002877,1104,0.000000,0,0.000000,0,438336
0.037782,13264,0.029910,10816,0.023990,8992,0.019048,7120,0.014532,5376,0.009650,3648,0.002571,928,0.000000,0,0.000000,0,436032
0.037721,12800,0.028994,10160,0.022953,8368,0.018132,6800,0.013372,4992,0.008430,3072,0.002571,896,0.000000,0,0.000000,0,433104
0.039978,13264,0.031374,10848,0.024723,8480,0.019109,6736,0.014105,5008,0.009223,3024,0.003060,800,0.000000,0,0.000000,0,411680
0.039002,13904,0.031191,11200,0.025455,9680,0.020268,7760,0.015020,5440,0.009589,3456,0.003365,1104,0.000000,0,0.000000,0,434880
0.038880,13936,0.030642,11568,0.024113,8832,0.018743,6880,0.014166,5232,0.009711,3472,0.004646,1840,0.000000,0,0.000000,0,439200
0.041992,15296,0.033876,12832,0.027713,10448,0.022648,8784,0.018010,6864,0.013372,5184,0.007880,3024,0.000000,0,0.000000,0,440928
0.039734,14592,0.031862,12032,0.025882,10016,0.020756,8000,0.015752,6144,0.010810,3936,0.005806,2224,0.000000,0,0.000000,0,448720
0.039368,14272,0.031618,12192,0.025455,9776,0.019963,7472,0.014837,5536,0.009955,3536,0.004402,1776,0.000000,0,0.000000,0,444960
0.049742,17296,0.040894,14640,0.033876,12000,0.027774,10000,0.022038,7856,0.015996,5520,0.009589,3216,0.001168,624,0.000000,0,408848
0.039978,14128,0.031435,11264,0.024845,9328,0.018743,7072,0.012518,4272,0.006721,2176,0.001168,480,0.000000,0,0.000000,0,432560
0.040772,14416,0.032534,11648,0.026187,9776,0.020573,7536,0.015081,5616,0.009345,3120,0.004036,1280,0.000000,0,0.000000,0,431712
0.033144,11296,0.025028,8720,0.019170,6688,0.014532,5216,0.010138,3616,0.005684,1792,0.000924,400,0.000000,0,0.000000,0,430496
0.030886,10288,0.023685,8224,0.018376,6480,0.014105,5056,0.010260,3648,0.006355,2016,0.002205,832,0.000000,0,0.000000,0,423104
0.033937,12320,0.026431,9840,0.021305,8208,0.017400,7008,0.013800,5456,0.009650,4048,0.004524,1568,0.000000,0,0.000000,0,457856
0.033266,11696,0.025882,9536,0.020024,7072,0.015325,5344,0.011481,4144,0.007758,2864,0.003548,1232,0.000000,0,0.000000,0,429040
0.037538,13616,0.028994,10624,0.022526,8288,0.017400,6544,0.012884,4880,0.008430,3136,0.003121,1152,0.000000,0,0.000000,0,445536
0.031801,11712,0.024540,8880,0.019170,7328,0.014654,5712,0.010382,3792,0.006233,2176,0.001778,624,0.000000,0,0.000000,0,453824
0.033998,12528,0.026492,10208,0.020817,8000,0.016241,6240,0.011908,4768,0.007148,2720,0.002022,800,0.000000,0,0.000000,0,457984
0.042419,13824,0.033998,10640,0.027591,8816,0.022587,7392,0.018254,6128,0.013800,4496,0.008186,2720,0.000619,256,0.000000,0,378992
0.062130,19408,0.051451,15584,0.042358,12768,0.034670,10560,0.027713,8576,0.021305,6192,0.014837,4640,0.006477,1968,0.000000,0,352480
0.039368,14560,0.031496,12416,0.025455,10096,0.020146,8048,0.014959,5840,0.010138,3584,0.005134,2016,0.000000,0,0.000000,0,458240
0.039490,14288,0.031984,12272,0.026370,10192,0.021550,8368,0.016668,6720,0.011237,3888,0.005806,2096,0.000000,0,0.000000,0,447008
0.053404,17904,0.043640,14624,0.036012,12256,0.029361,10288,0.023197,7712,0.016729,6016,0.010016,2800,0.002449,928,0.000000,0,392768
0.040284,14448,0.032473,12288,0.026431,10160,0.020939,8064,0.015386,5632,0.010016,3744,0.004951,1584,0.000000,0,0.000000,0,443392
0.035158,13072,0.027530,10672,0.021977,8288,0.017400,6928,0.013067,5120,0.008735,3392,0.004402,1632,0.000000,0,0.000000,0,456928
0.036073,13280,0.028567,10784,0.022770,8752,0.017949,6720,0.013311,5184,0.008186,2944,0.002754,992,0.000000,0,0.000000,0,448016
0.043518,14992,0.035524,12784,0.029238,10528,0.023807,8496,0.018804,6656,0.013495,4960,0.007392,2304,0.000000,0,0.000000,0,414384
0.057736,18624,0.048339,15936,0.040284,13120,0.033022,10976,0.026431,8480,0.020268,6496,0.013372,4688,0.005134,1584,0.000000,0,375024
0.056272,19024,0.047362,16560,0.039490,13600,0.031618,11120,0.023685,7584,0.016546,5200,0.009955,3104,0.003060,944,0.000000,0,389696
0.042602,12736,0.032534,9840,0.025516,8128,0.020085,6512,0.015020,4976,0.009345,2912,0.003670,944,0.000000,0,0.000000,0,380512
0.042175,13808,0.034120,11536,0.028323,9840,0.023319,8272,0.017888,6592,0.011603,3744,0.005501,1504,0.000000,0,0.000000,0,401104
0.029605,9536,0.021550,7600,0.015813,5456,0.011542,3920,0.008002,3008,0.004890,1648,0.001534,640,0.000000,0,0.000000,0,436768
0.041199,14288,0.033327,11872,0.027652,9952,0.023319,8656,0.019109,7632,0.013128,4848,0.005867,1536,0.000000,0,0.000000,0,424304
0.042969,12512,0.032961,9760,0.025943,8016,0.019475,6688,0.013311,3648,0.007941,2304,0.002938,736,0.000000,0,0.000000,0,368272
0.037843,12880,0.029483,10352,0.023075,8208,0.017400,6176,0.012335,4224,0.007453,2784,0.002816,784,0.000000,0,0.000000,0,424048
0.021977,5440,0.016790,4544,0.013067,3504,0.010321,2816,0.007575,2352,0.004341,1056,0.000924,256,0.000000,0,0.000000,0,323616
0.042725,13728,0.034914,11152,0.029299,9920,0.024601,8576,0.019841,6896,0.014532,4896,0.008552,2592,0.002083,624,0.000000,0,384768
0.036500,11264,0.029666,9184,0.024906,8272,0.020817,7056,0.016119,5440,0.010382,2992,0.004402,1152,0.000000,0,0.000000,0,374064
0.058163,19520,0.049071,16736,0.041443,14032,0.034608,11936,0.028567,9552,0.023136,7856,0.016973,6048,0.008491,2608,0.000000,0,387584
0.036378,12928,0.029116,10992,0.023441,9248,0.018071,7104,0.013067,4576,0.008918,3216,0.004646,1776,0.000000,0,0.000000,0,448848
0.052305,17168,0.043884,14848,0.036866,12368,0.030642,10368,0.024845,8496,0.018681,6560,0.012213,3888,0.004646,1424,0.000000,0,383440
0.045898,15936,0.037355,13008,0.030764,11024,0.024906,9136,0.019414,6576,0.013922,5312,0.007941,2656,0.000985,336,0.000000,0,411088
0.049925,16784,0.041321,14000,0.034670,11936,0.028994,10288,0.023258,8224,0.016851,5520,0.009833,2976,0.001656,400,0.000000,0,395888
0.047606,15344,0.039185,12960,0.032595,10848,0.027103,9104,0.022099,7440,0.016851,5776,0.011176,3424,0.004524,1376,0.000000,0,384336
0.036988,14432,0.030215,12208,0.025028,10384,0.020268,8496,0.015325,6112,0.010260,4256,0.005501,1856,0.000375,256,0.000000,0,470752
0.026431,9440,0.019963,7376,0.015935,6368,0.012945,5328,0.009955,4288,0.006782,2592,0.003487,1280,0.000000,0,0.000000,0,469376
0.017522,6016,0.011725,4400,0.008186,3136,0.005745,2384,0.003670,1424,0.001839,752,0.000000,0,0.000000,0,0.000000,0,499760
0.019414,6928,0.013861,5264,0.010382,4272,0.007514,3120,0.004829,1920,0.002388,800,0.000000,0,0.000000,0,0.000000,0,497456
0.019353,6752,0.013617,5024,0.010260,4112,0.007697,3104,0.005378,2208,0.002999,1120,0.000497,256,0.000000,0,0.000000,0,491984
0.020268,7072,0.014105,5104,0.010199,4000,0.007270,2864,0.004463,1760,0.001717,464,0.000000,0,0.000000,0,0.000000,0,481904
0.014532,5312,0.010016,3888,0.007270,2864,0.005440,2320,0.003731,1728,0.001839,640,0.000000,0,0.000000,0,0.000000,0,516048
0.011420,4064,0.006355,2288,0.003365,1120,0.001839,608,0.000863,320,0.000000,0,0.000000,0,0.000000,0,0.000000,0,513040
0.013739,5104,0.007819,2816,0.003731,1312,0.001473,384,0.000436,160,0.000000,0,0.000000,0,0.000000,0,0.000000,0,503744
0.013800,5104,0.008369,2928,0.004585,1632,0.001961,576,0.000619,176,0.000000,0,0.000000,0,0.000000,0,0.000000,0,508304
0.015081,5840,0.009833,3808,0.006050,2256,0.003426,1216,0.001412,448,0.000000,0,0.000000,0,0.000000,0,0.000000,0,514528
0.017583,6704,0.011908,4912,0.007148,2512,0.003548,1216,0.001107,400,0.000000,0,0.000000,0,0.000000,0,0.000000,0,503488
0.016729,6608,0.011054,4080,0.006904,2752,0.003670,1440,0.001107,304,0.000000,0,0.000000,0,0.000000,0,0.000000,0,507808
0.018193,7280,0.011725,4256,0.006660,2544,0.002877,896,0.000436,96,0.000000,0,0.000000,0,0.000000,0,0.000000,0,503632
0.019597,7728,0.013250,5488,0.007941,2816,0.003731,1312,0.000924,208,0.000000,0,0.000000,0,0.000000,0,0.000000,0,503888
